# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
002-001	"……끄응."
002-002	───아, 방금 그거……지금까지 꾼 꿈 중에 제일 이상했어, 아마.
002-003	잔 것 같지도 않네…….
002-004	……
002-005	───하늘이라……
002-006	……
002-007	이럴 때 문득 하늘을 보면,⏎나답지 않게 감상에 젖기도 한단 말이지…….
002-008	"하늘은 어쩜 이리 아름답고, ───어쩜 이리 추한 걸까."
002-009	그런 생각이 들어. 생각을 글로 쓰면 팔리려나?
002-010	……
002-011	……응?
002-012	방금 그거, 하이쿠인가? 5, 7, 5…… 아니, 두 번째가 한 글자 넘치네.
002-013	……뭐, 됐어.
002-014	"정말로 있을 줄이야. 수소문한 보람이 있었군."
002-015	……응?
002-016	……누구야?
002-017	"아니면 내가 잘못 짚었나───네가 아이리스 릴이냐?"
002-018	"……난 아녜스 슈르야. 죽은 에산의 여왕이지."
002-019	"……"
002-020	"……반갑다, 아이리스."
002-021	"야, 귀 먹었냐?"
002-022	"건방지군. 어쨌든……"
002-023	"참 너그러운 가족을 뒀군. 학교를 빼먹고 어디를 싸돌아다니는지까지⏎뻔히 알면서 신경조차 쓰지 않다니."
002-024	"……'가족'? 뭐야, 지금 나 협박하는 거야?⏎미리 말해 두는데, 난 조폭 따위랑 엮일 생각 없어. 네가 아무리 싹싹 빌어도 안 엮일 거야."
002-025	"아니, 조폭과는 상관없다. 안심해라.⏎내가 여기 온 건 정부와 네 학교를 대표해서다."
002-026	"……그래서?"
002-027	"오늘 여기 온 건, 모처에서 연락을 받았기 때문이다.⏎너는 거듭된 무단결석의 결과……"
002-028	……종이인가?⏎여자가 주머니에서 종이를 꺼내 펼친다…….
002-029	"……'조만간 태도가 개선되지 않으면 퇴학 처분한다'라는군."
002-030	"───그거, 받아 적어야 해?"
002-031	"하지만 학교에 오기 싫어하는 너 같은 인간에게⏎내가 할 말은 없다. 보고받은 시점에 이미 뻔했으니까."
002-032	"───'나 같은 인간'?"
002-033	"등교 거부, 구더기, 문제아."
002-034	"!?"
002-035	이 인간, 진짜!?
002-036	"말로 해서는 네 생각이 안 바뀌겠지.⏎애초에 아이리스, 넌 퇴학당해도 눈 하나 깜짝 안 하겠지. 아닌가?"
002-037	"……당연하지."
002-038	"애초에 학력 따위 아무 의미도 없는데⏎내가 왜 신경 써야 하는데?"
002-039	"흠."
002-040	"퇴학을 면할 방법이 있다고 해도, 그럴 생각은 없다는 건가?"
002-041	"그래. 가기 싫으니까 안 가는 거야, 학교 따위.⏎추리 좀 하시느라 수고 많으셨네, 탐정 선생님."
002-042	"……어쨌든 너는 그 방법을 택해야 한다."
002-043	"그 방법을 택해야 한다고?"
002-044	"……앵무새인가? 의미 없는 되풀이는 그만둬라."
002-045	"자, 똑똑히 들어라.⏎나는 'AARC' 프로그램의 담당을 맡고 있다.⏎네가 이 프로그램에 참가해 줬으면 한다. 그러니 그렇게 해 줘야겠다."
002-046	"뭐───'방주'?"
002-047	"'AARC'다."
002-048	"아니, 그게 아니라───방주라니, 그 배 말이야?"
002-049	"'AARC'다."
002-050	"야, 사람 무시하는 것도 적당히……"
002-051	"바보를 바보라고 했을 뿐이다. 줄임말인 것도 모르나, 바보가.⏎A, A, R, C───아크다."
002-052	"야, 적당히 좀……"
002-053	"───그래서? 무슨 조건이면 프로그램에 참가하겠나?"
002-054	"사람 무시하는 것도 적당히 좀 해!⏎애초에 그 프로그램이 뭔지, 설명조차 안 했잖아!"
002-055	"무슨 조건이면, 네가 고개를 끄덕이겠나?"
002-056	"남 말 좀 들으라고……!⏎───아 진짜, 그럼 돈이지! 돈 내놓으라면 내놓을 수 있어!?"
002-057	"얼마냐?"
002-058	!?
002-059	……
002-060	"삼……아니, 사, 4만 베르도───"
002-061	젠장, 쫄지 마!
002-062	"4만 베르도, 매주!"
002-063	"웬만한 월급만큼은 되게 해 주지. 매주 6만이다."
002-064	"!?"
