# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
004-001	"……꼭 그래야겠니?"
004-002	나는 입력 모드가 된 스마트폰 화면 위로 손가락을 움직였다.⏎화면에 표시되는, 방금 녹음된 선생님의 목소리와⏎내 손가락 움직임, 기록……
004-003	……그리고 표시되는, 내가 전하고 싶은 말.
004-004	그 두 마디를 확인하고, 선생님 쪽으로 화면을 돌렸다.
004-005	───시간으로 따지면 채 1초도 안 걸린, 짧은 움직임.
004-006	네. 죄송합니다.
004-007	"하하, 굳이 물으러 와 주다니. 그냥 가도 괜찮았을 텐데."
004-008	다시 스마트폰 위에서 손가락을 움직이면……,
004-009	……한 글자 칠 때마다 따라붙는 수많은 예측 변환 후보.
004-010	평소 대화하듯 빠른 속도로,⏎전부 입력해 가고───,
004-011	아무 말 없이 수업 도중에 사라지면⏎어머니께 연락이 갈지도 모르니까요.
004-012	이어서 완성된 문장을 보여 준다.
004-013	금방 풀릴 오해라도, 걱정은 드리고 싶지 않아요.
004-014	"흠, 역시 스토리는 부모님을 생각할 줄 아는 착한 아이구나.⏎그런 경우엔 확실히 연락을 드리게 되겠지.⏎부모님과 멀리 떨어져 사니까, 어쩔 수 없단다."
004-015	그럴 거라고 생각했어요.
004-016	"그래서 향수병이라도 걸린 거니?"
004-017	네.
004-018	……사실은 조금 다르다.
004-019	그래도……이걸로 충분하다.⏎'정신 상태가 불안정해서'라는 건 좀 점잖은 핑계는 아니지만.
004-020	남들이 보기엔 이런 게 '자기 자신을 아끼는' 거겠지.
004-021	"알겠다. 그런데 가기 전에 줄 게 하나 있단다.⏎사실 수업 끝나고 주려고 했는데, 미리 줘도 문제 될 건 없으니까."
004-022	뭔가요?
004-023	건네받은 건……종이 한 장.
004-024	"우리 학교에서도 손꼽힐 만큼 우수한 학생인 너에게⏎주는 특별한 기회란다."
004-025	……'AARC'?⏎이름엔 별 뜻이 없어 보인다. 이게 세계통일정부 관할 사업이라고……?
004-026	……국가 기밀을 감추기 위한 위장 기업이나 사업 같은 건가?
004-027	"'AARC'에 참가할 수 있는 학생은⏎전 세계를 통틀어 몇 안 된단다."
004-028	"어때, 한번 해 볼 생각 있니?⏎그냥 추가 학점이랑 내신 점수를 받는 거라고 생각하면 된단다."
004-029	할게요.
004-030	"역시 결정이 빠르구나!"
004-031	'학점이 목적일 땐 참가·탈퇴 자유'라고 적혀 있다.⏎수상쩍으면 바로 빠지면 그만이다.
004-032	만일을 대비해 신청서는 꼼꼼히 읽어 볼 생각이지만…….
004-033	건네받은 종이를 찬찬히 읽어 본다.⏎───딱히 이상한 점이나 허점은 없어 보인다.
004-034	겨우 두 장짜리 종이에서 얻을 정보는 거의 없다…….⏎내 안의 '비밀 조직 음모 지수'는 어느새 90%를 넘어 있었다.
004-035	나는 서명했다───망설이지 않았다.
004-036	나중에 'AARC'에 대해 뭔가 알아낼 수 있는지 찾아봐야겠다.
004-037	"……이런, 벌써 수업 시간이구나.⏎서명해 줘서 고맙다, 스토리. 분명 네 앞날에 도움이 될 거야."
004-038	감사합니다.
004-039	"고마워할 상대는 내가 아니란다. 아무튼 이 주소로 가 보렴.⏎거기서 같은 그룹 다른 학생들이랑⏎담당자 '프레이야 터너' 씨를 만나게 될 거야."
004-040	"첫 모임은 오늘 수업 끝나고 한 시간 후란다.⏎몸이나 기분이 좀 나아지면 가 보렴."
004-041	네, 꼭 가겠습니다.
004-042	"하하, 대답이 좋구나! 자, 그럼 조심해서 가렴.⏎스토리, 푹 쉬어야 한단다."
004-043	그 말을 듣고 나는 집으로 돌아갔다…….
