# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
010-001	───그렇게 그날이 왔다.
010-002	해킹이 터질 거라던, 미리 예고된 바로 그날.
010-003	경찰 아저씨들은 벌써 광장 곳곳을 돌아다니고 있다.⏎당장이라도 공격이 시작될까 봐 대비하는 거겠지……⏎우리도 사정이 있으니까. 해커를 잡을 사람은 우리뿐이다.
010-004	그래서 우리는 벌써 카페 자리를 두 번이나 옮겼다……작전대로.
010-005	카페 입구 쪽은 아이리스 씨가 맡았다.⏎야외석에서는 주변을 경계하기로 했다.
010-006	나와 나머지 사람들은 가게 안 손님들을 전부 감시.
010-007	……좀 부담스러운 금액이지만 이번엔 웬일로 아이리스 씨가 계산한다!⏎게다가 주문도 없이 가게를 들락거리면 너무 수상하니까.
010-008	그래서 지금 나는 커다란 쿠키를 물고 있다.
010-009	……이거 벌써 세 개째. 이건 확실히 설탕 덩어리야!
010-010	아무튼……지금 우리는 다른 야외 카페에 있다.⏎방금 주문을 마쳤다.
010-011	남은 시간은 아마 그리 많지 않다.⏎되도록 공격이 시작되기 전에 해커를 잡아야 하는데…….
010-012	일이 벌어지는 동안 몰래 웃는 사람을 찾아낸다 해도⏎……붙잡기 전에 도망쳐 버리면?
010-013	그런 수상한 사람은 순찰 중인 경찰한테 먼저 잡혀 버릴 테고,⏎그렇게 되면 끝이다. 프레이야 씨는 '헛짚었군'이라고 하겠지.⏎……하아.
010-014	……그러고 보니 우리가 해커를 쫓기 시작하면⏎경찰은 어느 쪽을 쫓을까……우리 쪽?⏎아니면 해커 쪽? 경찰이 우리를 쫓는 것도 조금 걱정이다.
010-015	주위 손님들을 살피다가 메이와 스쳐 지나간다. 인사도 하지 않는다.⏎지금은 다들 모르는 척해야 하니까(티가 나도 어쩔 수 없지만).⏎아야메 씨는 카운터에 있다.
010-016	……으음.
010-017	……어느 카페든 하나같이 노트북을 펼쳐 놓은 사람투성이다.⏎그런데 누구도 뭔가를 숨기는 티가 없다…….
010-018	……점점 불안해진다.
010-019	왜냐면 오늘 실패하면 메이가───.
010-020	───?
010-021	저 사람……?
010-022	……테이블 밑에 뭔가…… 들고 있어?
010-023	쿠키를 한 입 베어 문다. ……어느새 심장이 쿵쾅거리고 있다.⏎마치 심장 소리가 귀 바로 옆에서 울리는 것 같다.
010-024	꿀꺽 하고 삼킨다.
010-025	이 사람……
010-026	……여자애?
010-027	그럼 사람을 잘못 봤다는 건가?
010-028	근데 나머지 특징은 전부……맞아…….
010-029	슬쩍 다른 동료들 쪽을 본다.
010-030	……정보가 틀렸던 걸까. 아니면 해커가 두 명 있는 걸까……?
010-031	확실한 건 모르겠다. ……하지만.
010-032	기기를 두 개나 든 사람은⏎오늘 내가 본 사람 중에 이 사람이 처음이다…….⏎게다가 둘 중 하나는 테이블 밑에 숨기고 있다!
010-033	……심호흡을 하고.
010-034	……그 사람에게 다가간다.
010-035	"아, 안녕하세요!"
010-036	"응?"
010-037	"저, 저는……"
010-038	집중해서……집중…….
010-039	"저, 언니 알아요……! 그, 그 옷이 정말 멋지네요!"
010-040	……통했다! 절반은 거짓말이지만.
010-041	그래도 이 애 옷은 정말 귀엽긴 하다.
010-042	"어, 그래?! 어디서 알았어? 내 옷 보고 알았어?"
010-043	"네!"
010-044	"이 옷, 귀엽지─?"
010-045	"어디서 샀는지 알고 싶어?"
010-046	"꼬, 꼭 알고 싶어요!"
010-047	……좋아.
010-048	혹시 모르니까……
010-049	……이 애한테 다이브해 둘까.
010-050	다들 당황한 얼굴로 날 보고 있겠지.⏎아야메 씨도 아이리스 씨도 메이도…….⏎작전상 수상한 사람이 있어도 말을 걸지 않기로 했으니까.
010-051	하지만……다이브에 걸리는 시간은 정확히 알 수 없다.⏎지금까진 꽤 빨랐지만……이번엔 다르면 어쩌지? 알 수 없다.⏎원리를 알려 주는 설명서가 있는 것도 아니니까.
010-052	……안 돼! 나, 약해지면 안 돼.
010-053	정신 차리고…….
010-054	……뛰어드는 거야!
010-055	그래───겉으로 의식하는 생각을 다 읽어내지 못해도 괜찮아.
010-056	숨겨도 결국 무의식이 정체를 드러내 줄 테니까───!
