# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
012-001	빌어먹을…….
012-002	시내 한복판에서 쫓고 쫓기는 신세가 될 줄이야…….
012-003	"야! ───따라오지 말라니까!"
012-004	말없이 달린다. 대꾸할 생각도 없다.
012-005	그보다 사람이 너무 많다……너무 튀는 건 아닌지 불안해진다.⏎범죄를 경계하는 경찰들도 이 일대에 잔뜩 섞여 있다.⏎이 타이밍에 눈에 띌 수는 없다.
012-006	하지만───찾던 '남자'는 이 여자가 맞는 것 같다.⏎우리가 줄곧 찾아 헤맨 진범…….
012-007	……아직 뭔가 걸리지만 지금은 생각할 틈이 없다.
012-008	용의자에게서 눈을 떼지 않고 사람들을 헤치며 내달린다.⏎나머지는 진작에 다 떨어져 나갔다.
012-009	딱히 발이 빠른 건 아니다.⏎……애초에 달리기는커녕 육상은 나랑 맞았던 적이 없다.
012-010	……그래도 너보단 빠르거든……!
012-011	"잡았다!"
012-012	두 번째다. 드디어 잡았다.⏎그런데 번뜩이는 눈빛으로 날 보더니 이렇게 씨부렸다───.
012-013	"야, 아이리스!⏎릴리 사진을 인터넷에 확 뿌려 버릴까!?"
012-014	"───릴리……!?⏎이 자식……! 날 협박할 셈이냐!? ……아야!!"
012-015	이 자식, 할퀴었다!
012-016	아파……앗, 젠장! 놓쳐 버렸다……!
012-017	───아, 젠장……
012-018	발은 멈춘 채 그 자리에서 움직일 수 없었다.
012-019	여기까지 왔는데……방금 그건……
012-020	……젠장. 안 되겠다, 지금부터 쫓는 건 무리다…….
012-021	……
012-022	나 말고 딴 놈이었으면 어떻게든 여기서……⏎……아니, 뭐. 안 되면 결국 퇴학이나 당하는 거겠지.
012-023	근데……미안하지만 무리다.⏎이딴 일로 동생을 위험에 빠뜨릴 수는 없다…….
012-024	……지금은 얼른 카페로 돌아가자.
012-025	"……미안, 놓쳤어."
012-026	이럴 때는 신중하게 말해야 한다…….
012-027	"그, 그럴 수가! 그럴 수가아!!"
012-028	"시끄러워……그보다 너, 왜 그 여자를 찍은 거냐?⏎아까는 물어볼 틈도 없이 뛰어야 했지만."
012-029	"찾던 해커는 남자 아니었어?"
012-030	"저, 저기, 그러니까, 그 애도 단말기를 두 개 갖고 있어서……,⏎보여 주는 순간 딱 감이 왔어요. 수상하다고요!"
012-031	"그 애, 분명 4.10.7.2와 관계있어요!⏎게다가 그 조직의 유일한 멤버예요!"
012-032	"응. 그래서 네가 쫓는 동안 니아한테 자세히 들었어.⏎수상한 기기를 두 개 들고 있는 걸 알아채고 주의를 돌린 사이에⏎한쪽 화면을 엿봤대. 하마터면 성추행으로 오해받을 뻔했지만."
012-033	"그러니까 우리 예상이 틀렸던 모양이야.⏎뭐, 세상에 해커가 '한 명뿐'인 것도 아니고 말이지."
012-034	……아니, 으음.
012-035	……니아 말은 알겠다.⏎하지만……노린 시간에 우연히 그런 인간이 딱 맞춰 나타나나……?⏎같은 장소에 같은 수의 기기를 든 인물이?
012-036	……아무래도 마음에 걸린다.
012-037	"아무튼 지금은 따질 때가 아니야.⏎아이리스, 그 애를 마지막으로 본 게 어디쯤이야?"
012-038	"8번가다. ……벨베데레 거리 쪽으로 갔어."
012-039	"진짜 미안……그 자식───아니.⏎아무튼 경찰이랑 안 마주친 것만으로도 운이 좋았을지도 모르지만."
012-040	"아, 아냐 아냐 아냐 아냐! 그런 거……신경 쓰지 마!"
012-041	아냐를 몇 번이나 말하는 거야, 너는…….
012-042	"아니, 응───너는 그, 잘못한 거 하나도 없고.⏎오히려 우리야말로 따라잡지 못해서 미안해.⏎그, 분명 괜찮을 거야! 괜찮아……! ……응."
012-043	"오케이. 그럼 비장의 카드를 써야 하나……"
012-044	"일단 나는 아는 사람들한테 되는 대로 연락해 볼게!"
012-045	"이 시간대면 내 친구들도, 응……시내에 있을 테니까……"
012-046	"……사람도 늘고 목격자도 늘면 그만큼 가능성도 커지고."
012-047	"……좋아, 그럼 다들 어떻게───"
012-048	"잠깐───괜찮아, 이제 됐어."
012-049	"이건 나 혼자 마무리할게."
012-050	……하? 야, 메이?
012-051	꺼낸 스마트폰은……잠깐, 저런 걸 갖고 있었나?⏎평소 쓰던 거랑 다른 거잖아?
012-052	"……비장의 카드라면 나한테도 있으니까."
012-053	그렇게 말하고 어딘가로 전화를 건다.
012-054	"……대신 그동안⏎아무도 경찰과 접촉 못 하게 다들 막아 둬───한 명도 빠짐없이."
012-055	"이미 소동을 꽤 크게 일으켰고⏎애초에 이 일대는 전파 방해를 경계하는 경찰 천지니까……"
012-056	"뒷수습은 맡길게."
012-057	……나는 고개를 끄덕였다.
012-058	"괜찮아. 그 복면 쓴 놈들은 반드시 내가 찾아낼게.⏎그러니까 지금부터 내가 만들어 줄 기회니까 절대 낭비하지 마.⏎───여보세요."
012-059	"응……미안, 좀 귀찮은 부탁이 있어서."
012-060	……누구한테 전화 거는 거야?
012-061	누가 그걸 묻기도 전에 메이는 이미 걸어가고 없었다.
012-062	"……뭐, 거짓말은 아니었어."
012-063	그럼 이제……메이한테 맡겨도 되는 건가?
012-064	"응, 메이한테라면 맡겨도 괜찮을 거야."
012-065	윽……남의 속을 읽지 말라고.
012-066	"근데……너희 둘은 숨어 있어!⏎바깥에 있는 목격자는 내가 어떻게든 해 둘 테니까."
012-067	"사람은 많을수록 좋지만 너희 둘은 너무 대놓고 움직였어!⏎얼굴 찍히기 전에 얼른 어디든 숨어!"
012-068	"네, 네……"
012-069	뭐, 맞는 말이다.
012-070	아야메가 엄지를 치켜세우며 멀어져 간다.
012-071	"괜찮아, 나도 뒷배 될 만한 친구쯤은 있으니까……! 맡겨 둬!"
012-072	……아, 그러시네.
012-073	아마 나는……아니, 우리는 이미 충분히 했을 거다.⏎그 여자 담당자한테도 잔소리 들을 이유는 없을 거다.
012-074	이제……그 여자만 잡으면 전부 끝날 거다.⏎……틀림없다.
012-075	……분명 그럴 거다.
012-076	나는 니아를 데리고 인적이 드문 뒷골목으로 들어간다.⏎둘이서 남의 눈을 피해……몰래 광장을 벗어났다.
