# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
016-001	회의실에 살그머니 들어서니……,
016-002	여느 때처럼 그 여자……우리 담당자님이 먼저 와 있었다.⏎다만 평소와 달리 앉아 있지는 않았다.
016-003	방금 저 사람, 벽을 보고 있었던 것 같은데……?
016-004	"……"
016-005	"……"
016-006	"어제는 오지 못해서 죄송합니다."
016-007	"조금 전에 과제를 해결했습니다.⏎경찰에 넘기는 게 먼저라고 화내실 것 같아서,⏎제가 한발 먼저 왔습니다."
016-008	"남자는 어떻게 됐나? 그자가 알아서 한 곳에 있는 건가,⏎아니면 어딘가에 붙잡혀 있나?"
016-009	"남자라면 구속을───…잠깐만요. '남자'라고요?"
016-010	"전 누굴 붙잡았다고도, 범인이 누구라고도 말하지 않았습니다.⏎과제를 해결했다고 했을 뿐입니다. ……범인 얘긴 어디서 들으셨죠?"
016-011	"아무래도 너무 바빠서, 이틀 전 협의 때⏎여긴 너희 말고 나도 있었다는 것조차 잊은 모양이군?"
016-012	"피의자는 수요일마다 사고 치길 좋아하는 남자였지, 아닌가?"
016-013	……잠깐, 기억이 안 난다.⏎이틀 전 일은 거의 아무것도……전부 아빠랑 엄마 탓이다.
016-014	아니, 그 기묘한 일도 있었지…….⏎───솔직히 차 안에서 있었던 일이 없었으면 잊었을 거다.
016-015	으음……,
016-016	……음, 일단 거짓말은 하지 않았다.⏎일단 업무 폰을 꺼내서⏎녹음해 둔 자백을 들려주자.
016-017	이 증거를 보여 주면 드디어 전부 끝이다.
016-018	……자, 증거는 이게 전부다.
016-019	보는 동안 그녀는 줄곧 무표정이었다.⏎반응은커녕 한마디도 없다. 목줄도 봤지만, 딱히 아무것도───,
016-020	……!
016-021	잠깐, 방금───,
016-022	"이렇게 갑자기 겁먹은 꼴은……"
016-023	"어───, 네, 네……?"
016-024	여, 역시 이상했지. 그래서 지금 흥미를……?
016-025	프레이야는 날 보고 있다───아니, 뚫어져라 본다. 눈도 안 깜빡인다.
016-026	표정은 여전히 변하지 않는다……,⏎그런데 지나치게 뻔히 내 눈을 쳐다보고 있다.
016-027	이상하다, 정상적인 행동이 아니다…….⏎이런 짓을 하는 건 그 과묵한 애나 하는 건데, 그녀는 다르다.
016-028	뭐야, 내게서 뭘 캐내려는 거지……?
016-029	"연락한 건 업계 지인인가?"
016-030	"업계───라니, 네!?"
016-031	"───아니, 너는 그런 위험한 짓은 안 하겠지."
016-032	"아무래도 다른 지인이겠군. 특정은 못 하겠지만.⏎어딘가 민간 경비 회사와 연이라도 있나?"
016-033	"……네. 근데……업계요? 업계라니 무슨 말씀이세요!?"
016-034	"음악 업계 말이다."
016-035	"제가 음악 하는 걸 어떻게 아세요?"
016-036	───그 해커조차 찾아내지 못했는데?⏎아니, 애초에 찾아낼 수 없어야 한다. 온라인에서든 오프라인에서든⏎지금껏 내 개인 정보는 철저히 관리해 왔다───그런데.
016-037	"나는 너를 알아야 한다."
016-038	????
016-039	"그 넷 중이라면⏎결국 이 일을 정리할 건 너라고 생각했다. 가져가라."
016-040	코트 안에 넣고 있던 손에는 봉투를 쥐고 있었다.⏎말없이 내게 내민다.
016-041	일단 받기는 하지만……
016-042	"이게 뭔가요?"
016-043	"600만 베르도다."
016-044	"아아, 600만……"
016-045	"600만……이라니, 네에?! 방금 뭐라고요!?⏎6도 60도 아니고 600만이요!?"
016-046	"600만 베르도다."
016-047	이건 뭐, 이런 큰돈이……! 아무리 적게 잡아도 연봉보다 많잖아!⏎한 해 벌이보다 많은 돈이라니, 아니아니!!
016-048	"이걸로 절……아니 뭘 시키려는 건데요!?"
016-049	"필요한 데 써라."
016-050	"……!"
016-051	"아무한테도 기댈 수 없는 판에 생긴 뜻밖의 지출……짚이는 게 있겠지."
016-052	"최악의 경우에 대비해 갖고 있어라.⏎너 혼자 괴로워하길 바라지 않는다."
016-053	"그래서 네가 여기 있는 거다.⏎───받아 두어라, 그러면 시간도 조금은 여유가 생길 거다."
016-054	"아티스트인 너에겐 꾸준히 작업하는 게 반드시 필요하다.⏎그건 담당자로서도 이해하고 있다. 근데 'AARC' 활동도⏎우선해 주길 바란다."
016-055	"이건 지원금이라고 생각해라. 토 달지 마라."
016-056	"이번에 네가 한 일은 훌륭했다."
016-057	"얼마 안 되지만 보상이라고 생각해라."
016-058	"……"
016-059	"……다른 애들이랑 나눠도 되는 건가요……?"
016-060	"나누지 마라. 받은 사실도 알리지 않는 편이 좋다."
016-061	진짜로?
016-062	"말하면 당연히 내가 왜 너에게 줬는지 묻겠지."
016-063	"그러면 너도 설명할 수밖에 없게 된다."
016-064	"그러니 지금은 그만두어라. 적어도 네 사정은⏎네가 말해도 되겠다 싶을 때 해라."
016-065	"그때까지는 아무한테도 말하지 마라."
016-066	"……"
016-067	"아, 알겠습니다. 앗, 근데───"
016-068	"이런 큰돈을 매번 내주시는 건가요……?⏎이렇게 아무 일도 아닌 것처럼 600만 베르도나 내놓다니……."
016-069	"그리고 이거, 세금은요?⏎……아니, 이거 저 세금 내야 되는 건가요……?"
016-070	근데 이 사람 공무원일 텐데……그러니까 세금은 어떻게 되는 거지…….
016-071	……! 엇!? 방금 웃었어!?
016-072	"……"
016-073	"뭔가 받는 게 익숙하지 않은 것도 이해가 가는군."
016-074	윽……
016-075	"너도 나도 법에 걸릴 일은 없다. 걱정 마라.⏎그 돈을 굳이 신고할 필요도 없다."
016-076	"근데……가능하면 시간 내서⏎아직 어린 아이리스에게 세금 신고를 가르쳐 주어라."
016-077	……맞다. 그 애, 돈을 받고 있었지.
016-078	……뭐, 해 줘도 괜찮으려나.
016-079	"그럼 오늘은 돌아가라. 푹 쉬어라."
016-080	"특히 정신적으로 말이다."
016-081	"아니, 명령이다. ───돌아가라. 당장.⏎회의는 다음 주 월요일까지 없는 걸로 한다."
016-082	"알았어, 알겠다고요, 다른 애들한테도 전할게요……"
016-083	"……"
016-084	"……감사, 합니다."
016-085	"감사할 줄 아는 건 좋은 거다. 자……"
016-086	턱으로 문 쪽을 가리킨다. 네네, 나가죠…….
016-087	그렇게 집으로 향한다…….
016-088	……가볍게 고개만 끄덕이고 나서.
