# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
022-001	───상황은 또 나빠졌다.
022-002	……정리하자면,⏎우리는 어제 점심때 그 해커 집단의 습격 현장에 있었다.⏎신호가 엉망이 되고, 몇 시간씩 이어진 교통 마비에 도시가 휘말리고…….
022-003	……게다가 그놈들은 유난히 잘난 척을 했다.⏎진짜 구경거리로 봐도 최악…….
022-004	참고로 그놈들이 유출한 건 온갖 문서였다.⏎내용은 은밀한 거래라든가 수많은 신원 공개,⏎……그리고 기업 간의 수상쩍은 뒷거래 같은 게 포함돼 있었다.
022-005	……뭐, 한마디로 '의적' 흉내……그래, 흉내다.⏎그저 재미로 하고 있다는 게 뻔히 보인다.⏎스토리의 쓰리사이즈를 까발리려던 것만 봐도 명백하다.
022-006	게다가 그 점에서 그놈들의 발언도 명백한 거짓말이다.⏎'막 잡힌 동료'의 실명을 공개? 있을 수 없다.⏎결국 스토리는 노골적으로 희생양이 된 거다.
022-007	그 범행 성명서와 영상은 틀림없이 미리 만들어 둔 날조 영상이다.⏎솔직히 정말 다섯 명인지조차 수상하다…….
022-008	놈들의 지난 2년간 활동───이라고 해도 그게 전부지만.⏎조사해 본 바로는 멤버가 다섯 명 이상이라고 공언한다는 건 변함없다.
022-009	그리고 놈들은 가끔 다른 이름도 썼던 모양이다.⏎───'보복의 손'이라는, 허세 쩌는 촌스러운 이름을.
022-010	그래서 스토리가 체포된 며칠 뒤에는⏎'손'에서 잃은 손가락 하나의 실명을 전 세계에 공개.⏎……해커들이 그런 공개 처형을 한다고? 아무리 봐도 이상하다.
022-011	그래서 나는 의심할 수밖에 없다.⏎───'다섯 악당'인가, 아니면 '미친 인형사 하나'인가.
022-012	어제 한숨도 못 잔 건 이 사건을 조사하느라 그랬다.⏎……어느새 또 등교 시간이 됐다.
022-013	……뭐, 'AARC' 참가자니까 조는 정도는 문제없겠지.⏎물론 지나친 남용이 나쁜 건 당연하지만……모처럼 들어간 김에⏎내신은 어느 정도 장난은 눈감아 줄 만큼은 되잖아.
022-014	……응?
022-015	"아, 안녕하세요, 메이."
022-016	"……혹시 나 기다린 거야?"
022-017	"시, 싫으셨다면 죄송해요……!"
022-018	"아니, 딱히……그냥 좀 신기해서."
022-019	그렇게……같이 등교했다. 둘이서.
022-020	……문득 생각한다.
022-021	이 학교에서 누군가와 점심을 먹는 게 혹시 처음일지도?
022-022	"그, 그러고 보니 혼자 산다고 하셨죠.⏎그럼 메이는 직접 요리하시는 건가요?"
022-023	"어, 아니……이거 편의점에서 산 건데, 보면 알잖아?"
022-024	"그, 그런……!"
022-025	"나한테 요리할 시간 같은 건 거의 없어…….⏎어제만 봐도 있잖아, 집에 가는 데만 죽을 만큼 시간이 걸렸고."
022-026	"아, 괜찮으셨어요? 무사히 집에 도착하셨어요?"
022-027	"괜찮지 않았으면 여기 없겠지."
022-028	"부모님은……?"
022-029	"……아무것도. 그쪽은?"
022-030	"무사했어요. 정말 신호등을 해킹하다니……⏎놀랐어요. 그렇게 지독한 짓을 하다니……."
022-031	"뭐, 그건 정부 책임일지도. 이상하잖아,⏎고등학생 애새끼 몇 명이 뚫을 수 있는 시스템이라니. 바꿔야 한다니까."
022-032	"게다가 이건 정부 삽질 중에서는 아직 가벼운 편이고.⏎……진짜 열여덟 되기 전엔 투표도 못 한다니 바보 같아.⏎내가 작곡으로 버는 돈에서는 세금을 쪽쪽 빨아 가면서."
022-033	"그러게요……."
022-034	"해킹 얘기가 나온 김에, 그쪽은 집에 가서 해커에 대해 알아봤어?⏎난 했어……어제 그런 일이 있었으니까. 뭐, 건질 정보는 없었지만."
022-035	"네, 스스로를 이렇게 부른다고 하더라고요───"
022-036	"───'보복의 손', 이라고."
022-037	───응?
022-038	"미안해……! 끼어들어 버렸네?"
022-039	"아, 딱히? 어제는 어딜 가나 이 얘기뿐이었을 테고.⏎세상이나 정치에 관심 없어도⏎도시 전체가 마비되면 누구든 신경 쓰이니까."
022-040	"사고도 없이 끝나서 다행이야, 신의 뜻이려나."
022-041	"하……신? 이 코에이부스 카일에 신 같은 건 없어."
022-042	"뭐야 그거 멋있, 멋있어!"
022-043	"고맙네."
022-044	"그럼 말이야, 신 말고───예를 들면 악마는? 많이 있다고 생각해?"
022-045	"음……있겠지. 이번 건만 놓고 보면───적어도 하나."
022-046	"───아하, 그렇지.⏎그거라면 하나───해커 한 명이라고 생각했어.⏎그 편이 분명 판이 깔끔하지. ……그치?"
022-047	"뭐 그렇지."
022-048	"……네에?"
022-049	"적어도 그놈들은……"
022-050	"……"
022-051	……고개를 저으며 끼어든 반 친구를 본다.
022-052	"아, 미안, 잠깐……너 누구야?"
022-053	반 애들 얼굴은 기억 못 하니까…….
022-054	"아───난 네 팬이야, 메이."
022-055	……!!
022-056	"펠이라고 불러 줘. 맞다───좋은 기회니까, 자."
022-057	그 애가 이쪽으로 손을 내민다.
022-058	"손 좀 잡아도 될까?"
022-059	"왜?"
022-060	"우정을 위해서지."
022-061	좀 잘 모르겠지만…….
022-062	……그 손을 잡았다. 뭐, 괜찮겠지.
022-063	"날 어디서 알았어?"
022-064	손을 잡은 채로 펠은 그 손을 바라보고 있다.⏎……보고 있는 거 맞지? ……그나저나 눈이 여우 같다.
022-065	───그러더니 난데없이⏎손을 자기 뺨에 갖다 대고는……엄청 행복한 표정을 지었다.
022-066	"악수해 줬어! 진짜로 악수해 줬어! 와아, 진짜다……!!"
022-067	"생각해 봤는데, 옛날부터 신뢰를 나타내는 가장 순수한 방식은 악수야.⏎───솔직히 배를 서로 보여 주는 쪽이 귀엽고 멋지다고 생각하지만.⏎안 그래? 상상해 봐, 누군가에게 배를 보이는 모습───그 위험함!"
022-068	"아니, 오히려 너무 위험한가? 그럼 타협점이 악수라는 건가?"
022-069	"아무튼 악수 고마워!"
022-070	"응."
022-071	"너한테도 고마워, 니아!"
022-072	!?
022-073	"왜 얘한테도?"
022-074	"너랑 여기 있어 줬으니까!"
022-075	손을 놓자 펠은 만족한 듯 숨을 내쉬었다.⏎……또 귀찮은 인싸를 만난 모양이다. 요즘 많네?
022-076	아니, 아야메가 인싸인지는 모르겠다.⏎……겉모습으로 사람을 너무 판단하나?
022-077	"그래서 수다에 껴도 될까? 해커 건 말이야."
022-078	"좀 늦지 않았어?"
022-079	"그래도 제대로 물었잖아?"
022-080	"……좋아, 얘기하자."
022-081	"완벽해!"
022-082	"무무, 무, 물론───"
022-083	"아이고……역시 방해였나?"
022-084	"아뇨! 저, 저는, 그, 그게 아니라───"
022-085	"오오……표정 부자다!"
022-086	"자, 그, 그럼, 그들의 범행 내용은 뻔했는데⏎어떻게 한 걸까? 신호를 조작하다니……둘은 알아?"
022-087	"나는 말이야───……모르겠어. 컴퓨터랑은 그다지 말이 안 통해서……."
022-088	"그걸로 보면 아마⏎아직 발견되지 않은───제로데이 취약점이라도 있었던 거 아닐까,⏎감시 카메라 시스템 같은 데."
022-089	"아니면 업데이트를 안 했다든가⏎업데이트를 너무 했다든가……아마 원인은 그쯤이겠지.⏎장악한 게 시내 전체 교통 신호였던 것도 아니고."
022-090	"응? 으으으음, '제로데이'?"
022-091	"업데이트 같은 게 새로 나온 시점부터 세서 0일.⏎───그래서 '제로데이 취약점'이야. 출시 전부터 있는데⏎개발자조차 모르는 치명적인 취약점을 말해."
022-092	"모든 것에는 버그가 있어. 근데 테스트는 폐쇄된 환경에서만 하니까.⏎───그래서 실제로 모든 버그를 잡아내는 건 무리라는 얘기.⏎보통은 말이야."
022-093	"아아, 그런……근데 두 사람은 아무 상관없는 거야?⏎해커들의 그런 '수법' 같은 건."
022-094	뭐……관심은 없다. 니아도 아마 같을 거다.
022-095	얼굴에 드러났나? 아직 목줄 색이 하늘색으로 빛나진 않았을 텐데…….
022-096	"그나저나……드라마틱한 사건이었지.⏎아, 그러고 보니 맞다, 다른 학교 누군가가 체포됐다고 들었어.⏎그것도 해킹이었지?"
022-097	"확실히……어제 전광판 하이재킹에서도 놈들 얘기가 나왔지."
022-098	"관계자로 지목당한 게 그 여자애뿐이었지?⏎진짜 심술궂달까……성격 진짜 나쁘지!"
022-099	"……진짜 그랬지."
022-100	"……음. 으음! 맞다, 그러고 보니 짚이는 게 좀 있을지도……"
022-101	"다른 학교 친구 중에 별난 사람 찾는 게 취미인 여자애가 있거든.⏎그 취미를 위해 거리를 어슬렁거린대."
022-102	"아니, 그러니까 그런 취미래. 귀여운 취미지."
022-103	"그래서 실은 걔가 광장 앞 그 인기 카페에서⏎흥미로운 사람을 봤대. 매주 수요일에 있다나 봐."
022-104	"걔 말로는───'매주 수요일 방과 후에⏎노트북이랑 조그만 컴퓨터를 든 남자애가 있어.⏎잘 숨은 척하는 애'라고."
022-105	"자꾸 킥킥 웃는대, 혼자서."
022-106	"그래서 그 얘기를 듣고 생각했지……아니, 엄청 수상하잖아?"
022-107	"그러니까……그 애도 해커라는 건가요?"
022-108	"후훗……이건 내 예감……"
022-109	……
022-110	……아니, 이미 점심을 다 먹었나 싶었지만…….
022-111	"앗, 안 되겠다───뭐라도 먹어야지. 그럼 난 이만 갈게!"
022-112	"그 남자애 얘기, 친구한테 더 알아볼게.⏎근데 진짜 흥미롭지? 늘 그 자리에 있다면,⏎봐───미행도 할 수 있을지 몰라. 아하핫."
022-113	"───그야말로 영화처럼 말이야!"
022-114	이쪽을 보며 손을 흔들어 준다.
022-115	"다음에도 몇 번이고 수다 떨자, 바이바이─!"
022-116	가 버렸네…….
022-117	……
022-118	"저 애 말이야……"
022-119	?
022-120	"하나도 거짓말 안 했어."
022-121	"……그러네요."
022-122	"……알아볼까? 이거 일단 단서잖아?"
022-123	"시도해 볼 가치는……있네요!"
022-124	아야메 친구한테 들은 얘기와도 맞아떨어진다.⏎───자기 범행 현장을 직접 보고 싶어 하는, 관종 해커 얘기.
022-125	……근데 그놈이 4.10.7.2의 일원이거나 유일한 멤버라고 치자.⏎그런 놈은 어제 그 카페 근처에 없었을 거다.
022-126	……그건 그렇고.
022-127	……특징을 알아낸 건 큰 수확이다.⏎PC를 두 대나 든 남자라니───확실히 수상하다.
022-128	───자.
022-129	나도 니아도 점심을 마저 먹기로 했다.
022-130	……수요일인가.
022-131	그럼 이틀 더 기다려 볼까…….
022-132	다음이 있다면 광장 안을 더 제대로 찾아야겠지.
