# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
027-001	방과 후, 'AARC' 미팅에서……
027-002	아무래도 아이리스는 생각보다 의욕이 있었던 모양이다.⏎폰 말고는 인터넷 단말도 없는데, 예상 이상의 성과를 내왔다.⏎그 '해커 집단'은 실은 짜증 나는 애새끼 하나로 거의 확정됐다.
027-003	열에 들뜬 듯 정보를 계속 소화해 나가는 우리.⏎그런데 그때, 주머니 속 폰이 울렸다……사적인 쪽이다.
027-004	"지금 바로 전화 좀 해 줘"
027-005	……엄마.
027-006	급한 일이 생겼다며 자리에서 일어나, 그 자리를 뜨려 한다.
027-007	그리고 밖에 나가니 담당자가 있었다.⏎……음, 아까 일로 뭔가 짜증 나 있는 건가?
027-008	근데 이 사람, 늘 목줄 색이 회색이란 말이지……
027-009	……
027-010	"저기……조퇴해도 될까요?"
027-011	"마음대로 하면 되잖아?"
027-012	"……"
027-013	……아 그래, 이상한 사람.
027-014	그대로 집을 향해 걷기 시작했다.
027-015	"왜?"
027-016	"아, 있잖아, 아빠 목에 하는 목 보호대 같은 거 기억나?"
027-017	"……그게 왜?"
027-018	"있잖아, 알지, 그, 아빠 있잖아, 그,⏎샤워하면 안 되잖아, 목욕도 안 되고?⏎내가 도와줘야 한다고 했잖아?"
027-019	"응……"
027-020	"그치! 근데 내가 지금 현관 말벌집을 어떻게든 처리해야 해서,⏎그러고 있는데 아빠가 혼자 샤워하러 가 버렸지 뭐야!"
027-021	말벌집이라니, 그걸 혼자 어쩌겠다고……? 아니 왜 혼자……아 진짜……
027-022	"───그래서 넘어졌어?"
027-023	"그게, 뭐, 응, 그래."
027-024	……
027-025	"……무사해?"
027-026	"그, 또, 그래 병원에 가야 할 것 같아. 아마……"
027-027	"……치료비가 얼마나 나와? 푹 쉬라고 했는데⏎그런 어이없는 부상……병원에서 그런 것도 봐 주나?⏎그런 건 내가 돈 내야 하는 거잖아……하아……"
027-028	"아, 그, 진정해."
027-029	엄마가 할 말은 아니잖아……
027-030	"그래서 얼마?"
027-031	"모르겠어, 구급차 타 봐야 알 것 같아……"
027-032	"구급차?! 그렇게 심하게 다쳤어?!"
027-033	"아니, 그게 아니야. 근데 우리 차가, 그, 차가……⏎아무튼 아직 수리 맡긴 상태잖아? 아하하……"
027-034	"……아, 그렇지."
027-035	"……"
027-036	"그래서 내가 가는 게 나아? 병원 이름이랑 주소는?⏎목 수술한 그 병원이랑 같은 데야?"
027-037	"아, 아니, 안 와도 괜찮아───바쁘잖아, 메야───"
027-038	"어디냐고 묻잖아. 나보고 어쩌라는 거야?⏎아니면 딸한테 돈 있냐고 물어보는 거야? 어느 쪽?"
027-039	"아니 그, 일단 좀 진정해."
027-040	"진정하겠어? 말 안 했을 뿐이지 딴 일 처리하느라 정신없는데.⏎맨날 골치 아픈 일만 하필 여유 없을 때만 골라서.⏎아니 왜 아빠가 샤워를 혼자 한 거야?"
027-041	"왜, 아빠가 좀 고집스러운 데가 있잖아……"
027-042	"그럼 전해 줘, 그 덕에 내가 쓸데없이 걱정하고 짜증 났다고.⏎그 쓸데없는 고집 때문에."
027-043	"응, 그, 전할게."
027-044	"병원에서 상태 괜찮으면 알려 줘, 아빠는 지금 보고 싶지 않아."
027-045	"미안해……"
027-046	"혹시 큰일 나면 내가 처리할 테니까 난 이제 일하러 돌아갈게."
027-047	"알았어……근데 무리하지 마. 우리가 널 걱정하니까."
027-048	"그럼."
027-049	끊었다.
027-050	아, 얼굴이 다 빨개지잖아, 진짜……
027-051	집에 가자, 이제 아무 생각도 하지 말자.
