# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
029-001	───눈을 뜬다.
029-002	눈을 깜빡여 본다.
029-003	……방금 그건.
029-004	……꿈이었나 보다. 하마터면 진짜인 줄 알았다.
029-005	……그나저나 곡은 어떻게 됐지? 잘 나왔을까.⏎즉흥으로 하는 건 영 자신 없는데.
029-006	……
029-007	……어?
029-008	이거……괜찮은데? 아니, 꽤 잘 나왔잖아.
029-009	짜증이 박살 나는 순간을 그대로 소리로 옮겨 놓은 것 같다.⏎그래서 그런가……어느새 짜증이 싹 가셨네.
029-010	……응, 마음에 들어.
029-011	근데 어차피 나중에 또 손대고 싶어지겠지. 한 번은 만져 봐야 직성이 풀리니까.
029-012	일단 스토리가 풀려날 때까지 묵혀 뒀다가, 머리 식히고 다시 들어 봐야지.
029-013	지금은 일단……
029-014	아, 맞다. 나 배고팠지.⏎……오랜만에 뭐라도 해 먹어 볼까? 파스타는 있으니까.
029-015	……후후.
029-016	아무튼 아빠도 참, 못 말린다니까. 내일은 시간 낼 수 있으니까 병문안 정도는 가 줄까.⏎엄마랑도 얘기 좀 하고.
029-017	발걸음도 가볍게 1층으로 내려간다.
029-018	……아니, 잠깐. 파스타 소스 같은 게 있었나? 아, 망했다.
029-019	현관문을 잠그고 곧장 집을 나선다.
029-020	───명곡 하나 뽑았으니 기특하다, 나.⏎상으로 맛있는 거라도 먹어야지. 직접 해 먹든 뭐든.
