# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
030-001	……심장의 고동과 리듬이 느껴진다.
030-002	쿵, 쿵, 내 안을 꿰뚫는 박동.
030-003	……근데 내가 가라앉으라고 하면.
030-004	……그래, 내가 가라앉혀 주면……!
030-005	───몸이 따른다.
030-006	……!
030-007	돌아올 수 있었……나.
030-008	순간, 칼을 들이댄 여자가 움찔하며 멈춘다.
030-009	……즉시 거리를 좁혀 목에 잽 한 방.⏎칼을 떨어뜨린 여자의 어깨를 붙잡아 끌어당긴다.
030-010	명치를 노려 무릎차기 한 방.⏎그 기세로 벽에 전력으로 처박는다.⏎캑캑대며 쓰러지는 여자를 뒤로하고, 칼을 주워 들었다.
030-011	"……"
030-012	이게 현실일 리는 없……지?
030-013	……
030-014	맨 처음 멍청이 앞에 쪼그려 앉아,⏎뜯어낸 돈을 아무 주머니에나 쑤셔 넣었다.
030-015	"둘 다 칼을 장난감처럼 다루질 않나……⏎덕분에 이제 파출소행이다. 돈 도둑맞았다고 신고해도 재미없으니까.⏎───참나. 엄청 귀찮은 일에 끌어들여 놓고는."
030-016	"아니, 으윽……결국 아무것도 나아진 게 없잖아……빌어먹을."
030-017	돌아서서 재빨리 여자의 몸을 수색하지만……무기 같은 건 없다.⏎지갑은커녕 신분증조차 없다.
030-018	고통으로 일그러진 낯짝을 들여다보며, 가볍게 뺨을 때려 준다.
030-019	"야, 이쪽 봐───보라고.⏎지금 당장 이름을 대든가, 손가락뼈가 부러지든가 골라."
030-020	속마음 그대로 협박할 수 있다는 게, 기분이 좋군.
030-021	"……사만사 홀.⏎너랑 같은 학교 학생."
030-022	"뭐, 그것도 오늘까지겠지. 땡큐."
030-023	일어서서 골목을 빠져나간다───향하는 곳은 경찰서다.⏎아무래도 사정을 설명하려면 직접 가야 한다.
030-024	'X가 애한테서 돈을 뺏으려 했다. X를 말리던 나를 Y가 찌르려 했다.⏎나는 한 번 X한테서 돈을 뺏었지만, 잡히기 싫어서 바로 돌려줬다.⏎나는 아무 무기도 쓰지 않았다'───이런 식인가.
030-025	뭐, 나도 폭행죄로 구류될지 모르지만,⏎범죄자보다 무고한 시민의 증언이 더 먹힐 거다. 괜찮겠지.
030-026	뭐, 조금 돌아가긴 하지만.⏎공원이라도 지나서 가자.
030-027	……
030-028	……그나저나, 그건 대체 뭐였던 거지?⏎대체 무슨 일이 일어난 거야……?
030-029	질려 버리니까 뭔가, 더 깊이 가라앉아서⏎온갖 색이 보이고……아마 나……색을 움직였던 것 같다.
030-030	바인드의 표시색……색과 생각……
030-031	나는 그때, 상대를 움찔하게 만든 건가?⏎그 여자는 틀림없이 칼을 치켜들다 말고 멈췄으니까.
030-032	근데 그런 건 이상하잖아───?
030-033	……
030-034	하아……뭐, 그만두자.
030-035	나중에 다시……처음부터 되짚어 보면 될 일이다.
