# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
034-001	"으음……저 가게도 문을 닫는구나……"
034-002	경찰서로 가는 길에 혼자 오락실 앞을 지나며 중얼거렸다.
034-003	요즘은 이런 게 애들한테 안 먹히나? 아니면…….
034-004	레이저 태그, 재밌는데…….
034-005	……그게 아니지. 오늘은 확실히 스토리 씨와 면회할 수 있대.⏎어젯밤에 메이 씨한테 연락이 왔어.
034-006	그런데 친구들이랑 같이 밖에 나가는 것도 처음이야…….
034-007	아무 사고도 안 치면 좋겠는데.
034-008	아, 도착했다. 경찰서다…….
034-009	"왔네."
034-010	"아, 안, 안녕하세요……!"
034-011	"……"
034-012	"안 좋은 소식."
034-013	……?
034-014	메이 씨가 다가온다───……?
034-015	?───어깨가 툭, 하고 두드려졌다.
034-016	"이번엔 네가 접수처랑 얘기할 차례니까."
034-017	!?
034-018	왜……왜!?⏎메이 씨는 내가 사람들 앞에서 말하는 걸 어려워하는 거 알면서……?!
034-019	"어, 어, 어, 왜 저인가요?!"
034-020	"……"
034-021	"너 말이야, 그 말 없는 사람을 친구라고 할 수 있어?"
034-022	"어, 앗, 네에?! 물론이죠! 그렇긴 한데요?!"
034-023	"……그럴 줄 알았어. 난 못 해."
034-024	!?
034-025	"면회 허가를 받으려면 같은 학군의 '친구'여야 하거든.⏎……봐, 아무리 그래도 경찰서에서 거짓말은 못 하잖아."
034-026	그러고는 메이 씨가 엄지로 뒤쪽───아야메 씨와 아이리스 씨를 가리킨다.
034-027	"그리고 저 둘은 제대로 친구라고 생각하니까 문제없어. 그러니까 뭐……"
034-028	"……그래, 나는 그 애 친구로 면회 왔고⏎다른 친구들도 데려왔습니다, 라고 하면 되겠지."
034-029	"그 정도로 말해 두면 바인드도 반응 안 할 거야."
034-030	"……"
034-031	"……다, 다른 방법은 없어 보이네요……"
034-032	메이 씨는 내 어깨에서 손을 떼더니⏎느긋하게 두 손을 주머니에 넣었다.
034-033	"그래. '역시 그 애를 두고 그냥 돌아간다'는 선택지도 있지만."
034-034	"저, 저 그런───!"
034-035	"그럼, 할 자신은 있다는 거네……준비됐어?"
034-036	으윽…….
034-037	……결국 해야 하는 거겠지…….
034-038	경찰서는 이번이 처음인데…….
034-039	───!?
034-040	뭐, 뭐야!? 또 어깨?! 누구?! 게다가 뒤에서……?!
