# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
037-001	그 소리───그 빛───.
037-002	그런 감각, 나는───.
037-003	───느껴 본 적 없다, 모른다.
037-004	───!!
037-005	……어, 어라……?
037-006	도, 돌아온 거야……?
037-007	아까 그……꿈인지 뭔지도 잘 모를 무언가는───이제 끝난 모양이다.
037-008	……
037-009	……진짜 뭐였을까……그거?
037-010	그때 보인 건 아는 색이었다.⏎나아갈수록 내가 그걸 바꿀 수 있을 것 같아서───그래서 해 봤다.
037-011	그건……그 사람 마음이었던 걸까?⏎그럼 그 색은 정말 감정이었던 거야?⏎이, 목줄이 비추는 것 같은……?
037-012	그렇다면 내가 온통 잿빛으로 덧칠한 건……⏎아니……그럴, 그럴 리 없잖아…….
037-013	그럴, 그럴 리 없어……,⏎난 그냥 패닉에 빠져 헛갈렸던 것뿐이고───.
037-014	!?!
037-015	누, 눈앞에서 손가락을 튕긴 것뿐인가…….
037-016	"이봐……듣고 있나?"
037-017	"네, 네, 네! 드, 듣고 있어요!"
037-018	……어라, 나 또 말을 더듬었네.
037-019	거기서는 훨씬 또렷하게 말할 수 있었는데.⏎……산산조각 날 것 같긴 했지만.
037-020	게다가……바인드에서 풀려난 느낌도 들고……,
037-021	……나…….
037-022	……나, 갈 데까지 가 버린 걸까.
037-023	정말로 이상해져 버린 건지도 모르겠다.
037-024	근데 만약───방금 그걸로 내 바인드가 망가졌다면…….
037-025	만약에───이미 자유라면?
037-026	더───이것저것 시험해 볼 수 있다면?
037-027	그 밖엔───어떤 게 가능해지는 걸까?
037-028	……그런 건 하나뿐이다.
037-029	그, 그래……그렇지……,
037-030	딱 한 번만이라면, 거짓말을 해도 괜찮을지도 모른다…….⏎그래, 더듬지 말고 침착하게 하면…….
037-031	만약 뭔가가 내 안에서 바뀌었다면───.
037-032	지금이라면, 그래……더 나은 '진실'을 전할 수 있을지도.
037-033	숨을 내쉬고…… 들이쉬고……
037-034	……후.
037-035	……
037-036	"……죄송해요, 형사님.⏎좀 패닉에 빠져서요. 근데……"
037-037	───지금이라면, 지금이야!
037-038	형사님과 눈을 맞춘다───빨라졌던 고동이 잦아든다.
037-039	그렇게 나는 선택했다. ……진실을 왜곡한다는 것을.
037-040	"사실 허가를 받았어요.⏎다만 말해도 되는 건지 몰라서요."
037-041	……
037-042	……아…….
037-043	아아…….
037-044	나도 모르게 입꼬리가 올라간다.
037-045	"그래서……화장실에서 만난 다른 경찰관분께 사정을 설명하고⏎스토리 씨 건을 컴퓨터로 알아봐도 되는지 여쭤봤어요.⏎그래서 컴퓨터로 알아보고 있었어요."
037-046	"어……에헤헤, 아까는 정말 죄송해요, 패닉에 빠져서.⏎아무 나쁜 짓도 안 했어요."
037-047	"그렇군……어떤 경찰관이었지?⏎보통은 그런 걸 허가할 수 없는데."
037-048	"죄송해요, 그 여자 경찰관분 이름까지는 몰라서요……."
037-049	"그런가 뭐 대단한 일은 아니지만 너무 떠벌리지는 말게. 알겠나?⏎그리고 컴퓨터도 적당히 만지고, 상관없는 건 알아보지 말게."
037-050	……해냈다.
037-051	"네, 물론이죠."
037-052	진짜로 해 버렸다…….
037-053	"뭐, 그래. 친구가 결백하면 좋겠군."
037-054	"감사합니다."
037-055	그렇게 말하고 형사님은 떠나갔다.
037-056	……
037-057	뭐……,
037-058	……뭐……,
037-059	뭐야─!? 어, 거짓말……진짜로?! 대, 대박!
037-060	나, 진짜로───!?
037-061	나……나 거짓말할 수 있는 거야!?⏎이런 거, 이거……굉장하잖아!
037-062	대체 무슨 일이야!? 무슨 일이 일어난 거야!? 뭐야 이거!?
037-063	나도 모르게 반사적으로 바인드를 만져 보기도 하고.
037-064	거짓말───그래, 내 거짓말. 바인드는 전혀 반응하지 않았다…….⏎마치 접속이 완전히 끊겨 버린 것처럼.
037-065	바인드에 손을 대고 목줄 색을 보니……노란 삼각형이 손바닥에 사라졌다.⏎……그러니까 완전히 접속이 끊긴 건 아닌 모양이다.
037-066	그래도 방금 그건 틀림없는 현실이다───난 분명 거짓말을 했으니까.
037-067	이렇게 굉장한 일이……앗!
037-068	고개를 도리도리 젓는다. 이런 데 서 있을 때가 아니다───.⏎난 컴퓨터를 쓰러 온 거다.
037-069	이 일은 나중에 다시 생각하자…….
037-070	돌아서서 다시 컴퓨터 검색으로 돌아간다.⏎금세 4.10.7.2 사건 파일을 찾아서 열어 본다.
037-071	……
037-072	흐음……,
037-073	……
037-074	으으음…….
037-075	……
037-076	……그, 그렇구나…….
037-077	다 읽고 나서 나는 화면에서 눈을 뗀다.⏎……불안한 듯 바인드를 만지작거린다.
037-078	"……"
037-079	지금도 믿기지 않는 기분이지만……역시 현실이다.⏎전부 꿈 같은 게 아니라 정말로 일어난 일이다.
037-080	어쩌면 나도 의외로 쓸모가 있을지도 모른다.
037-081	기다려요, 스토리 씨…….
037-082	이제 난 당신을 도와줄 수 있을 테니까───!
