# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
038-001	"아야메───무슨 일이야?"
038-002	"……어?"
038-003	눈을 깜빡인다.
038-004	어, 그러니까……
038-005	방금 '보인' 건 뭐지?
038-006	저게 세상의 끝……? 린이 그리던 것 같은……?
038-007	근데 그게 꿈이라면……왜 나는 깨어 있는 거지?⏎게다가 왜 린은 내가 졸았다고 잔소리 안 하는 걸까?
038-008	대체 뭐야, 거긴 뭐지……? 그게 꿈이라면⏎그 뒤의 것도 꿈이잖아……? 대낮에 두 번 연속으로 꿈을 꾼다고?
038-009	……
038-010	"응, 좀 어지러워서."
038-011	"기숙사로 돌아가든가 보건실 가. 물 잘 챙겨 마시고 무리하지 말고."
038-012	"으, 응……"
038-013	간신히, 조금 비틀거리며 일어선다.
038-014	그렇게 겨우 문 앞까지 간다.
038-015	……그런데 방을 나서기 전에 한 번 더 돌아봤다. 린의 그림이 보였다.
038-016	……정말로 여전히 환상적이고 예쁘다.⏎그려진 건 틀림없이 이 세상의 끝이겠지.
038-017	……근데 내가 본 게 아니다. 나라면 저렇게는 안 된다.
038-018	……
038-019	조금은 기분이 나아졌지만 모르는 건 여전했다.⏎발을 끌며 터덜터덜 나는 기숙사로 향했다.
