# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
040-001	그럭저럭 진척은 있으려나…….
040-002	……말할 정도는 아니라고 할 수도 있지만.
040-003	어제는 잘 잤고 말 없는 애 면회도 방금 끝났다.⏎저쪽은 협조할 마음이 없어 보였지만, 적어도 사건에 대해선 알게 됐다.
040-004	그래서……아야메랑 아이리스, ……였나?⏎둘이 돌아간 뒤에도 나는 아직 경찰서에 있었다. 니아가───
040-005	"돌아왔어요! 기다리게 해서 죄송해요."
040-006	……흐응.
040-007	뭐, 화장실 간다고 했으니까……,⏎물론 파고들 생각은 없지만.
040-008	내 소매를 잡아당기며 귓속말하려는 니아.⏎……꽤 오래 있었잖아, 너. 손은 제대로 씻었어?
040-009	"실은요……그 뒤에 어제 그 형사님이랑 딱 마주쳤어요.⏎그래서 얘기했더니, 사건에 대해 여러 가지를 알게 됐어요!"
040-010	"……진짜로?"
040-011	얘 말이 사실이라 해도……좀 믿기지 않는다.
040-012	진짜로? 얘가?
040-013	……
040-014	뭐, 내가 접수원이랑 얘기시킨 뒤로 조금 자신감이 붙은 것 같긴 했지만.
040-015	뭐, 됐나.
040-016	"그래. 그럼 얼른 가자."
040-017	"어, 어? 어디로요?⏎아, 아직 뭘 알아냈는지 듣지도 않으셨는데요!"
040-018	"이런 데 오래 있기 싫거든……,⏎내가 좋아하는 카페로 데려갈 테니까 자, 가자."
040-019	한참 우물쭈물하더니 니아는 고개를 끄덕였다.
040-020	"……한 번 더 처음부터 들려줄래?"
040-021	얘……자기가 말하고 싶을 땐 엄청 빠르잖아.⏎내용이 하나도 안 들어왔는데…….
040-022	"……! 알겠습니다! 그럼 처음부터 다시 말할게요……."
040-023	……
040-024	……어, 심호흡?
040-025	"스토리 씨는 자기 나라에서 체포된 적이 있었어요.⏎애초에 출신이 베리키아라는 곳이라……해외네요."
040-026	"그렇구나, 응, 베리키아라면 알아. 그래서 뭘 해서 잡힌 건데?"
040-027	"해킹이요.⏎근데 기소까진 안 됐나 봐요, 체포 이력만 남아 있고요.⏎'악의적인 침입이 아니라고 인정됐다' 뭐 그런 거였던 것 같아요."
040-028	"그럼 그냥 불장난이었다는 거네.⏎뭐, 말하기 싫어할 만하네."
040-029	"네.⏎근데 문제는 침입한 게 정부 데이터베이스였다는 거예요."
040-030	어, 진짜로……?
040-031	"자세히는 잘 몰랐는데요……,⏎가족 기록을 보니, 그 애는 입양된 것 같아요."
040-032	"그, 부모로 등록된 사람들과 성이 다르고……,⏎세 번째 부모로 등록된 이름도 있었어요.⏎그 사람이 '에티엔'이라는 성을 가진 어머니인 것 같아요."
040-033	"아무래도 복잡한 집인 것 같아요……."
040-034	"……"
040-035	"그래서 사건 자체는? 그 형사는 뭐래?"
040-036	"아뇨……사건 자체는 형사님한테 아무것도 못 들었어요.⏎얘기했더니, 제가 경찰 기록을 계속 찾아보게 해 주셨어요."
040-037	'찾아본다'?⏎아까는 얘기했다고 하지 않았나?
040-038	……아니 뭐, 구체적으로는 말 안 했으려나.
040-039	"아, 아무튼 다른 용의자는 없다고 해요…….⏎아무래도 스토리 씨의 관여와 행방을 알리는 익명 신고가 있었고⏎그래서 체포 영장이 나와 조사를 받게 된 모양이에요."
040-040	"그래서 그─, 저, 언제였더라……"
040-041	익명 신고라…….
040-042	……
040-043	그 여자 담당자……꼭 짜맞춘 듯한 타이밍에 나타난 데다⏎자기 학생이 체포되는데도 당황하는 기색이 전혀 없었다.⏎그야말로 눈 한 번 깜빡이지 않을 정도로.
040-044	……아마 이건 그 담당자 짓이겠지.⏎우연이라고 하기엔 타이밍이 너무 좋다.
040-045	만약 정말 그렇다면……사태가 제법 성가시다.⏎대체 무슨 목적으로 그런 짓을 하는 건데?
040-046	……뭐, 전과가 있다는 것도 알았으니, 스토리가 범인일 가능성도 있다.⏎그렇지만……그 그룹에 스토리가 관여했다고는 보기 어렵다.⏎오히려 스토리 배경을 생각하면 더더욱 관여하지 않은 것 같다.
