# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
044-001	"으윽……"
044-002	진짜 최악.⏎제대로 못 잤는데, 이상한 꿈까지 꿨어……
044-003	햇빛 때문에 눈이 아파……으윽.
044-004	어차피 그럴 거면 학교 끝날 때까지 자지 그랬어?
044-005	얼굴을 팔에 파묻고 창밖 구름을 본다.
044-006	자, 이제 눈만 감으면───
044-007	"메이, 일어났나?"
044-008	……
044-009	목소리가 들리는 쪽을 보니 담임 선생님이었다.
044-010	"다행이군, 아직 정신이 말짱하군."
044-011	……
044-012	"뭔가 이유라도 있는 건가?"
044-013	"……"
044-014	"그런가……방과 후 교무실로 오게. 알겠나?"
044-015	……
044-016	고개를 돌리고, 다시 한 번 눈을 감는다.⏎……솔직히 왜 더 안 혼나는 건지 나도 좀 신기하네.
044-017	아무튼 자자, 한 번 더……
044-018	……그래, 잘 수 있다면, 말이지.
044-019	지금까지의 망한 흐름이나 되짚어 볼까.
044-020	우선 아까 만난……니아 케나.⏎멍청이.
044-021	머저리였다.⏎두 번이나 대놓고 거짓말한 새대가리.
044-022	나? 우연히 같이 졸았던 멍청이랑 세트로 방과 후 훈계.⏎듣자 하니 '윗분들'……'정부' 눈에 띈 것 같다.⏎그래, 농담도 음모론도 아니고───'세계통일정부'가 찍은 거다.
044-023	덕분에, 내가 떠맡은 건 골칫거리…….⏎세계통일정부 밑에 있는, 엄청 수상한 프로그램의 과외 활동이거나,⏎───아니면, 퇴학인 셈.
044-024	뭐 그래도 정작 서류에 소름 끼치는 조건 같은 건 없었다.⏎……솔직히 애초에 대단한 내용 자체가 없었지만.
044-025	있던 건 정부 특유의 시시한 문구뿐.⏎벌써 세금도 내고 있는데, 아직도 내 인생을 붙잡아 두려는 거야?
044-026	───진짜 썩어 빠진 정부.
044-027	결과만 내면 되는데.⏎제대로 일하고 좋은 일까지 해낸다면 그걸로 충분하잖아.
044-028	애초에 학교에 갈 필요가 있는 애는 아무도 없어.⏎의미라도 있어? 가르쳐 주는 건 전부 쓰레기잖아.
044-029	아니면 뭐야, 부모가 못할 때를 대비한 안전장치?
044-030	검색도 할 수 있어. 나를 위한 공부도 할 수 있어.⏎그 정도는 인정해 줘. 내가 해 온 것 좀 봐.
044-031	아직 부족해? 10년 가까이 전부 혼자 할 수 있다고 해 왔는데?
044-032	……머릿속이 마그마처럼 끓어오른다.⏎이대로 도시 통째로 재로 만들어 버릴까.⏎그래, 전부 전부 쓸어버리고, 산도 호수도 다 태워 버려도 돼.
044-033	호수가 증발하든 말든 상관없어, 밑바닥까지 태워 버리고,⏎땅속까지 엉망으로 만들어 줄 거야.⏎당황한 정부의 늙은이들한테 침이라도 뱉어 줄까.
044-034	───아아, 이제 가라앉지 않아. 멈추지 않아.
044-035	기분 전환하려고 틀어 놓은 음악인데, 전혀 풀리지 않아. 와닿지도 않고.
044-036	어떻게든, 어떻게든……
044-037	……
044-038	……하?
044-039	눈앞에서 여자애 하나가 살짝 손을 흔들고 있다.
044-040	……뭐야, 또?
044-041	"저, 저기──……"
044-042	……
044-043	"……뭐?"
044-044	"그, 그거……남방 10번째 게임 3스테이지, 이동 중 BGM이죠……?"
044-045	……!
044-046	……진짜?
044-047	"……"
044-048	"해 본 적 있어? 진짜로?"
044-049	"역, 역시 그렇죠! 대, 대단해……"
044-050	"남방을 아는 사람이……이, 이 학교에 한 명도 없을 줄 알았어요.⏎게다가 사운드트랙까지……그거, 특히 좋은 곡이죠! 우와, 우와아……"
