# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
049-001	이걸로 다 썼나…….
049-002	……비밀, 이구나.
049-003	보는 것도 싫은데…….
049-004	……그래서 주위를 둘러본다.
049-005	스토리 씨는 다들 뒤쪽에 있다.⏎바인드는……엄청 화나 있는 것 같다.
049-006	아니 화나지 않은 사람은 나랑 메이 씨뿐인 것 같다.⏎다들, 다들 화나 있다. 아야메 씨까지 화나 있다니…….
049-007	애초에 비밀 같은 건 아무도 알려 주고 싶지 않아…….⏎건드리면 안 되니까 비밀인 거고.
049-008	……하아.
049-009	"전원 끝났나."
049-010	고개를 끄덕여 응했다. ……아마 다들도.
049-011	"너는 진실을 썼나, 니아?"
049-012	"……? 네."
049-013	"아야메는 어떤가. 너는 진실을 썼나?"
049-014	"……네, 썼어요."
049-015	"아이리스, 너는 진실을 썼나?"
049-016	……
049-017	……?
049-018	일제히 아이리스 씨를 보는 우리.
049-019	그러자 서늘한 미소를 띠고…….
049-020	……아이리스가 답했다.
049-021	"당연하지."
049-022	……어!?
049-023	그런……!
049-024	저 사람, 태연하게 거짓말을……!?
049-025	스토리 씨는……웃고 있다.⏎근데 나는……아야메 씨도 메이 씨도 안절부절못한다.
049-026	그야 있을 수 없잖아…….
049-027	"호오, 또 그런 식으로 거짓말을 하나…….⏎조금은 내 예상을 뒤집을 생각은 없나?"
049-028	"물론이지. 당신 '기대에 못 미치는' 쪽이⏎될 수 있다면야, 얼마든지."
049-029	"호오, 그럼 기뻐해라. 너를 포함해 전원 다시 쓰게 한다.⏎이번엔 당연히 진실을 쓰게 하겠다."
049-030	"허? 그게 어쨌다는 건데."
049-031	"해 봐라, 한 명씩 빠짐없이 꼼꼼하게 벌을 주겠다.⏎아이리스, 특히 너다───당연하지."
049-032	허, 허어?!
049-033	"야, 그게 무슨───……?"
049-034	"자기가 대체 뭐에 가입했는지 아직 모르는 모양이군."
049-035	책상에 기대고 이쪽을 바라보면서.⏎그렇게 말하며 꺼낸 것은 새 종이 다섯 장.⏎그러니까 이 담당 선생님은……예상하고 있었던 거다. 이렇게 될 걸.
049-036	"모르는 것도 무리는 아니다. 어떤 의미로는 노린 대로이기까지 하지."
049-037	"하지만 아주 자세히 알려 주지. 만약 일을 키운다면 간단하다.⏎보답으로 나도 전력으로, 최대 최악의 시련을 너희 전원에게 안기겠다."
