# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
050-001	아마치 시…….
050-002	그러고 보니 나, 이 도시에 대해 아무것도 모를지도.⏎언제 생겼는지, 올베르도 역사에서 어떤 위치인지…….
050-003	도시를 흐르는 지류 옆 둔치를 우리는 걸어간다.⏎조금 거리를 두고 걷는 아이리스 씨를 나머지가 따라오고 있다.⏎아무도 아무 말도 하지 않는다.
050-004	……그래도 다들 목덜미는 정직하다───아직 다들 기분이 나쁜 모양이다.
050-005	"……뭐야? 이제 말하기 싫어?"
050-006	"……?"
050-007	돌아보니 아야메 씨와 스토리 씨.⏎……뭔가 주고받는 중인 걸까.⏎스토리 씨가 폰을 보여 주는데 뭐가 떠 있는지는 안 보인다.
050-008	말을 하지 않는다…….
050-009	나도 말을 안 해 볼까…….
050-010	이윽고 아이리스 씨가 물가에 앉아 물 위를 바라보고 있다.⏎그 옆에 메이 씨가 앉아서 나는 둘 뒤에 서 있었다.⏎아야메 씨와 스토리 씨도 이미 앉아서 수다를 이어 가고 있다.
050-011	……슬쩍 아이리스 씨를 살핀다.
050-012	……메이 씨 대단하다. 난 아이리스 씨가 아직 무섭다.
050-013	조금 망설이다가 메이 씨와 아야메 씨 사이에 앉아 본다.⏎아이리스 씨와 스토리 씨가 양 끝이 되는 꼴이다.
050-014	"……저기, 다들."
050-015	아야메 씨에게 전원의 시선이 모인다.
050-016	"우리 여기서 그만둬야 하는 걸까?⏎그 사람 말을 한 번은 들었는데 이번엔 어떨까 싶어서."
050-017	"……난 아직 빠질 수 없어."
050-018	"나도 그런 것 같아."
050-019	"저, 저……저도 좀, 그게……"
050-020	……모, 목소리가 너무 작았다.⏎아마 아무도 못 들었나……?
050-021	저도 지금은 아직요. 적어도 최선의 선택지는 아니니까요.
050-022	역시…….
050-023	"그, 그렇죠……."
050-024	"으음……뭐, 그렇지.⏎정면으로 항의해도 어떻게 될 것 같지도 않고……"
050-025	"……그런 애매한 계약서에 서명하지 말 걸 그랬나."
050-026	"맞다, 그러고 보니 그 계약서……"
050-027	이번엔 메이 씨에게 시선이 모인다.
050-028	"……아니, 제안 자체가 문제인가.⏎그 계약서 결국 우리 대답이 하나뿐이라는 걸 전제로 한 거잖아."
050-029	"즉───'어차피 받아들인다'는 걸 알았으니까 우리가 뽑힌 거야."
050-030	……
050-031	"……어차피 정부 주도다. 지원 내용이야 뻔하겠지."
050-032	……으음.
050-033	"글쎄……난 되도록 그 일은 생각 안 하고 있어서."
050-034	"지금은 아무튼 다 같이 최선을 다하자."
050-035	"여기 있는 다들 나름대로 볼 만한 구석이 있는 거잖아?⏎봐, 나랑 같이 뽑혔잖아."
050-036	"좀 봐줘라……."
050-037	"아, 뭐 말 안 해도 알지. 내가 귀엽고 머리 좋은 거야."
050-038	"자신감 과잉도 거기까지 가면 징그럽다."
050-039	"너무했어! 뭐 그래도 봐───'내 발언은 또 진실이다'야."
050-040	"하, 아니거든─……."
050-041	"……후훗."
050-042	방금 그 대사, 확실히……그 무서운 선생님이랑 닮았을지도. 헤헤.
050-043	"좀 하네. 그나저나 그 여자, 아무래도 성가실 것 같───…"
050-044	"───실례, 거기 학생들, 잠깐 괜찮을까?"
050-045	……목소리에 이끌려 뒤를 보니.
050-046	……어, 경찰? 경관 한 명이랑 다른 한 명은……형사?
050-047	"얘기 중에 미안하구나. 우리 둘은 경찰이다.⏎잠깐 이쪽으로 올라와 주겠니?"
050-048	……마지못해 전원이 둔치에서 일어나 길가에 선 경관 두 명 쪽으로.⏎나와 메이 씨 말고는 흩어져서……느슨하게 거리를 두고 걷고 있다.
050-049	…………이거.⏎혹시 나 말고 다들 도망칠 준비 중인가요……?
050-050	아, 아무튼 형사님이 전원을 한 차례 훑어보고…….
050-051	……시선이 스토리 씨에게 멈췄다.
050-052	……불길한 예감이 든다.
050-053	나도 모르게 몸을 움츠리자 메이 씨가 옆에서 속삭였다.
050-054	"뭐……뭐 저질렀어?"
050-055	"어? 아─……아, 아무것도?"
050-056	"오, 이번에도 거짓말이 아니네? 좋아, 그 기세로."
050-057	"저, 정말, 메이 씨도 참……."
050-058	"거기 학생. 이름이 스토리 에티엔인가?"
050-059	스토리 씨는……답하지 않는다. 폰을 꺼내려고도 하지 않는다.
050-060	"……아, 그 말 없는 애인가. ……이봐, 말 없는 애였지?"
050-061	그 자리에서 형사님이 옆 경관에게 확인한다.⏎경관은 곧바로 고개를 끄덕였다.
050-062	"좋아. 그럼 널 체포한다. 얌전히 따라와라."
050-063	……
050-064	……하?!
050-065	스토리 씨를……어어!?
050-066	"잠깐, 하지 마."
050-067	아, 아아……큰일이다, 이건 무조건 위험하다.
050-068	"대체 무슨 혐의냐, 체포하려면 이유를 설명할 의무가 있잖아."
050-069	"이 아이는 미성년자라 혐의는 경찰서에서 본인에게만 설명한다.⏎미안하지만 일행인 너희에게 사정을 이 자리에서 설명할 수는 없다."
050-070	"야, 너 범죄 같은 거 저질렀냐?"
050-071	스토리 씨가 폰을 들어 올렸다.
050-072	아니요
050-073	"말 없는 자의 경우 바인드에 신빙성은 없습니다."
050-074	으윽, 그, 그럴지도 모르지만…….
050-075	"그딴 거 필요 없어. 얘는 안 했다고 하잖아."
050-076	그, 그건 좀…….
050-077	"그건 수사해 봐야 아는 거다."
050-078	"야."
050-079	아이리스 씨가 경관 쪽으로 한 발 내디뎌서…….
050-080	"자, 잠깐, 저거 뭘 하려는 거예요?"
050-081	"나한테 묻지 마……아무튼 지금은 위험해지면 도망칠 준비나 해 둬."
050-082	"표적은 우리가 아니니까 괜찮을 것 같지만."
050-083	"제대로 된 이유가 있으면 말해, 아니면 꺼져."
050-084	"학생, 진정하세요."
050-085	"그러니까아, 너희 이유를 대라고."
050-086	자, 잠깐만……! 아무리 그래도 그렇게 다가가면!
050-087	"말해 보라고."
050-088	"학생, 제발 좀───"
050-089	───!? 뭐, 뭐야!? 뭔데?!
050-090	반사적으로 전원이 돌아보니…….
050-091	귀를 찢는 굉음……폰을 들어 올린 스토리 씨가 거기 있었다.
050-092	……소리를 멈춘 그 애가 새 메시지를 입력한다.
050-093	아이리스 씨, 더 이상 다가가지 마세요. 저는 갈 테니까요.
050-094	고마워요.
050-095	"따라갈 필요 없어, 이런 놈들.⏎혐의인지 의심인지도 똑바로 말 안 하잖아."
050-096	방금 막 만난 사람이 저 때문에 다치는 건 원하지 않습니다
050-097	물러나 주세요
050-098	"쳇……."
050-099	"……근데 나도 말인데?⏎이제 막 만난 애한테 이래라저래라 지시받고 싶진 않거든."
050-100	큰일이다, 아이리스 씨가 뭘 하려는 거다……!
050-101	───!?
050-102	"───!? 뭐───"
050-103	아이리스 씨 뒤에서 발을 걸었나?⏎아니, 팔을 끌어당겨 꺾어 잡혔다……저건…….
050-104	……프레이야 선생님!?⏎어, 언제!? 방금 그건 대체……게다가 왜 여기에…….
050-105	……아니, 우리 주의가 흐트러진 그 한순간에 아이리스 씨 뒤로!?
050-106	"이 자식……언제……!?"
050-107	아이리스 씨가 발버둥 치지만……꿈쩍도 하지 않는다.
050-108	"우왓……거기까지 안 하셔도……아, 터너 씨 맞으시죠?"
050-109	"직무를 수행하세요."
050-110	"이거, 놔……!"
