# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
051-001	……참나, 어처구니가 없다.
051-002	아크가……방주라면 어차피 탈 사람이 필요하다.⏎그런데 한 명이 더 사라져 버렸다. 이걸로 어떻게 노를 저으라는 거냐?
051-003	……
051-004	내가 한심하다, 진짜.
051-005	"저기, 아이리스. 같이 안 갈래?"
051-006	지금 나는 집에 가는 길이다.⏎학생을 체포당하게 두는 교사가 있는 미친 곳에서.⏎눈앞에서 태연하게 낯빛 하나 안 바꾸고 못 본 척 뻔뻔하게 있어서.
051-007	거기엔 온갖 놈들이 있었다. 불안해 보이는 놈,⏎차가운 놈, 체포된 말 안 하는 놈,⏎……그리고 눈앞의 아야메인지 뭔지 쓸데없이 기운찬 놈이라든가.
051-008	하나같이 아무래도 상관없지만…….
051-009	그나저나 그건 힘들었다. 그 말 안 하는 놈이…….⏎……아니, 이름 들었지……스토리인가.⏎그 녀석이 저항도 없이 그냥 잡혀가는 걸 보는 건.
051-010	저런 건 마음에 안 든다.
051-011	아무튼 이 아야메란 놈은……그 여자한테 당한 뒤에⏎도와줬다……그래서? 같은 전철을 타니 같이 가고 싶다고?
051-012	……문득 이 녀석의 바인드가 눈에 들어왔다.
051-013	………이 녀석.
051-014	……
051-015	"그래, 상관없어."
051-016	나란히 걷는 아야메와 함께 나는 역으로 걷기 시작한다.⏎……역에 도착할 때까지 둘 사이에 대화는 하나도 없었다.
051-017	객차 안에서 나는 서 있고 이 녀석은 앉아 있다.⏎이 노선을 타는 사람은 그리 많지 않은 모양이다…….⏎사실상 우리 전세였다.
051-018	밖에선 지금 해가 지고 있다.
051-019	"……"
051-020	"……야."
051-021	"……?"
051-022	"그딴 미친 상황에서 너 용케 침착하더라.⏎친구가 체포됐다고 해도 그렇게 있을 수 있어?⏎두 번이든 다섯 번이든 난 역시 열받을 것 같은데."
