# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
055-001	"그래서? 이게 대체 뭐야."
055-002	"그·러·니·까! 모른다니까!"
055-003	"어제 그렇게 읽어 대고 정리한 목록이⏎전부 틀렸다는 거냐?"
055-004	"아니야!"
055-005	"리듬 인디케이터가 아니야?"
055-006	"아니야."
055-007	"CCHX-70일 가능성은?"
055-008	"아니야!"
055-009	"그럼 지오=레오 매트릭스는 어때?"
055-010	"……아니야."
055-011	"너희 엄마한테는 물어봤냐?"
055-012	"아니……"
055-013	"……아. 안 물어봤네."
055-014	"물어보라니까. J랑 둘이서 엔지니어 했잖아?⏎아니면 지금도 현역이야? 그것도 정부가 데리고 있는 거고."
055-015	"흥, 알았다니까.⏎……좀 걱정돼서 별로 묻고 싶지 않았어."
055-016	아리아가 엄마한테 전화하러 자리를 뜬다.⏎그동안 나는 상자에 다가가 본다.
055-017	……이거, 진짜 리듬 인디케이터 아니냐?
055-018	어제 이것저것 만져 봤을 때 제일 감이 온 게 그거였어.⏎이유는 윗면이랑 옆면을 두드렸을 때 나는 소리야.
055-019	왠지 상자 옆면에 귀를 대고 다시 노크해 본다.
055-020	……가끔 딸깍 소리가 나는 것 같단 말이지.⏎피킹하다가 핀 위치가 맞았을 때 나는 소리처럼.
055-021	뭐, 내가 그렇게 믿고 싶은 걸 수도 있지만.⏎왜냐면 이게 진짜 정부가 만든 장치라면⏎여는 절차에 소리 듣는 게 들어 있다는 건 설계 실수로 너무 큰 거잖아.
055-022	뭐 그래도 낡은 기계고…….⏎정부라 해도 맨날 뭔 소린지 모를 짓을 하니까…….
055-023	아리아가 뭐라고 묻는 소리가 들려온다.⏎나는 상자 노크를 계속한다.
055-024	으음……패턴이 있다면……이런 느낌이려나…….
055-025	……진짜냐. 거짓말이지?
055-026	"우옷……!"
055-027	"노크하라고? 근데 부술 것 같아서 걱정인데……───우왓!"
055-028	아리아에게 알린다.
055-029	"……열렸어!"
055-030	"앗, 아……응, 열렸어! 어? 응, 보기엔……"
055-031	"엄마, 이거 테이프 레코더 같아?⏎……근데 이상한 스위치가 잔뜩 달려 있는데……"
055-032	"……너무 크게 생각했나 봐. 꽤 쉽게 열렸고.⏎읽었던 자료의 힌트로 충분───"
055-033	"……"
055-034	"아리아, 왜 그래……?"
055-035	"……"
055-036	통화를 끊은 아리아 얼굴엔 불안이 떠 있다.⏎어이쿠…….
055-037	"엄마가 지금 보러 온대……."
055-038	"……왜?"
055-039	"……"
055-040	"이거, 갖고 있으면 위험하다고……."
055-041	"……"
055-042	……그러고 나서 한참 지나서…….
055-043	해가 저물 무렵 아리아 엄마가 찾아와서,⏎오랜만에 인사를 하니…….
055-044	아리아 엄마는 아리아를 밖으로 데리고 나가서⏎단둘이 한참 작은 소리로 소곤거리다가……,⏎그대로 가 버렸다.
055-045	아리아 엄마는 분명 기계를 직접 다루는 타입은 아니었으니까⏎직접 도와줄 수 있는 건 없을지도 몰라.
055-046	아니, 그래도 말이지…….
055-047	생각에 잠긴 아리아에게 다가간다.
055-048	"그래서……대체 뭐였냐."
055-049	"……"
055-050	어이쿠……! 그 표정은…….
055-051	"정체 알아낸 거야!?"
055-052	"……고쳐지면 알려 줄게. 엄마 말로는⏎소리를 모으는 기기가 있는 곳에선 얘기 안 하는 게 좋대."
055-053	아리아가 그렇게 말하며 천장을 올려다보니……거기엔 작은 카메라가 있었다.
055-054	야, 이거 실제로 얼마나 위험한 거야?⏎겉보기엔……그냥 낡은 잡동사니잖아.
055-055	"고칠 때 도와줄 거 있어?"
055-056	"으음……"
055-057	"솔직히 말하면, 망 좀 봐 줬으면 해."
055-058	"이 기계를 되도록 남 눈에 안 띄게 숨기고⏎아는 사람은 최소한으로만 두라는 얘기라서."
055-059	"실제로 위험한 거야……?⏎미안하다, 그런 일에 끌어들여서."
055-060	"끌어들여? 어려운 말 쓰지 마."
055-061	"이거, 탐내는 사람이 많을지도 모른대……."
055-062	"근데 구조는 그렇게 복잡하지 않아서 고칠 수 있을 거야."
055-063	"진짜야?"
055-064	"진짜야. 방금 그렇게 말했잖아?"
055-065	그렇게 말하고 기계를 수레에 내려서 차고 안쪽으로 밀어 간다.
055-066	시간 좀 걸리겠네…….
055-067	나는 입구로 가서 주위를 경계하기 시작한다.
055-068	으음…….
055-069	……아무래도 좀, 분위기가 험악해지기 시작했네…….
