# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
056-001	"그래서 이게 대체 뭐야?"
056-002	"……"
056-003	"어제오늘 일인데 알 리가 없잖아. 바보야?"
056-004	"여는 방법 같은 건 아직 감도 안 잡혀?"
056-005	"뭐, 추측 정도는 있어. 여는 방법을 알았으면 진작 열었겠지."
056-006	"그럼 그 추측 좀 들려줘."
056-007	"방호용 외피에 담긴 암호 장치일지도 몰라.⏎근데 음성을 어떻게 한다는 게……으음……"
056-008	탁자 위에 올려둔 상자 모양 기계의 밑면을⏎아리아가 쪼그려 앉아 자세히 살펴본다. 옆에서 나도 그 기계를 본다.⏎……그러고 보니, 아직 제대로 자세히 본 적이 없었네.
056-009	"RMI랑 관계가 있을 것 같긴 한데……"
056-010	"슈라우드? 어떻게?"
056-011	"RMI를 분리할 때 나는 독특한 소리가 있잖아?⏎아빠가 그걸 연구했었잖아?"
056-012	"듣기로는, 그 소리를 패턴 분석하거나⏎아니면 머리 위로 지나갈 때 나는 소리가 있는지⏎알아보려던 사람도 있었대."
056-013	"예전 전쟁 때, 그 독특한 소리랑 암호 기술을 합쳐서⏎통신용 특수 암호 방식에 써먹으려고도 했던 모양이야."
056-014	"그래서? 잘 됐어?"
056-015	아리아가 이쪽을 보고…….
056-016	……그냥 어깨를 으쓱한다.
056-017	"됐다고 해도 기밀이겠지. 소문밖에 들어본 적 없어."
056-018	"일단은……자."
056-019	폰을 던져 받는다.⏎화면엔 몇 페이지에 걸친 자료, 엄청난 양의 글자, 수많은 도표.
056-020	"뭐야 이거?"
056-021	"아이디어 노트. ……집 컴퓨터에 있던 자료를 긁어모아서⏎하나로 정리한 게 이 파일이야."
056-022	"이거 읽고, 딱 와닿는 게 있으면 알려줘.⏎나는 더 가까이서 볼 테니까."
056-023	"외피 어딘가에 작게 일련번호 같은 게 새겨져 있으면⏎그걸로 알아낼 수 있을지도 몰라."
056-024	그렇게 말하며 내민 주먹에…….
056-025	……내 주먹을 마주 부딪친다.
056-026	"그럼, 시작해 볼까."
056-027	"좋지."
056-028	그렇게 나는 자료에 눈을 내린다.
