# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
059-001	……해낸 거야?
059-002	아니, 방금 건 이긴 거야? 진 거야?⏎애초에 이기고 지는 걸 따질 상황이야?
059-003	……폭풍이랑 대련이라도 한 기분이었어…….
059-004	……진짜 무서웠어.
059-005	하지만……이건 전부 실감이 나.⏎꿈이랑은 전혀 다르고, 저승이라는 것도 아닌 것 같아.⏎……즉 우린 아직 살아 있어.
059-006	서로의 심장 박동이 울려 퍼져서……,⏎이 4년 만에 처음으로 진짜 아이리스를 본 것 같은 기분마저 들었어…….
059-007	저편에 서 있는 아이리스를 본다───.
059-008	……어?
059-009	아이리스가……
059-010	……애가 돼 있어?
059-011	눈앞에 있는 건 익숙하면서도 낯선 아이리스.⏎……낯익은 겁쟁이가, 친구가 되어 준 여자아이의 몸속에 들어가 있어.
059-012	그 아이리스가 무릎을 꿇은 채, 몸과 머리를 감싸고 떨고 있어.⏎뿜어져 나오는 색은 빨강과 파랑. 게다가 바인드뿐 아니라 본인에게서도.⏎……고뇌의 색, 이려나.
059-013	혹시……전부 알게 된 뒤의 그 녀석도 이런 모습이었을까.
059-014	흥……
059-015	자기 손바닥을 가만히 들여다본다.
059-016	만약 아이리스가 어린애라면…….
059-017	……나는?
059-018	"알겠니, 아리아. 잘 들어 두렴."
059-019	……
059-020	방금 그건……
059-021	올려다보니 나를 안아 올리려는 자세로 아빠가 서 있어.⏎……그, 지난날의 일이 떠오른다.
059-022	"이 세계에서는 절대 거짓말을 할 수 없고, 해서도 안 된단다.⏎그런 짓을 하면 반짝! 하고 순식간에 들통나 버리니까.⏎그런데 말이야……거짓말을 하면 안 되는 이유는, 거기에 있지 않아."
059-023	"누구도 거짓말을 못 해. 그건 분명 중요한 일이지. 하지만 말이야……,⏎더 중요한 건 아무 말도 하지 않기로 고를 수 있는 자유란다."
059-024	"……무슨 뜻이냐고? 그건 말이야……,⏎진실을 말하고 싶지 않을 때, 거짓말을 할 필요는 없단다.⏎그럴 땐 속마음에 자물쇠를 채워 버리면 돼."
059-025	"……그런데 만약, 털어놓을 필요도 없는데⏎진실을 전하기로 마음먹었다면……그건 참 의미 있는 일이란다."
059-026	"잘 들어, 아리아. 만약 누군가가 진실을 말해 준다면.⏎아무것도 숨기지 않고, 속마음을 다 드러내 준다면……"
059-027	"제대로 귀 기울여 줘야 한단다.⏎그건 결코 쉬운 일이 아니니까."
059-028	……
059-029	한순간……
059-030	……여기서 싸움을 시작하기 전 아이리스가 했던 말이 뇌리에 울린다.
059-031	"우리는 모두 같은 하늘 아래 태어난단다.⏎그리고 저마다, 두려워하는 괴물을 하나씩 품고 있지."
059-032	"그래서 모두 연결되어 있단다.⏎그 사실만은 잊지 않았으면 해.⏎당장은 모를지 몰라도……언젠가, 분명 알게 될 테니까."
059-033	……
059-034	"혹시 잊어버리더라도, 괜찮단다.⏎언제든 우리가 곁에서, 다시 떠올리게 해 줄 테니까."
059-035	"진실을 하나 알려 주지, 아리아. 우린 널 사랑하고, 소중히 여겨.⏎그리고 사랑이란 건, 변하지 않는 거야!⏎우린 언제나, 네 곁에 있단다."
059-036	"알겠니? 약속이다───지금 한 말은, 결코 변하지 않아."
059-037	훗.⏎있잖아, 아빠……
059-038	그거, 거짓말이지……?
059-039	……
059-040	기억이……바래져 간다…….
059-041	그리고……뭔가 묘한 감각이 든다.⏎마치 누군가에게 도움을 청하는 것 같은 기분.
059-042	하지만 나는 도움 같은 건 바라지 않아……,⏎진작에, 내 발로 일어서는 법을 배웠으니까.⏎그렇다는 건, 즉───.
059-043	이 기분은……내 것이 아니야.⏎그렇다는 건…….
059-044	너……지금까지 전부, 보고 있었지……?
059-045	다시 아이리스를 본 순간, 분명 아이리스라고 확신한다.
059-046	마치 바로 뒤에서 내 이름을 부르는 것 같아.
059-047	그래서……
059-048	그래서 좋지 않아……?
059-049	나도……나도, 친구가 괴로워하는 건 바라지 않으니까.
059-050	아빠……말했지, 사랑은 변하지 않는다고.⏎나는 계속, 아빠의 딸이야.
059-051	아이리스는……내 자매가 아니게 되거나……한 걸까?
059-052	그 마음은 사라져 버린 거야……?
059-053	분명 그게……그 녀석이 한 일을 받아들일 수 없는 이유야.
059-054	……
059-055	그 녀석이 옆에 있는 지금, 직접 보는 것도, 느끼는 것도 할 수 있어.
059-056	아이리스는 지금, 예전의 내 처지에 있어.⏎그때는 엄마도 괴로워했고, 내겐 아무도 없었고……,⏎같은 마음을 알아주지 않는 아이리스가……미웠어.
059-057	……그래도 곁에 이야기를 들어 줄 누군가가 있었다 해도⏎이해해 줄지는 별개의 문제야……특히 이 기분은.
059-058	모두가 이해해 주고 도와주는 건 아니야.⏎떠올리는 것만으로도 괴롭고, 말하려 들면 더더욱.
059-059	그럼……왜 아이리스가 우리와 똑같은 괴로움을……?⏎이유라도 있어? 정의나 신을 위해서……?
059-060	나는 물어봐야 한다고 생각해…….
059-061	누군가가 괴로워해야만 하는 이유 같은 게, 있어?
059-062	나는 아이리스가 아니라, 나 자신의 내면으로 의식을 돌렸다.
059-063	그곳에서 찾아낸 아이리스의 떨리는 손을 잡았다.
059-064	훗……
059-065	알고 있는지는 모르겠지만⏎아이리스는 지금 내 마음속으로 도망치려는 거야.
059-066	나는 그걸……
059-067	……
059-068	그럼, 내 대답은 이거야.
