# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
060-001	"잘 들어, 똑똑히!"
060-002	"나는! 세계 최초의!⏎그리고 세계 최고의 식물학자 겸 유도가가 될 거야!⏎꽃에 둘러싸인 최강의 유도가가!"
060-003	"그리고 역사에 이름을 남기고 말 거야!"
060-004	"와, 와아. 우와아……!"
060-005	"있잖아……나도 같이……역사에 남아도 돼?"
060-006	"당연하지! 유도에서 중요한 건 머리 좋은 거고, 너 머리 좋으니까!"
060-007	"우리, 같이 최강이 되자! 약속이야!⏎자연과 기계……그 둘이 합쳐지면, 무서울 게 없어!⏎역시 나는 천재!?"
060-008	"그래!! 너는 세계 최초의 정비사 겸 유도가가 되는 거야!⏎대박, 너무 멋있잖아! 그치, 아리아!"
060-009	"응! 굉, 굉장할 정도야!"
060-010	"아하하하!"
060-011	"헤헤……!"
060-012	……!
060-013	무릎이 풀려 주저앉고, 두 손으로 바닥을 짚는다.⏎……나도 모르게 눈이 크게 떠진다.
060-014	나는 이를 악물고, 커진 눈을 가늘게 뜬다.
060-015	눈물이 흐르고, 기침이 나온다.⏎주먹을 쥐고, 나 자신을 저주했다.
060-016	"젠장, 젠장……윽, 아……이, 빌어먹을……!"
060-017	지금까지 살아오면서 최악의 기분이다.
060-018	아리아 아버지의 모습을 다시 보고 싶어서, 고개를 든다.⏎하지만 현실로 돌아와 버렸고, 그 사람은 어디에도 없다.⏎이제……없는 거다.
060-019	우리도, 언젠가 모두 그렇게 돼.⏎……모두 다 없어져 버리는 거라고……!
060-020	아리아는 입을 열지 않는다. 나에게는 그 목소리도 들리지 않는다.
060-021	들리는 건 나 자신의 흐느끼는 소리뿐.⏎태양은 아직 지평선에 숨어 있는 채.
060-022	……
060-023	"으윽……싫어……싫어……"
060-024	……나는 대체 언제까지, 이러고 있을 셈이지……?
060-025	"아이리스"
060-026	아리아 쪽을 본다.⏎한쪽 무릎을 세우고, 양 다리 위에 손을 얹은 채 나른하게 앉아 있다.
060-027	아리아는 하늘을 보고 있다.⏎나는 그럴 수 없다.
060-028	"고칠 데, 도와줄게."
060-029	"그 상자도. 너도."
060-030	……
060-031	"내가 왜 유도가가 되고 싶었는지, 너한테 말했었나?"
060-032	"아니야, 그보다……너 지금도 꿈이 있다고 말할 수 있겠어?"
060-033	"뭔가 찾을 수 있으면 좋겠네."
060-034	"내가 버림받았을 때, 진심으로 괴로웠던 건 말이야……"
060-035	"그 꿈을 믿었던 게 내가 아니었으니까.⏎그게 괴로웠어───내가 믿고 있던 건, 그 꿈을 믿는 너였어."
060-036	"너는 망설이지 않았어. 언제나 거짓말도 하지 않았지."
060-037	"정말 최고로 기분 좋았어…….⏎우린 어렸지만, 온 세상을 적으로 돌려도⏎질 것 같지 않았어. 그 정도로는."
060-038	"……"
060-039	"아이리스……네 신념은 그때, 산산조각이 났어.⏎누구나 그래. 앞으로 닥칠 일을 똑바로 마주하면 좌절할 것 같아져."
060-040	"괴로움은……아무리 발버둥쳐도 벗어날 수 없을 때도 있어."
060-041	"그래도 말이야……괜찮아. 혼자 마주하지 않아도."
060-042	"……있잖아, 아이리스"
060-043	"네가 신념을 가지고 나아가면 말이야, 그게 전해지는 거야.⏎주위 사람들의 마음에도, 뭔가가 깃들어."
060-044	"나는 지금도 이 현실과 마주하려고 필사적으로 뭔가를 붙잡으려 해.⏎붙잡을 수 있으면 좋겠다고 생각하면서도,⏎아직 믿을 만한 걸 못 찾고 있어."
060-045	"그건 너도 마찬가지라고 생각해. 그래도……나는 기도하고 있어.⏎뭔가를 찾을 수 있게."
060-046	"나는 알아……꿈만 다시 한 번 찾을 수 있다면───"
060-047	태양이 지평선에서 완전히 떠오름과 동시에, 아리아는 고개를 내린다.
060-048	그 눈이 나를 붙잡고 있었다.⏎거칠게 숨을 내쉬며, 그 시선을 받아들인다.
060-049	……아리아가 말한다.
060-050	"───분명 너는 세계를 바꿀 수 있어."
060-051	"그리고 나는……네가 바꾼 세계에서 살아 보고 싶다고 생각해."
060-052	"언젠가, 믿을 수 있는 걸 찾게 되면 말이야……"
060-053	"……그때는, 알려 줘. 나, 같이 갈 테니까."
060-054	아리아가……나에게 손을 내민다.
060-055	손을……나에게……
060-056	빌어먹을……
060-057	"아리아……"
060-058	나는 고개를 떨구고……
060-059	"미안해……"
060-060	"함께 있어 주지 못해서 미안해. 정말 미안해. 겁에 져서, 미안해."
060-061	"괜찮아."
060-062	"괜찮지……않잖아……!"
060-063	"버릴 생각은 없었어……!⏎그때는……차라리 한 번에……"
060-064	"쉿……"
060-065	"여긴 코에부스 카일이야. 조금은 비밀이 있어도 괜찮아."
060-066	"그래도 나에게 마음을 털어놔 줘서……,⏎내 친구로 있어 줘서, 고마워."
