# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
061-001	유도를 그만둔 건───
061-002	겁에 질린 내가 혼자서 정한 일이었다.⏎게다가 아리아의 부모님이 물어봐도 이유를 말하지 않게 해 달라고,⏎아빠랑 엄마한테 부탁까지 했지.
061-003	애초에 아빠랑 엄마한테는 그만둔 이유가 돈이라고 했고.⏎그 자체는 사실이었지만……이유의 전부는 아니었다.
061-004	나에게서 속마음을 끌어낼 수 있는 인간……,⏎모든 게 싫어졌다고, 그렇게 말하게 만들 수 있는 인간이 있다면.⏎……그건 여섯 살 때부터 함께한 소꿉친구 아리아뿐일 거다.
061-005	인정하고 싶지 않았어.⏎강하고 뛰어난 인간이라고 자부하는 내가,⏎자신감을 잃고 무력감에 짓눌려 있다니.
061-006	그래서……나는 완전히 아리아를 무시했어.
061-007	그리고 한 달 뒤, 아리아 아버지가 목숨을 잃었을 때……,⏎나는 내 한심함을 뼈저리게 느끼고 있었다. 말을 걸 용기조차 없었다.
061-008	내 안의 모든 것이 입을 모아 말을 걸라고 외치고 있었다.⏎동시에 모든 것이 입을 모아, 그럴 리 없다고도 말하고 있었다.
061-009	그로부터 4년, 나는 더더욱 못난 인간이 됐어.
061-010	여기서 다시 기어올라갈 수 있을지……지금도 모르겠어.
061-011	"그래서 이게 그 상자?"
061-012	"응, 아……아무 말 없이 있어서 미안.⏎아직……마음 정리가 안 돼서."
061-013	"손수레 가져와 줘서 고마웠어.⏎……말 안 했지만, 이거 진짜 무거워."
061-014	"이미 들었어. 자, 장갑. 끼고 나서 책상에서 옮기는 거 도와줘."
061-015	프레이야의 책상에 다가가서, 둘이서 상자를 들려고 하는데……,⏎솔직히 둘이서 해도 아직 힘들다. 그걸 본 아리아가,⏎상자를 안고 있는 동안 내가 책상을 기울이는 방법을 떠올린다.
061-016	그 자세로 되겠냐? 하고 내가 물어붙이자,⏎짧게 괜찮다고 답해 온다.⏎그걸 듣고……
061-017	……평소라면 뾰족한 말대꾸라도 했을지 모른다.⏎하지만 지금의 나는 '알았어'라고 고개를 끄덕일 뿐.⏎책상을 아래에서 받치고 있는 사이, 아리아가 기계를 손수레에 내린다.
061-018	그렇게 한숨 돌리는 아리아의 어깨를 톡톡 두드린 다음,⏎함께 손수레를 밖으로 밀어낸다.
061-019	"이게 뭐고, 어떻게 고장 났든……,⏎가능한 한 빨리 조사해서, 수리해 볼게.⏎끝나면, 연락할 테니까."
061-020	"좋았어. 고맙다, 아리아."
061-021	"별거 아니야, 뭐."
061-022	"……"
061-023	내 눈을 아리아가 들여다본다.
061-024	그래서……
061-025	……아. 그랬지.
061-026	그 장면……둘이 함께 다이브했을 때의 일.
061-027	"응……"
061-028	"……"
061-029	"헤어지기 전에 물어보고 싶은데……,⏎그게 뭔지, 네 쪽은 모르는 거지?"
061-030	아니……고개를 저어 답한다.
061-031	"오케이.⏎으음, 그게 뭐였든, 뭐……"
061-032	……우리를 이어 준 걸까?⏎아니면, 다시 이어 준 걸까? 잘 모르겠어.
061-033	어쨌든 이렇게 아리아를 가깝게 느낀 적은 없었던 것 같아.
061-034	마치 둘이서 하나가 된 것 같은……하지만 애매한 느낌.⏎뭔가 좀 시원찮게 확실하지가 않지만.
061-035	하지만……처음 누군가에게 다이브했을 때를 떠올려 보면,⏎누구와도 할 수 있는 건 아닌 것 같았다.
061-036	아리아랑 아니면, 무리였겠지.
061-037	뭐, 그래도……
061-038	"뭐랄까 상관없지 않아?"
061-039	고개를 끄덕인다. 그러게.
061-040	나는 아리아를 상처 줬다. 하지만……
061-041	그 상처는……이미 아물었어.
061-042	"……그럼 이만."
061-043	"어, 그럼."
061-044	일단락된 것도 있어서……
061-045	……일단 아리아와 헤어졌다.
061-046	그리고 깨닫는다───돌아가는 전철이 같잖아, 하고.⏎깨닫고 뒤쫓아 가자, 맥 빠졌다는 말을 아리아에게 들었다.
061-047	하. 뭐, 그야 확실히───
061-048	그건 거짓말이라고는 못 하겠다.
