# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
062-001	오늘 준비를 하던 무렵……
062-002	"……?"
062-003	……!? 어, 스토리!?
062-004	서둘러 통화를 받는다───영상 통화다.
062-005	"여보세요? 무슨 일 있어?"
062-006	"무슨 일 없으면, 전화하면 안 되나요?"
062-007	"……프레이야 같은 소리 하네."
062-008	"부탁드리고 싶은 게 있어요. 그걸, 솔직한 말로 전하고 싶어서요."
062-009	"……꼭 평소랑은 다른 사람 같은 말투네."
062-010	"언제나 그런 건 아니에요."
062-011	"하지만 그런 건 알고 있잖아요?⏎애초에 진실을 숨길 자유를 구하기에,⏎말을 안 하게 되는 거니까요."
062-012	뭐, 그렇네. 솔직히 부럽긴 해.
062-013	"그래서 부탁이라는 건?"
062-014	"다시 한 번, 아리아와 이야기해 주셨으면 해요. 혼자서요."
062-015	"저로는 도움이 안 될 것 같아서요."
062-016	"……"
062-017	"원래 그럴 생각이었지만……굳이 나한테 부탁하는 이유는?"
062-018	"……"
062-019	"말솜씨가 좋고, 사람 사귀는 것도 잘하니까요."
062-020	"하지만 아무 도움도 없이 아리아와 이야기하는 건⏎어려울 거예요. 그래서……"
062-021	"비장의 한 수를, 하나."
062-022	"비장의 한 수?"
062-023	"아이리스가 아리아에게 한 배신이라는 건───"
062-024	"───단지 아리아를 버리고 떠난 것만이 아니에요."
062-025	……그거……
062-026	혹시 어제, 아이리스가 말하려다 그만둔 거?
062-027	스토리가 이틀 전에 아리아를 만났을 때, 뭔가 알게 된 걸지도 몰라……?
062-028	"저는 진실을 말할 수 없어요───말해서는 안 되니까.⏎그래서……"
062-029	"……"
062-030	"대신 제 얘기를 조금 할게요."
062-031	"어!? 정말!?"
062-032	"……"
062-033	"너희 네 명은 제 첫 친구가 아니에요."
062-034	"친구라고 생각해 주고 있는 거구나……!"
062-035	"그건 제쳐 두고, 말이죠……"
062-036	"예전 고향에 있던 시절, 저에게는 몇몇 친구가 있었어요."
062-037	"올베르도는 네 고향이 아니잖아."
062-038	"당연히 그렇죠."
062-039	"베리키아 친구들과는 아직도 이야기하거나 해?"
062-040	"예상한 대로 반응해서 다행이에요."
062-041	그게 무슨 뜻이야!?
062-042	"어쨌든 이야기하는 건 무리예요."
062-043	흥.
062-044	"그건 네가 말을 안 해서 그래?"
062-045	"이미 죽은 사람들이니까요."
062-046	───……
062-047	"나……"
062-048	"……정말 미안해."
062-049	"몇 명은 그냥 연락이 끊긴 것뿐이지만요.⏎하지만 그 반응을 보니───"
062-050	"아야메는 아직 아무도 잃어본 적이 없군요."
062-051	"없어……"
062-052	"……"
062-053	"누군가를 잃었을 때, 중요한 건……"
062-054	"……아직 함께 있어 주는 사람에게 기대는 거예요."
062-055	"만약 그런 사람이 아무도 없거나,⏎있어도 손을 내밀어 주지 않을 때의 기분이라는 건───"
062-056	"그건 정말 끔찍하고 무서운 거예요."
062-057	"……너에게는 누가 곁에 있어 줬어?"
062-058	"……"
062-059	"처음 겪었을 때는, 아무도. 처음으로 친구를 잃었을 때……,⏎저도 남은 친구들도 그 일은 전혀 꺼내지 않았어요."
062-060	"마주하기가 너무 괴로웠으니까요."
062-061	"그리고……제 부모님은……"
062-062	"……"
062-063	"마음이 상냥하다고는 도무지 말할 수 없는 사람들이에요."
062-064	어……?
062-065	"그러다 저는 미레유───엄마를 만났어요."
062-066	"결국 제 친구는 미레유 말고는 아무도 남지 않았지만……"
062-067	"미레유가 계속 곁에 있어 준 게 마음의 버팀목이 됐어요."
062-068	"……만약 또 누군가와 이런 이야기를 하고 싶어지면,⏎나한테 기대도 돼."
062-069	"……"
062-070	"역시 좋은 사람이네요."
062-071	……
062-072	그러면 좋겠지만……
062-073	"아리아와 이야기할 때는……"
062-074	"제가 한 말을 떠올려 봐 주세요."
062-075	"───어딘가 무섭죠, 우리 이 세계는."
062-076	"확실히 부당한 일도 많이 있지만……"
062-077	"그래도 우리는 여기서 살아가고 있어요."
062-078	"뭔가 할 수 있는 게 있을 거예요."
062-079	"……잘 되면 좋겠네요.⏎나중에 또 이야기해요, 아야메……다음엔 문자로 해요."
062-080	"바이바이."
062-081	"……응. 또 봐, 스토리."
062-082	통화가 끊긴다.
062-083	……
062-084	죽음이려나…….
062-085	……
062-086	좋아.
062-087	머리를 다 빗고, 거울 속의 나를 바라봤다.
062-088	네 말, 잊지 않을게. 스토리.
062-089	───오늘만이 아니야. 제대로 마음에 새겨둘 테니까.
