# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
064-001	됐다……! 잘됐어!
064-002	잿빛이 공간을 채운다. 숨 막히던 감각이 사라진다.
064-003	이러면 이제───,
064-004	어?
064-005	그, 그럴 리───,
064-006	"아───윽……!"
064-007	이거───!
064-008	───목줄에 송곳니가 박힌다.⏎피부를 뚫고 드는 그것은 타오르는 독으로 가득해서───,
064-009	심장까지 스며든다. 구역질이 심하다.
064-010	안 돼, 생각할 여유가……그래도 그래도……⏎그래도 나는 알아, 저건……,
064-011	자리 잡은 게 아니야……오히려 튕겨 나온 거야.
064-012	나는 현실로 돌아와서 그대로……,
064-013	안 돼, 이제……한계!
064-014	"으윽……!!"
064-015	"……!"
064-016	아리아의 뺨을 손바닥으로 때렸다. 따귀다.
064-017	곧바로 아리아에게 손목을 붙잡힌다.
064-018	"갑자기 뭐 하는 거야……!? 때렸어……!?"
064-019	"바보는 너야, 남 얘기도 안 듣고!"
064-020	"뭐라고!?"
064-021	아리아가 다른 손목도 붙잡고 끌어당기는가 싶더니⏎반대로 뒤로 밀려 차에 몸이 눌린다.
064-022	"꺅!"
064-023	"모처럼 충고해 줬더니 때린다는 게 말이 돼!?⏎대체 무슨 정신머리야!? 미친 거 아니야!?"
064-024	"언제까지 그 애 편 들어주는 척할 거야!"
064-025	"!?"
064-026	……나……나, 떨고 있어…….
064-027	"먼저 말 걸어 볼 생각은 한 번이라도 했어!?⏎너희, 한 번이라도 진심으로 서로 마주한 적 있어!?"
064-028	"설령 그만큼 심한 짓을 당했다 해도! 그게 필요했을지도 모른다고⏎한 번이라도 생각해 봤어!? 말로 상처 주거나 화풀이하는 대신!"
064-029	"그 애가 이유도 없이 너한테서 도망쳤다고 생각해!?"
064-030	"대체 무슨 소리야……!?"
064-031	"그 애는……아이리스는 경찰한테도 맞서잖아.⏎그런 애가 너한테서만은 도망치는 거야!"
064-032	"네가 무서워서 어쩔 줄 모르는 거야!⏎그게 왜인지 생각해 본 적 있어!?"
064-033	"너, 그 애한테 미움받는다고 생각해!?⏎그럴 리 없잖아!"
064-034	"……!"
064-035	"노, 놔줘……!"
064-036	내가 몸을 비틀자 아리아의 손이 풀린다.⏎어깨를 늘어뜨린 그 애는 한동안 먼 눈을 하다가 바닥으로 시선을 떨군다.⏎……붙잡혔던 손목이 아프다.
064-037	감정이 가라앉아 온다……,
064-038	……
064-039	……나……그 애의 감정을 삼켜 버렸구나.⏎아니, 오히려 반대로 잠식당한 걸까.
064-040	방금 그거……한 발짝만 잘못됐어도 큰일 날 뻔했다.
064-041	아, 진짜 이게 무슨……,
064-042	"그……미안해."
064-043	"난 그냥, 그……어떤 사람한테서───"
064-044	아리아가 나를 본다. 나도 모르게 몸이 굳지만 어떻게든 침착함을 지킨다.
064-045	"어떤 사람한테 들었어. ……누군가를 잃었을 때⏎기댈 사람이 주위에 아무도 없다는 게……정말 무서운 일이래."
064-046	"어제 아이리스랑 얘기했을 때……속마음을 털어놨어.⏎……무서워하고 있는 거야, 그 애."
064-047	"……"
064-048	"네가 잃은 건 분명……"
064-049	"……너만 잃은 게 아니었다고, 나는 생각해."
064-050	아리아의 눈이 크게 떠지고 처져 있던 어깨가 올라간다.
064-051	그래도 되받아치지는 않는다.
064-052	"미안해. 정말……때려서, 미안해."
064-053	"이만 갈게……정말로 미안해."
064-054	……그 한심한 말만 남긴 채.
064-055	나는 고개를 숙이고 돌아서서……,
064-056	……그 자리를 떠났다.
064-057	……
