# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
079-001	스케치하는 중인데……,
079-002	아 진짜.
079-003	……아 진짜, 또 생각하고 있어.
079-004	'확실히 그랬던 시절도 있었지.'
079-005	……
079-006	'확실히 그랬던 시절도 있었지.'
079-007	……!
079-008	'그랬던 시절도 있었지.'
079-009	'있었다'? '있었다'는 게 무슨 소리야?⏎그거, 이제 친구가 아니게 됐단 거야!?
079-010	아니면 그 이상의 사이였던 거야!?
079-011	그야 그렇게 아파했잖아,⏎무조건 그런 거였을 텐데───!
079-012	아니 아니, 무슨 생각을 하는 거야!?
079-013	스케치북을 놓고 머리카락째 머리를 움켜쥐며 얼굴을 찌푸린다.
079-014	너도 친구 잃으면 괴롭잖아, 아야메!
079-015	……근데, 그렇게까지?
079-016	그렇게까지 괴로워하는 건가?
079-017	아, 진짜!⏎그 애 얘기, 더 듣고 싶었는데!⏎아리아가 대체 누구냐고!?
079-018	그야, 생각하면 생각할수록───,
079-019	아깝잖아, 라니───뭐야 이거!?
079-020	잠깐 뭐야, 뭐가 '아깝다'는 거야!?
079-021	'아깝다'는 게 무슨 생각이야!?⏎머리 괜찮아? 무슨 생각을 하는 거야!?
079-022	아이리스를 그런 식으로 보고 있었던 거야?⏎아니잖아, 그치!?
079-023	봐, 지금 당장 입 밖으로 말해 보면 되잖아!⏎그럼 확실히 거짓말이란 걸 알 테니까!
079-024	"……!"
079-025	봐, 얼른 말해 보라니까!⏎말하기만 하면 되잖아! 근데 왜 말을 못 하는 거야, 나!?
079-026	머릿속에 떠오른다. 점점 또렷해진다.⏎아이리스의 모습이, 그 등이, 어깨, 목덜미, 손……,
079-027	해커를 쫓아 뛰쳐나가던 아이리스……,⏎전철 안에서 나한테 씩 즐겁게 웃어 보이던 아이리스……,
079-028	……처음 봤을 때, 가만히 뭔가를 바라보던 모습.⏎그때 뭘 보고 있었던 거야……?
079-029	화낼 때, 부끄러워할 때……,
079-030	아야메……겨우 이 주밖에 안 됐잖아?⏎이런 건 안 된다고……안 되는 게 당연하잖아.
079-031	말도 안 되잖아, 그야……그런 눈으로 그 애를 보다니.⏎지금까지 아무도 이런 눈으로 본 적 없었는데.
079-032	게다가 만약 그 애한테 진짜 내 모습을 들키면?⏎어떡할 거야, 완전히 미움받을 거야. 그러니까 얼른 잊어───'잊어'!?⏎뭘 잊으라는 거야, 아야메!?
079-033	───안 돼, 이러다 머리 이상해지겠어.
079-034	침대에 뛰어들어 베개에 얼굴을 파묻는다.
079-035	"으으으으윽──!!"
079-036	그대로 한 번 소리치고, 두 번 소리치고……,
079-037	마침내 베개에서 얼굴을 떼고 벽을 노려본다.
079-038	머릿속에서 온갖 생각이 소용돌이치며⏎폭풍처럼 전부 다 부숴 버리고 있다.
079-039	뭔가……집중할 수 있는 걸 찾아야 해.⏎스케치로는 너무 수동적이라 안 돼.
079-040	폰으로 손을 뻗는다.
079-041	맞다……세워 뒀던 계획이 있잖아.⏎이 참에 실행해 버리자.
079-042	애초에 생각해 봤는데, 옛날 전쟁 시절 비밀 기계 같은 거……,⏎그런 걸 아는 사람이 미술 학교에 있을 것 같진 않아, 역시.
079-043	그러니까 지금 결정적인 단서가 보이는 거야.⏎그것도, 손 닿을 듯한 곳에.
079-044	그럼……잡는 수밖에 없지.
079-045	넷이서만 채팅방 만들게⏎나 비밀 얘기 하는 거 안 좋아해서⏎끝나면 바로 지울게
079-046	……이게 뭐야?
079-047	생각해 봤는데
079-048	우리 꼭 만나러 가야 할 것 같아⏎아이리스 친구였던 애한테
079-049	학교 다르잖아⏎부지에 들어갈 수 있는 사람 없잖아
079-050	선수를 빼앗겨 버렸네요.
079-051	아, 아야메 제안 얘기예요
079-052	어?
079-053	벡 고등학교에 가는 건가요? 다 같이?⏎방과 후인가요
079-054	네? 부지에 몰래 들어가는 건가요!?
079-055	그렇게 말 안 했잖아, 아니라니까
079-056	어쩌다 그렇게 되는 거야
079-057	몰라요!⏎그야, 안에 못 들어가는 거잖아요?!
079-058	들어갈 방법이라면 있어⏎게다가 딱히 어려운 것도 아니고
079-059	어렵지 않다면서, 그럼⏎스토리 학교엔 왜 안 갔던 건데?
079-060	안 갔었나요?
079-061	그때는 아무것도 몰랐으니까 그렇지⏎의문투성이였잖아
079-062	그래서 진짜 목적(범인 찾기)이라고 말했으면⏎절대 교내엔 못 들어갔을걸
079-063	근데 이번엔 친구의 친구를 만나러 가는 것뿐이잖아⏎그럼 문제없지?
