# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
082-001	전철 안 덜컹덜컹~.
082-002	같은 전철에 아이리스도 타고 있지 않으려나.⏎다른 칸인가? 만나서 같이 탈걸……!
082-003	친구한테 메시지 답장하면서 살짝 가슴이 콱 조이는 느낌.⏎───그 애를 안 부른 걸 진짜로 후회하는 것처럼.
082-004	잠깐, 잊자. 봐, 어차피 몇 분 뒤면 만날 텐데.⏎근데 다음엔 제대로 말 걸어야지!
082-005	그야 전철에 혼자라니 심심하잖아!?
082-006	"왔냐"
082-007	!!
082-008	"너도 타고 있을 거라 생각했지.⏎───봐라, 약속대로다. 교복도 제대로 입었지."
082-009	"……호오. 그럼 진짜로 갱생하기 시작한 거네"
082-010	"아? 뭔 소리야. 게다가 거짓말로 하는 말 아니냐!?"
082-011	"그건 말이지……그게 진실이니까 그렇지, 아이리스 군!"
082-012	"쳇"
082-013	내 옆에 털썩 걸터앉는다.
082-014	"야, 지난주 얘기 말인데……그 아줌마,⏎왜 마지막 이틀은 미팅 금지시킨 거냐?"
082-015	"글쎄, 으음……"
082-016	……그 악몽 일도 있어서 딱히 생각도 안 하고 있었다.
082-017	글쎄……현황을 정리하기 위해서라든가?⏎다음 과제를 즉흥적으로 안 내고 제대로 생각하기 위해서?⏎근데, 그건───.
082-018	"뭔가 준비하기 위해서, 려나?⏎그거랑 동시에 우리가 진정할 수 있게 텀을 둔 거라든가……"
082-019	"그럼 그 자식이 제대로 우리를 신경 쓰는 것 같잖아.⏎우리를 위해서 시간을? 왜 그 자식이"
082-020	"그건 뭐, 아주 옛날 노예도⏎너무 혹사시키지 않게 가감은 했다니까……?"
082-021	"너 무슨 소리 하는 거야!?⏎왜 노예 얘기가 나오는 건데. 그만해, 재수 없게!"
082-022	"네네, 미안하다니까……그냥 연상일 뿐이야.⏎그야 우리 억지로 일하게 되는 거잖아?⏎공사 현장 초과 노동, 경주마, 서커스 동물도 다 마찬가지지"
082-023	"부려 먹으려면 제대로 쉬게 해야지"
082-024	"그러니까 우리 배려해서 휴식을 준 게 아니라……,⏎합리적 판단이란 거네"
082-025	"……뭐, 아닐 가능성도 있지만.⏎제대로 우리를 걱정해 준 걸 수도 있고. 근데……"
082-026	"애초에 그렇게까지 믿으라고 해도 말이지.⏎나, 스토리 체포는 그 사람이 꾸민 거라고 확신하고 있고"
082-027	아이리스가 고개를 끄덕인다.
082-028	"그래. 그거 말이지"
082-029	"근데 말이야……못되게 보여도⏎의외로 사랑의 매 같은 거로……그런 경우도 있을 수 있잖아? 안 그래?"
082-030	"글쎄……? 그렇다 쳐도⏎너무 심하잖아. 거의 학대 아니야……"
082-031	"뭐 그렇지. 그래도 목줄 채워졌다고 해서⏎반드시 진실을 '숨김없이' 말해야 하는 건 아니야.⏎그야말로 하루 종일 본심만 말해야 하는 것도 아니잖아"
082-032	"그러니까 하는 말이 곧이곧대로 생각하는 거란 보장은 없단 소리야……"
082-033	"그건 그렇네"
082-034	나도 항상 그러고 있고.
082-035	근데……왠지 아이리스는 나한테⏎그렇게 생각해 줬으면 하는 건지, 그런 느낌이 든다.
082-036	그거 왠지 이상하다.
082-037	아이리스가? 하필이면 프레이야를 옹호하는 거야?⏎왜? 돈을 받아서?
082-038	으으으음……, 뭔가 와닿질 않아…….
082-039	"그러고 보니 메이한테 지난번 그거 어떻게 한 건지 물어봤거든.⏎근데 거절당했어. 전화로는 말 못 한다면서"
082-040	"뭔가 있냐? 짚이는 거라도"
082-041	"왜 나한테만 물어보는 거야?⏎너도 생각 있잖아. 들어 보자!"
082-042	"어? 나?"
082-043	"맞아. 애초에 스토리가 해커가 아니란 걸 알게 된 것도⏎네가 '빠진 해커'가 '남자'라는 걸 밝혀냈기 때문이잖아.⏎머리 제대로 쓸 줄 아는 거, 다 알고 있다고!"
082-044	"아니 뭐, 그때는 말 안 했지만……,⏎보이스 체인저 쓸 가능성도 있었잖아.⏎실제로 그 해커는 그걸로 각 '멤버'를 연기해서 나눴고……"
082-045	아이리스가 고개를 젓는다.
082-046	"나는 그냥, 단세포야"
082-047	방금 그거 거짓말 판정 안 뜨네……?⏎근데 그럴 리가. 본인이 그렇게 믿고 있단 거야?
082-048	애초에 사춘기 여자애는 '단세포' 같은 말⏎보통 입에 안 담잖아…….
082-049	아이리스는 좌석에 기대며 '모르겠다'고 중얼거렸다.⏎이 애는 가끔……갑자기 자신감을 잃는 구석이 있단 말이지.
082-050	……그 부분은 좀 신경 써 둘까.⏎어떻게 하면 힘이 될 수 있을지 생각해 보고 싶다.
082-051	그 뒤로는 수다.⏎둘이서 수업 내용이나 각자 숙제, 과제에 대해 얘기했다.
082-052	이윽고 가까운 역에 도착해 우리는 사무실로 향했다…….
