# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
084-001	다들 엄청 떠들고 있어……!
084-002	……이거 재밌을지도!
084-003	그렇다곤 해도 나는 거의 듣기 전담이지만……,
084-004	……앗, 도착했다! 시립 도서관!
084-005	아야메 씨한테 조용히 하라고 주의받으면서 다 같이 안으로 들어간다.
084-006	그대로 아야메 씨가 스토리 씨한테⏎그 지인이 누군지 작은 목소리로 묻고 있었다.⏎스토리 씨는 그저 얼굴을 들었고, 그 시선을 다들 따라가 보니…….
084-007	"야호─!"
084-008	엇!?
084-009	스토리 씨가 검지를 입에 갖다 댄다.
084-010	"야호……"
084-011	아, 목소리가 작아졌다. 응, 도서관에서 큰 소리는 자제해 주세요.
084-012	근데 이분은 누구시죠?
084-013	스토리 씨가 폰을 다들에게 보여 준다.
084-014	이쪽이 토코예요.
084-015	토코 씨라고 하는구나…….
084-016	"놀랐다, 이런 우연도 있네. 아, 맞다, 알고 있었어 스토리?⏎나, 여기서 사서보로 일하고 있거든!"
084-017	네, 그럴 것 같았어요.
084-018	토코 씨가 우리를 한 명씩 훑어본다.
084-019	"친구, 많네……"
084-020	이 사람들은
084-021	스토리 씨가 거기까지 치다가 메시지를 다시 쓴다.
084-022	좋은 사람들이에요, 친구라고 생각해 줄지는 모르겠지만요,⏎아직 알게 된 지 얼마 안 됐지만 여러 일이 있어서요.
084-023	"오, 그렇구나……근데 다들 교복이……"
084-024	"혹시 다들 학교가 다 다른 거야?"
084-025	"네……근데 일단 사람 적은 데로 옮기지 않을래?⏎여기서 떠들면 민폐가 될 테니까"
084-026	"그러네, 오케이! 따라와!"
084-027	토코 씨의 안내를 따라⏎도서관 안쪽, 사람이 별로 없는 구역으로 이동한다.
084-028	도서관 안쪽까지 우리를 안내해 준 뒤……,⏎토코 씨가 휙 이쪽을 향하더니 책상에 턱을 괬다.⏎그리고 부드러운 미소로───,
084-029	"그래서? 이게 무슨 일이야?⏎학술 교류도 아닌데 다른 학교 학생이 같이 있다니.⏎꼭 전부 다 들려줄 거지?"
084-030	"그, 저희 각자 사정이 있어서요"
084-031	"어떤 여자가 돈 준다고 해서"
084-032	"나는 협박당해서 어쩔 수 없이"
084-033	"나는……그, 진학에 나중에 유리할까 싶어서.⏎스토리도, 그렇지?"
084-034	스토리 씨가 고개를 끄덕인다.
084-035	"나는 아야메, 처음 뵙겠습니다. 초면인데 고마워, 토코.⏎왜 왔는지도 말 안 했는데……"
084-036	토코 씨 얼굴이 확 밝아진다.
084-037	"근데 이제 들려줄 거지? 자, 자세히 자세히!"
084-038	"그렇네. 우리는 AARC라는 정부 프로그램에 참가하고 있어.⏎정식 명칭은 'A.A.R.C.'인데……무슨 뜻인지는 우리도 몰라.⏎이쪽부터 니아, 아이리스……그리고 메이"
084-039	"그리고 그 'AARC'에서는……,⏎뭐랄까, 그룹으로 묘한 문제 해결을 하게 되는 느낌?⏎적어도 특별 실습 비슷한……뭔가 랄까"
084-040	"그래서 오늘은 두 번째 과제에 대해 조사하러 왔어"
084-041	"첫 번째 과제는 어땠어?"
084-042	"범죄자를 잡아서 스토리한테 씌워진 누명을 벗기는 거"
084-043	"자, 잠깐───!⏎메이 그건 말하면───!"
084-044	"얘, 체포됐었거든"
084-045	어, 어어엥……!
084-046	"이거 낮에 스토리가 말했던 그거지?⏎이 사람들 덕분에 석방된 거란 거야?⏎우와, 진짜였구나……"
084-047	운이 좋았네요, 메이……!
084-048	나도 모르게 그 애를 째려봤다.
084-049	그 시선을 눈치챈 메이는……,⏎어이없다는 듯 하늘을 올려다보고 있었다.
084-050	아 진짜, 정말!
084-051	"그래서 그 과제 2라는 건 뭐였는데?⏎근데 이번엔 경찰서가 아니라 도서관이구나?"
084-052	아야메 씨가 고개를 끄덕이고 스토리 씨 쪽을 본다.
084-053	우리는 찍은 사진을 토코 씨한테 보여 줬고⏎그렇게 조사가 시작됐다…….
084-054	토코 씨는 상자의 정체에 대해서는 몰랐지만⏎어디서 찾아보면 될지는 알려 줬다.
084-055	그래서 지금 우리는 도서관 PC로⏎장서 카탈로그랑 데이터베이스를 뒤지고 있었다.⏎쓸 만한 책이 없는지 다 같이 찾은 지 10분쯤 됐다.
084-056	참고로 찾은 책은 다 같이 훑어보는 게 아니라⏎스토리 씨가 한꺼번에 읽기로 했다. 그 애의 제안이다.⏎책 찾기 말고는 다른 사람들이 최대한 편했으면 한다, 는 것 같다.
084-057	본인 말로는 첫 번째 과제 때 '아무것도 못 했으니까', 라나……⏎……근데 지난주 사건 개요를 알 수 있었던 건 그 애 덕분이고,⏎'아무것도'는 좀 과장이라고 생각한다.
084-058	뭐, 아무튼…….
084-059	토코 씨에 따르면 그 상자는 오래된 기계일 가능성이 높고⏎새로 만들어졌을 가능성은 거의 제로라고 봐도 된다는 것 같다.
084-060	프레이야 선생님이 직접 만들었을 가능성도 있다지만……,⏎설마 자기 없이는 못 고치는 걸 고치라고 하진 않겠지,⏎라며 토코 씨는 웃고 있었다. 근데…….
084-061	……솔직히 그 사람이라면 그럴 법도 하단 생각이 들어서.⏎그리고 그렇게 생각하는 건 나뿐만은 아닌 것 같다.
084-062	일단 작업은 조용히 진행되고 있다. 아까까지만 해도⏎그렇게 수다스럽던 다들이 지금은 조사에만 집중하고 있었다.
084-063	뭐, 그것도 이제 얼마 안 남았으려나.⏎오늘은 그렇게까지 오래 있진 않는다는 얘기였고───.
084-064	"왁!"
084-065	"으히야아아아앗!!"
084-066	"아하하하하!"
084-067	'얘 바보 아니냐'는 눈으로 나를 보는 아이리스 씨.⏎한편 메이는 아야메 씨를 보고 있었고.⏎……맞다, 옆에 둘이 있었지. 완전히 까먹고 있었다.
084-068	그보다 저───왜 등을 맞은 거예요?!
084-069	"다들, 오늘은 이제 가도 돼! 나머지는 나랑 스토리가 할 테니까"
084-070	"괜찮아? 그렇게 시간 많이 안 썼는데"
084-071	"너희 셋한테는 지난주 실컷 일 시켰으니까!⏎이 정도는 하게 해 줘"
084-072	"으음, 나도……아니. 알았어"
084-073	"땡큐다"
084-074	"아냐 아냐. 어디 셋이서 놀러 가도 되지 않아?⏎'서로를 더 알아 두면 좋다'였나?⏎그 사람도 가끔은 좋은 말 하네!"
084-075	"그럼 내일 또 봐!"
084-076	"안, 안, 안녕히 가세요!"
084-077	"네네, 자 가자"
084-078	나를 PC에서 떼어 내듯 메이가 내 머리에 손을 얹고 이끈다.⏎아이리스 씨도 뒤따라오고 있었다.
084-079	그렇게 우리는 도서관을 떠났다…….
