# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
085-001	으음……,
085-002	아직 익숙하지 않네.
085-003	딱히 아직 집에 갈 필요는 없다.⏎이번 주 해야 할 남은 의뢰랑 일에 대해서도⏎제대로 끝낼 전망은 서 있다.
085-004	그럼 어떡할까?⏎……빈 날 중 하루에 니아랑 놀 약속이라도 잡아 볼까.⏎그럼 날짜, 정해야겠네.
085-005	산 커피를 한 모금 마시고 나도 모르게 눈살을 찌푸린다.
085-006	……사실 나 커피 싫어해. 마신 뒤 느낌도 안 좋고.⏎근데……
085-007	……생각해 버렸단 말이지. 바보 같지만.⏎'좋아, 오늘 하루 애썼다, 한잔 마시고 릴랙스하자'라고.⏎……그렇게 말할 만큼 일하지도 않았는데 (애초에 하루도 안 지났고)
085-008	이게 바로 진짜 '밈'이란 거겠지, 본래 쪽 의미의.⏎수십만 기업 사무실에서……몇백 년, 천 년 이상? 모르겠지만,⏎아무튼 계속 온갖 매체에서 이어져 내려온 단골 제스처.
085-009	보기 좋게 나는 넘어간 거다, 그런 것에.⏎전혀 맛도 없는데.
085-010	뭐, 그래도 다 마시긴 하지만.⏎이게 아까운 정신이란 건가…….
085-011	힐끗 니아 쪽을 본다.
085-012	그걸 눈치챈 니아는, 그래서───,
085-013	……
085-014	한 모금 더 커피를 머금는다.
085-015	얘, 진짜 강아지 같다.⏎자기 감정에 솔직해서……금방 얼굴에 드러난다.
085-016	만약 꼬리가 달려 있었으면 분명 붕붕 흔들고 있었겠지.⏎……바인드 같은 거 이 애한테 필요해? 없어도 완전 다 티 나잖아.
085-017	그리고 나머지 한 명은 어떠냐면……,
085-018	……
085-019	……왠지, 이상하다.⏎아니면 일부러 그러는 건가? 뭔가 숨기는 것 같고.
085-020	니아만큼 노골적이진 않지만 경험상 어느 정도 알 수 있단 말이지.
085-021	뭐, 캐묻는 건 취미가 아니고.
085-022	"그 기계, 대체 뭐라고 생각하세요……?⏎프레이야 씨가 거짓말은 안 했으니 기계인 건 틀림없는데요"
085-023	"으음……"
085-024	"나는 그거, 암호기나 뭐 그런 거 아닐까 싶어"
085-025	"어? 암호로 주고받는 그런 거? 아주 옛날 전쟁에서 썼다는"
085-026	"오. 알고 있네?"
085-027	"뭐 알지, 이것저것"
085-028	오……,
085-029	"으으음, 아주 옛날 전쟁에서 암호화에 쓰였던 물건, 인가요……⏎그렇다면 자료 찾기는 어려울지도 모르겠네요"
085-030	"그래도 기밀문서는 의외로 많이 공개돼 있으니까.⏎뭐, 딱히 그런 거에 빠삭한 건 아니지만"
085-031	"다만……여는 법도 모르고, 용도도 불명.⏎가져온 게 우릴 괴롭히는 걸 좋아하는 사이코 여자라면……"
085-032	"자세히 알아내기도 힘든, 오래된 군사 기술 쪽이 더 그럴듯해"
085-033	"흥"
085-034	"그럼……할 수 있는 데까지 해 봐요!"
085-035	"한다면 최소한만.⏎나는 이미 지난주에 전력을 다했으니까 헐값은 기대하지 마"
085-036	"아─ 생각해 봤는데 말이야……"
085-037	응?
085-038	"다음에 모이면 그 사진 들고 여기저기 물어보러 다니지 않을래.⏎스토리가 자료 읽고 나서면───다음 주쯤 되겠지만"
085-039	"여기저기라니, 어디?"
085-040	"가게라든가, 사람들한테 물어보고 다니는 거야!⏎번화가라든가 주택가라든가……여러 군데 있잖아"
085-041	"그런 거. 괜찮네.⏎특징 없는 상자형 기계에 빠삭한 사람이 있을지도 모르고. 농담 아니고"
085-042	"네! 좋은 아이디어라고……생각해요!"
085-043	나도 모르게 아이리스의 바인드로 눈이 간다.
085-044	……
085-045	뭔가 얘, 신경 쓰이거나 고민하는 거 있나?⏎……좀 생각하게 된다. 뭘까.
085-046	근데 솔직히 그건 너무 깊이 들어가는 거다. 지금 나랑 상관있을까?⏎나도 남이 안 건드렸으면 하는 부분은 있고.
085-047	결국 얘기는 주변 식당들과 그에 대한 각자의 평가로 넘어간다.
085-048	각자 좋아하는 음식이라든가. 그런 별거 아닌 얘기다.
085-049	근데 나쁘지 않다.
085-050	그런 나쁘지 않은 수다는 주변이 어두워질 때까지 이어졌다.⏎솔직히 편안했을 정도로.
085-051	……
085-052	모르겠다. 어딘가 나, 이상한가?⏎나답지 않은 느낌이 든다.
085-053	근데 싫은 방향으로 이상해진 건 아닌 것 같고…….
085-054	……해가 진다.
085-055	코에부스 카일에서……뭐였더라, 그 표현.⏎'또 오늘이라는 날이 불타 사라졌다', 였나?
085-056	……응.
085-057	뭐……나쁘지 않은 하루였어.
