# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
093-001	……점심시간.
093-002	아빠가 만들어 준 도시락, 오늘도 맛있어 보인다.
093-003	"저, 그러니까…… 메이?"
093-004	"……?"
093-005	"그게 말이죠, 제가…… 그러니까 저……"
093-006	"잠, 잠깐만요……!"
093-007	"……"
093-008	정신 차려야지, 나!⏎잠깐 다이브할까 생각했지만…… 안 돼, 그런 건!
093-009	아니 뭐, 해도 되긴 하지만……⏎가끔은 제대로 내 힘으로 성장하고 싶다고 할까!⏎꼼수 부리고 싶지도 않고.
093-010	……후우. 어떻게든.
093-011	"메이, 점심 제가 만들어 드려도 돼요?"
093-012	"그건 '높으신 분께 이 몸이 밥을 지어 바치게 해 주십시오'……⏎그런 뜻이야?"
093-013	"으, 아…… 네, 네."
093-014	"아직 만난 지 한 일주일 조금 넘었지.⏎내가 편의점 밥 먹는 꼴을 못 보겠다는 거지. 너무 빠르지 않아?"
093-015	……
093-016	끄덕인다. 그것도 꽤나 빠르게.
093-017	"하핫……!"
093-018	"그럼 뭐, 하고 싶으면 하든가.⏎그래도 곧이곧대로 믿어 줄 생각은 없어. 내일도 편의점에서 살 테니까."
093-019	"그, 그럴 수가!?"
093-020	메이는 도시락을 계속 먹으면서, 계속 우물우물 말한다.
093-021	"물론 니아가 증명하기 전까지는.⏎나는 쉽게 남을 신뢰하지 않아───오히려 나 빼곤 안 하는지도 몰라."
093-022	"아, 그렇군요……"
093-023	"……"
093-024	"그런데……⏎학교에 있을 때는 어디까지 얘기해도 될까요?⏎그…… 메이에 대한 얘기를."
093-025	"……"
093-026	"그러니까……"
093-027	"그건, 글쎄……"
093-028	"……응."
093-029	"그 마음은, 고마워."
093-030	놀리지 않고 제대로 대답해 줬다.⏎그게…… 기쁘다.
093-031	정말 진지하게 상대해 주는 느낌이 든다…….
093-032	"고마워. ……정말. 얘기하는 건…… 뭐 괜찮지만,⏎여기서는…… 아니, 공적인 자리에서는 안 했으면 좋겠네."
093-033	"그, 대신에, 그…… 혹시나 하는 얘기인데."
093-034	"……"
093-035	"니아가 우리 집에 온다든가, 내가 니아 쪽에 갈 기회가 있다든가,⏎그럴 때라면…… 있잖아, 뭐, 괜찮으려나."
093-036	"앗, 어───? 그, 그건……"
093-037	심장이 목구멍에서 튀어나올 것 같다.
093-038	……
093-039	안 돼, 안 돼, 말할 수 없어…….
093-040	확, 확실히 '성장하고 싶다'고는 했지만……⏎나, 아직 거기까지는 강해질 수 없어…….
093-041	사람이 할 수 있는 일에는…… 한계가 있으니까!
093-042	우, 우리 집에!⏎그, 그 방에 온다고───그런 거!
093-043	아니, 하고 싶어, 하고 싶지만 나는, 나는…… 아우──!
093-044	……
093-045	나……
093-046	나, 해야 해!
093-047	……
093-048	더…… 더, 용기를 내야 하는 거야!
093-049	나는 점점 내 속으로 떨어져 간다…….
093-050	……여기서 주황색을 찾기는 힘들지도 몰라…….
093-051	그래도 있을 거야! 꼭 찾아내고 말 거야!
093-052	그걸 주워서 메이를…… 우, 우리 집에 초대하는 거야!
