# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
097-001	───왜 그러니?
097-002	……'아주 달콤한 냄새가 난다'고? 참……
097-003	아직 익숙하지 않아? 신경 쓰여?
097-004	하지만 말이야, 괜찮아. 분명 곧 기다려질 거야.
097-005	왜냐면 벌써 너 이렇게 기뻐 보이잖아.
097-006	이제 꽉 쥐고 치켜들기만 하면 돼.
097-007	무서울 거 하나도 없어.
097-008	신이 보고 있으니까.
097-009	"……!"
097-010	눈을 뜬다. 몸이 식은땀에 흠뻑 젖어 있었던 모양이다.⏎숨은 거칠고, 심장은 도망치려는 듯 날뛰고 있다.
097-011	……방금 그 꿈, 뭐야……?⏎아무것도 안 보였는데.
097-012	무엇보다 그 지독한 냄새……뭔가가 창밖에서 죽어 있는 걸까……?
097-013	침대에서 나와 창가로 걸어간다……마침 주위가 보일 무렵이었다.⏎……하지만 새도 다람쥐도, 보이는 곳엔 아무것도 죽어 있지 않다.
097-014	그렇게나 생생한 냄새였는데……? 현실로 끌려들어온 거라든가 ⏎그런 건 아니었나 봐…… 하아.
097-015	아침부터 정말 참……
097-016	손으로 얼굴을 감싸고 눈을 꽉 감는다.
097-017	왜인지 머리가 멈춘 느낌이야.⏎마치 머릿속 배선이 한꺼번에 합선이라도 일어난 것처럼.
097-018	공포와 호기심, 구역질과 흥분. 뒤죽박죽이었다.
097-019	분명 최악의 악몽일지도 모른다.⏎느낌까지 통째로, 빨리 잊어버리고 싶었다.
097-020	……아무튼 뭐라도 좀 먹어야겠다.
097-021	캠퍼스를 걸어가면서 머릿속은 엉망진창.⏎'X한테 전화할까? Y가 더 나으려나. 아니면 Z 씨?'⏎막상 고민하는 건 그런 내용뿐.
097-022	완전히 나 움츠러들었어. 이런 느낌 거의 없어.⏎바인드도 감출 수 없을 만큼 빛을 내뿜고 있어.⏎이것도 희귀해. 다들 자는 시간이라, 아무도 없어서 다행이라고 생각해.
097-023	그래, 지금은 아무도 없어. 그건 다행이야.⏎문제는 '나' 말고는 아무것도 눈에 안 들어온다는 거야.⏎누가 있어 줬다면 어떻게든 기분이 풀릴 텐데.
097-024	왠지 괴물이라도 따라붙은 것 같아.
097-025	물론 말도 안 돼───그 괴물이 나 자신이니까.
097-026	일단 자판기 쪽으로 가 본다.⏎카페테리아 조명은 꺼져 있지만, 입구는 사시사철 활짝 열려 있다.⏎캠퍼스 전체가 안전하니까, 잠글 필요도 없는 거겠지.
097-027	유리창에 비치는 내 얼굴은 몹시 가라앉아 보였다.⏎움푹 들어간 눈두덩을 손끝으로 쓸어 본다.
097-028	요즘 컨디션 좋았는데,⏎악몽 하나로 이렇게 몰려서…… 엉망이 될 것 같아.
097-029	적어도 바인드는 조금 진정된 모양이지만……
097-030	"얍!"
097-031	"꺄아───뭐야!?"
097-032	"어라? 그렇게 놀라?"
097-033	숨이 턱까지 찬 내가 있는데도, 린은 제 휠체어를 보며 말한다.
097-034	"생각해 본 적도 없었는데, 이거 꽤 조용하네."
097-035	"그래서 왜 이 시간에 깨어 있어?"
097-036	"아니, 그게───"
097-037	나도 모르게 멈춘다. 어떻게 말해야 사실이 될까……?⏎어떻게 말해도 답이 없어 보인다.
097-038	이런 건 평소라면 잘했을 텐데.⏎지금의 나는 엉망이라……아무것도 안 떠올라.
097-039	"……"
097-040	"아야메, 괜찮아?"
097-041	"나, 나는……"
097-042	"그래그래, 이리 와 봐."
097-043	……?
097-044	손짓으로 나를 부르는 린. 움직이지 않는 나.⏎'이제 오라니까!' 하고 그녀가 재촉해도, 역시 움직이지 못했다.
097-045	뭘 하려는 거지……?
097-046	"자."
097-047	"?"
097-048	"무릎 베개. 지금은 아무도 없는데?"
097-049	"자─ 착해, 착해."
097-050	"……"
097-051	"악몽이라도 꿨어?"
097-052	"……응."
097-053	"얘기하고 싶어?"
097-054	"아니."
097-055	"그래. 그럼, 지금부터 하는 말은 혼잣말이야."
097-056	"마침 생각하고 있었거든. 뭔가 있나 싶어서……⏎지난 일주일쯤 아야메가 긴장한 것 같다고 할까, 평소랑 다르다고 할까."
097-057	"그래서 나도 생각해 봤지. 아야메가 뭣에 동요하는지 같은 거.⏎근데 아는 한 딱히 짚이는 게 없어. 그래서 분명 뭔가 있었나 하고."
097-058	"적어도 요즘 시작한 그 활동은 아야메도 즐거워 보이고,⏎설령 뭔가 있었더라도, 그것 때문은 아닌 것 같다, 하고."
097-059	"……"
097-060	"뭐, 목만 봐도 뻔하지.⏎바인드가 저렇게 될 정도로 불안한 거지."
097-061	그 말에 흠칫했지만, 그대로 무릎을 베고 있는다.
097-062	"아직 갈색이 되진 않았지만……⏎그거, 다른 누군가와 관련 있는 거 아니야?"
097-063	……? 뭐?
097-064	린과 눈이 마주친다.
097-065	"아이리스지?"
097-066	"아이리스?"
097-067	"……아이리스가 아니야?"
097-068	"어? 아닌데."
097-069	"어. 정말?"
097-070	"응, 정말……"
097-071	"거짓말은 아닌 모양이네."
097-072	"보이는 대로지."
097-073	"흐음……"
097-074	……??
097-075	"……뭐, 그건 제쳐 두고……"
097-076	린은 화제를 돌리더니, 본인이 출품한 미술 대회 얘기를 시작했다.⏎이윽고 화제도 그쪽으로 옮겨 간다.⏎아까 그녀가 슬쩍 던진 떠보는 말도 의식 저편으로 밀려난다.
097-077	───하지만 의식 한구석에 남아 있었다.
097-078	내가 아이리스를 보고 있었다고?
097-079	그래도 저렇게 예쁘고 눈에 띄는 스타일인데.⏎그냥 눈이 가는 게 당연하지 않아?
097-080	……으음음.
097-081	하지만 정말 아니야.⏎나는 딱히 아이리스 생각한 게 아니야.
097-082	───혹은 생각해야 했던 걸까?
097-083	그 애, 돈 때문에 프로그램에 참가했다고 했는데, 왜?⏎집이 어려운 걸까.
097-084	게다가 학교에 가기 싫다는 건 왜?⏎진짜 이유는 뭘까.
097-085	다음 미팅 때 물어볼까.
097-086	……그런 꿈도 꿨고, 주말엔 이제 아무것도 하고 싶지 않아.⏎린이랑 다 같이 지내면 기분도 풀리겠지.
097-087	거기까지 생각하고, 절친의 허벅지에 몸을 맡겼다.⏎……이대로 잠들어 버리고 싶지만, 그건 아무래도 좀 안 되겠지.
097-088	뭐 그래도……
097-089	손을 내밀어 주는 사람이 있다는 건 정말…… 마음이 놓인다.
