# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
108-001	이건, 어제 일…….
108-002	그룹 채팅으로, 전원에게 메시지가 왔다.
108-003	니아! 스토리! 있으면 대답해!
108-004	저는 안 했어요.
108-005	하??? 무슨 소리야!?⏎뭘 저질렀어!?
108-006	스토리 씨, 농담이 아닐까요.
108-007	왜 그래, 아이리스?
108-008	내일, 우리 집으로 와! 빡세게 일시켜 줄 테니까!
108-009	둘만?
108-010	이 녀석들이랑 아직 별로 얘기 못 해 봤으니까.
108-011	그런 거구나.
108-012	무슨 일인가요?
108-013	오면, 알게 돼!
108-014	맞다,⏎다들, 수요일은 모일 수 있어?
108-015	오케이!
108-016	좋아.
108-017	……그런 이유로, 우리는 아이리스의 집에 와 있다.
108-018	아이리스, 이건 당신이?⏎아니면 가족 거예요?
108-019	식물이…… 좋으세요?
108-020	"……"
108-021	아이리스가 무척 만족스러운 미소를 띤다.
108-022	……아, 정말 좋아하시는군요.
108-023	"너희들, 식물은 어려워?⏎……괜찮아, 내가 하나하나 가르쳐 줄게!"
108-024	"봐, 이거!!"
108-025	그렇게 말하고 아이리스가 가리킨 건……,
108-026	"으음, 이건……수국인가요?"
108-027	"정답! 훌륭하지?"
108-028	"정말 예쁘네요……!"
108-029	뭐……그렇네요.
108-030	"그치? 그런데 말이야, 귀여운 건 다른 것도 잔뜩 있어……"
108-031	자랑스러운 가드닝을 공개하듯이, 아이리스가 두 팔을 벌린다.
108-032	"아니, 전부 귀엽긴 한데!!"
108-033	전부까지는 생각 안 하는데요.
108-034	"그건 네 센스가 나쁜 것뿐이야. 이걸 봐……"
108-035	그녀가 돌아서서, 다음으로 우리에게 보여 준 건……,
108-036	……이건……대나무? 아냐, 저 잎 모양은…….⏎잎도 많아. 대나무는 이렇게 자라진 않을 텐데.
108-037	그나저나 크다……내 키의 두 배는 되나?
108-038	"……!"
108-039	니아는 완전히 사로잡혀 있다.⏎나도, 그럴지 모르지만…….
108-040	"양귀비과 마클레아속, 플룸 포피. 이 잎 좀 봐……!"
108-041	……내 머리만 한 크기다.
108-042	"귀엽지!"
108-043	그런……지도 모르겠네요…….
