# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
111-001	……신기하네.
111-002	……메이와 친해질수록……,
111-003	……펠 씨와 정한, 과감한 조사가, 옳은 것처럼 느껴진다.
111-004	그…… 어떻게 말하면…… 좋을까?
111-005	메이가…… 소중하기에……,
111-006	……만약 이번 조사로, 누군가 위험한 꼴을 당하게 된다면,⏎그건 내가 해야 한다, 라고 할까…….
111-007	나는 일하지 않는다. 누군가를 부양할 필요도 없다.
111-008	그리고 늘 겁먹으며 살아온 건 사실이지만……,⏎내 삶은 결코 혹독한 게 아니었다.
111-009	하지만 메이는, 사정이 다르다. 그리고……,
111-010	……그리고 그녀는 전혀, 괴로워하지 않았으면 좋겠다.
111-011	……뭐, 방 청소 정도는, 해도 좋을지도. 에헤헤…….
111-012	메이 방에서 둘이 지내고 있는데───이미 꽤 실례했다.⏎기타 치는 법까지 배웠다…… 아주 조금이지만.
111-013	애니메이션도 같이 봤다. 이제 꽤 시간도 늦어져서……
111-014	"'POOL SHARK'랑 'DON'T RUN', 어느 쪽으로 할래?⏎밤도 늦었으니까, 고를 수 있는 건 하나뿐이야."
111-015	"고를 수……있다면, 애니메이션이라도 돼요……?"
111-016	"안 돼, 기각. 쓰레기 영화 한정."
111-017	메이한테, 이런 면도 있었구나.
111-018	"……그럼, 'DON'T RUN'으로."
111-019	"나이스……초이스……!"
111-020	메이 씨가 'POOL SHARK' 케이스를 놓고,⏎'DON'T RUN' 케이스를 연다.⏎무서워 보이지만…… 재미있을 것 같기도 하다.
111-021	'POOL SHARK' 쪽은…… 보기에도 바보 같아!
111-022	메이가 PC를 조작하면서, 입을 연다…….
111-023	"……"
111-024	"있잖아, 니아?…… 사실 나, 스스로 이름을 '메이'로 바꿨어.⏎부모님이 붙인 이름이 부끄러워서."
111-025	"……?"
111-026	"원래 이름은, '메모리'. 내 이름 중 하나이자, 원래 이름.⏎부모님 사랑의, 살아 있는 기억이래. 하…… 진짜 역겹지."
111-027	"지난번에, 스토리한테도 알려 줬어. 숙제를 갖다 줬을 때.⏎알아 줬으면 해서 말했는데…….⏎먼저 알려 주게 된 건, 좀 미안했다고."
111-028	메이가 나를 본다.
111-029	"처음엔 니아한테 먼저 들려주고 싶었는데, 꺼낼 용기가 없어서."
111-030	"……"
111-031	"이렇게 되기 전까진 말이야, 나, 누군가와 지내 본 적이 없었어.⏎인생 자체가 적자 돌리기…… 그냥 살아왔을 뿐이야."
111-032	"딱히 그걸로 됐다고, 생각했었는데.⏎남을 신경 쓰기 시작했으면, 끔찍해졌을 테니까."
111-033	"소중히 여기고 신뢰하는 누군가에게,⏎그 신뢰를 배신당하는 건…… 정말 최악의 기분이 되니까."
111-034	"……"
111-035	이건 메이 부모님 얘기다…….
111-036	생각만 해도 기분이 확 상한다.
111-037	"아무튼……"
111-038	"니아가 여태 사람들과 엮이지 않은 이유는 모르고…….⏎왜 항상 그렇게 겁먹고 있는지도, 상상밖에 못 하지만……"
111-039	"……그래도 친구로 있어 주는 건 기쁘고,⏎……너도 그렇지? 그러니까……"
111-040	"뭔가 하고 싶은 얘기가 있으면…… 들려줬으면 해."
111-041	"고민 같은 것도 둘이서 헤쳐 나가면,⏎……매일 배어 나오는 고통도 조금은 가벼워지지 않을까."
111-042	"……그뿐이야. 말해 두고 싶었어."
111-043	"……"
111-044	"그럼, 바보 같은 영화나 볼까."
111-045	메이에게 하고 싶은 얘기……
111-046	……
111-047	내가 왜 계속 겁먹고 있는지……?⏎메이에게 말할 수 있는 게 있을까…….
111-048	……
111-049	만약…… 그걸 생각해 버리면.⏎내가 두려워하는 걸 똑바로 마주해 버리면…….
111-050	……그 순간, 괴물이 현실이 돼 버린다.⏎그런 건, 나한테는 무리야…….
111-051	게다가 그것만이 아니야.⏎다이브 얘기나, 내가 거짓말을 할 수 있다는 것까지 말할 수 있을까?
111-052	……메이에게 그렇게까지 말하면, 하늘에까지 새어 나가는 걸까?
111-053	천벌이 내리는 걸까?
111-054	……어떤 역사책에도 다이브나 거짓말하는 능력에 대한 기록은 없다.⏎'마인드스케이프'에 대해서도…….
111-055	그건 왜일까?⏎지금까지 이걸 할 수 있었던 사람은 모두 비밀을 지켜 왔기 때문?⏎아니면…… 알리기 전에 살아남지 못했기 때문?
111-056	……코에부스 카일에서 태어난 아기가 '바운드'가 되지 못하면,⏎우리는 신들의 '은총'을 잃는다.
111-057	은총이었던 것이 하늘에서 쏟아져 내려 파멸을 뿌린다.⏎그것이 실천사───.
111-058	자비도 용서도 없이───⏎계율을 어기면 그 대가는 피할 수 없다.
111-059	그래서 나에게는…… 지켜야 할 비밀이 있다.
111-060	결코 위험을 감수할 수 없다. 설령……
111-061	……설령 메이가 나에게……
111-062	……
111-063	영화가 시작된다. 메이는 옆자리에 앉더니⏎줄거리니 감독이니 쉬지 않고 떠들어 댄다.⏎귀엽네…….
111-064	……절대로…… 절대로 메이는 상처받지 않았으면 좋겠다.⏎내가 상처받게 놔두지 않을 거야.
111-065	오늘 밤은 이대로 묵기로 했다.⏎그리고 내일은 수확제 휴가 첫날을 같이 보내는 거다…….
111-066	───메이는 행복했으면 좋겠다.⏎그녀에게는 그럴 자격이 있으니까, 그걸 위해서라면 나는 뭐든지 할 거다.
111-067	그게 내가…… 해야 할 일이야.
