# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
114-001	"뭐야, 그게?"
114-002	"대체, 뭘까요?"
114-003	잘 모르겠네요.
114-004	우리는 다시 스토리 씨 주위에 모여 있다.⏎어떤 어구가 반복해서 나온다는 얘기를 듣고.⏎아야메 씨도 실제로, 그 이름을 들은 적이 있는 모양…….
114-005	그건…… '프리덤 플랜'.
114-006	이렇게까지 노골적으로 정의처럼 보이는 이름인데,⏎정보가 전혀 안 나온다니…… 수상해. 너무 수상해.
114-007	현재로선 알려진 게 하나뿐───.⏎스토리 씨도 아야메 씨도 그 단어를,⏎'Xavier' 맥락에서만 접했다는 점이다.
114-008	하지만 그 외엔 단서가 없다. 언급되는 방식도 그렇다.⏎'프리덤 플랜이라든가?' '바로 프리덤 플랜'⏎'프리덤 플랜이라는 거네' 등등, 내용은 보이지 않은 채…….
114-009	'프리덤'…… 분명 학교 쪽에서 나온 말이겠지만…….
114-010	……뭐라 말할 수 없는 불길한 예감…… 그걸, 전원이 느끼고 있다.
114-011	더 알 수 있는 게 없는지 조사해 보겠지만,⏎꽝일 가능성도 부정할 수는 없어요.
114-012	"'프리덤 플랜', 이라……? 나도, 좀 알아봐 올까."
114-013	펠 씨…….
114-014	흐음……
114-015	응. 이건 두 사람에게 맡기자.
114-016	"후우……"
114-017	연달아 온갖 일이 '벌어지고' 있는데…… 실제로는 아무 일도 없었다.⏎…… 왠지 멍청한 말이 돼 버렸네.
114-018	즉 말하고 싶은 건───이대로 가면,⏎프레이야 씨가 만족할 만한 보고서를 쓸 수 있을 것 같다는 거다.
114-019	하지만 걸리는 건,⏎그 정체불명의 '프리덤 플랜'이라는 이름…….
114-020	……오늘은 다들, 각자 학교에서 귀를 기울였는데……,⏎도달한 건, 전원 비슷한 결론이었다.
114-021	───스토리 씨 말대로, 'Xavier' 간부들은,⏎각 학교를 대표하는 학생으로 구성된 모양이다.⏎즉 네 학교에, 네 명의 대표 학생이 있는 셈.
114-022	그건 즉, 그 컨닝 사이트야말로 우리 학교들을 잇는,⏎'연결점'이라고 할 수 있다는 거고.
114-023	하지만 프레이야 씨 성격을 생각하면……,⏎그 네 명이 누군지 밝혀내지 않으면, 부족하겠지…….
114-024	거기가 제일 힘들 것 같다.⏎적어도 보통으로 생각하면 그렇게 된다…….
114-025	……그래도 나에게는, 다이브라는 비장의 수가 있다.
114-026	오늘도 학교에서 몇 번이고 해 봤지만…….⏎적어도 생각이나 감정을 대충 훑어본 느낌으로는,⏎반 친구들 중에 수상한 사람은 없었다.
114-027	몇 가지 단서가 될 만한 장면도 있었지만……,⏎조금 더 시간이 걸릴 것 같다.
114-028	다만…… 정신적으로 꽤 지쳐 버렸다.⏎솔직히 꽤 힘들어서, 다들한테 말하고 오늘은 일찍 집에 가겠다고 했다.
114-029	너무 걱정 안 시켰으면 좋겠는데───.
114-030	……어?? 누구……?
114-031	어째서 눈앞에───,
114-032	"안녕, 안녕."
114-033	……!! 이 말투는───,
114-034	"어때, 잘 지냈어?"
114-035	"저…… 저, 뵌 적 있나요?"
114-036	"하나씩, 한 모금씩, 말이지.⏎먼저 질문한 건 나야, 그렇지?"
114-037	"'잘 지냈냐'니…… 언제부터 말이죠……?"
114-038	"음, 그러네…… 2주 전부터라면 어때?"
114-039	2주 전이라면……,
114-040	……
114-041	이 사람이…… 그때 그 사람?
114-042	"덕분에…… 그럭저럭……"
