# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
116-001	점심시간의 일…….
116-002	메시지가 온 폰을 보니, 놀랍게도 토코한테서였다.
116-003	"……스토리, 다 나은 모양이네."
116-004	"그, 그러고 보니 지난주에 숙제를 갖다 줬었죠."
116-005	"어, 어떤 방이었어요……?"
116-006	"……엉망진창이었어."
116-007	"어어……!"
116-008	"아차, 그러고 보니 생각났다. 'Xavier' 얘기하는 걸 깜빡했어."
116-009	"아…… 그러고 보니 그 사람이라면, 뭔가 알 것 같네요."
116-010	"주말 동안, 알아봐 달라고 할 수도 있었을 텐데───나 말이야……"
116-011	……
116-012	"주말엔 부모님과 함께였으니까."
116-013	"그, 그랬어요……? 괜찮……았어요?"
116-014	"고맙게도 말이지.⏎요즘은 그렇게까지, 골치 썩이는 일도 없고……⏎물론 내가 익숙해진 것뿐일지도 모르지만."
116-015	"요즘은, 이라는 건…… 평소엔 다르다는 거죠?"
116-016	"적어도 항상 누군가에게, 어딘가에⏎빚이 있다…… 그런 전제로 생각하는 편이야, 나는."
116-017	"지금은 그 빚이, 어쩔 수 없을 만큼은 아니라는 것뿐.⏎……아이리스 말이 맞아. 만약 얼마간 돈만 내면⏎공부 안 해도 되는 상황이라면……나도 망설임 없이 그럴 거야."
116-018	"학교 같은 건, 큰 시간 낭비일 뿐이니까."
116-019	"음. 음? 으음…… 그런가요."
116-020	"흐음. 바로 동조해 줄 줄 알았는데.⏎너도 나도, 수업을 제대로 안 들어서 'AARC'행이 됐는데 말이야."
116-021	"그렇게까지…… 간단한 얘긴 아닌 것 같아요!"
116-022	"그건, 글쎄."
116-023	"게다가…… 'Xavier'가 하는 일도…… 잘못됐다고 생각해요!"
116-024	"그야 그렇지. 컨닝은 교칙에 어긋나니까."
116-025	"누가 컨닝하고 있는 거야?"
116-026	아, 이 애는 분명…… '펠'이었나?
116-027	"게다가 사비에르는 무슨 얘기야? 사비에르 르클라?"
116-028	"그 이름을 두 번이나 듣게 될 줄은 몰랐어."
116-029	"어, 펠 씨, 안녕하세요."
116-030	"안녕! 앉을게."
116-031	의자 하나를 집어 들더니, 등받이에 팔을 얹고 거꾸로 앉는다.
116-032	"하아, 요즘 너무 심심했거든……!⏎근데 교실에서 너희 둘이 뭔가 벌인 뒤로 재밌는 일이 계속 터지고?"
116-033	"또 해커 찾기!?"
116-034	"아니, 이번엔 다크 웹."
116-035	"오오, 다크 웹……!! 그거, 검은 거미줄 같은 거야?⏎설마, 이번 상대는 거미 괴물───? 아, 잠깐, 잠깐,⏎전개가 너무 빨라! 여기서 장르도 바뀌는 거야!?"
116-036	"아, 아니요, 뒷세계의 인터넷이라고 할까요.⏎거기서 답을 살 수 있는 컨닝 사이트가 있어서……,⏎시험이라든가 숙제라든가 여러 가지……"
116-037	"……"
116-038	"왜 또 시험 답 같은 걸 사는 거야?"
116-039	"저, 저도 그게 궁금해요."
116-040	"그러니까 공부 안 하고 수업 기간을 보낼 수 있다면,⏎좋아하는 데 쓸 시간이 늘어나잖아."
116-041	"근데 돈으로 해결해서 편하게 넘어가려는 거, 좀 진부하지 않아?"
116-042	"뭐…… 진부하더라도 가치는 있잖아."
116-043	"……하핫!"
116-044	"……흠."
116-045	"……"
116-046	"내 친구한테 물어보면 될지도 몰라……"
116-047	"또, 또 도와주는 거예요……?"
116-048	"언제든 얼마든지 도와주고말고."
116-049	"악덕 웹사이트를 폐쇄로 몰아넣기인가…….⏎좀 월반하는 느낌도 들지만 두근거리네."
116-050	"아니야…… 우리는 그냥 보고서를 쓰기 위해 정보를 모으는 것뿐이야.⏎없애 버리자, 그런 얘기가 아니니까."
116-051	"그, 그래도…… 할 수 있을지도 몰라요!"
116-052	"니아 말이 맞아! 봐, 메이, 얘 거짓말 안 했어.⏎거짓말이 아니면 진실이잖아!"
116-053	"뭐라는 거야……? 진실인지 아닌지가 문제가 아니잖아."
116-054	"컨닝하고 싶은 애들은…… 마음대로 하게 두면 되잖아.⏎뭐 문제 있어?"
116-055	"할 말이 없어서 그러는 거지…!⏎너한테는 마음도 영혼도 없는 거야! 문제잖아!"
116-056	"그, 그렇죠……"
116-057	"마음은 그렇다 치고 영혼 따위 이 세상에 없잖아?⏎하아, 뭐 됐어. 그래서 뭐? 진짜 도와주는 거야?⏎그야, 고양이 손이라도 빌리고 싶은 건 확실하지만……"
116-058	"물론이지."
116-059	"녀석들의 정체를 밝히는 걸 도와주고,⏎이 몸도 해커를 잡은 공로자로 이름을 남길 거야!"
116-060	"쉿…… 그거, 일부러 말한 거 아냐?⏎해커 집단을 잡은 게 우리라고 말한 적 없는데."
116-061	"너희 말고 누가 있겠어."
116-062	"난 믿고 있으니까."
116-063	그래그래……
116-064	"저희…… 방과 후에 시립 도서관에 가요.⏎……시간 되면 그때 같이 와 주시면……"
116-065	"꼭 갈게. 이런 거 처음이니까, 분명 재밌겠지."
116-066	"그래, 알았어."
116-067	펠이 일어난다. 같이 안 먹는 건가?
116-068	나를 본다.
116-069	"……"
116-070	"기다리게 한 친구가 있어. 더는 외롭게 하면 안 되니까."
116-071	"그럼 점심 맛있게 먹어! 방과 후에 또 봐!"
116-072	둘이서 손을 흔들며 불쑥 끼어든 괴짜를 배웅한다.
116-073	그리고 우리는 다시 식사와 수다로 돌아갔다…….
