# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
119-001	후움…… 다크 웹, 이라……,
119-002	뭐…… 프레이야라면 과제 대상으로 골라도 이상하지 않지.
119-003	그 사람이 무슨 생각을 하는지는 좀처럼 보이지 않지만───,
119-004	정체불명의 해커에, 정체불명의 기계……,
119-005	게다가 정체불명의 이름───'프레이야'라고 자칭했을 때도⏎좋을 대로 부르라 했으니, 본명은 아닌 것 같고……,
119-006	……그리고 정체불명의 인터넷. 봐, 그렇잖아?
119-007	뭐, 오늘은 다들 녹초가 됐을 테니, 슬슬───
119-008	"저기, 그…… 메이 씨, 맞지?"
119-009	스토리의 친구…… 손에 폴더를 들고 있다.
119-010	……
119-011	"메이라고 불러. ……왜 그래?"
119-012	"그래도 돼? 알았어! 그래서…… 스토리 주소 같은 거 알아?⏎스스로 밧줄에 묶여 버렸다고 할까……"
119-013	"밧줄이 아니라 바인드잖아…… 농담이야."
119-014	"……! 농담도 하네!"
119-015	"……나도 가끔은. 그래서 무슨 일이야?"
119-016	"담임한테 스토리 숙제를 갖다주라고 부탁을 받아서⏎반사적으로 '알겠습니다─!'라고 대답해 버렸어……"
119-017	"그리고 '주소도 알지? 오늘 안으로 전해 줘?'⏎라는 말에 그것도 '네!'라고…….⏎근데 나, 스토리가 사는 곳은 몰라"
119-018	"그런 사정이라 선생님한테는 말하기도 어렵고……⏎부끄러워서 본인한테 물어보기도 뭐하고……"
119-019	"그러니까 이거, 대신 부탁해도 돼!?"
119-020	"……"
119-021	왜 나한테? 아야메나 아이리스라도 좋았을 텐데?
119-022	……아니, 그 두 명은 학군이 달라. 집이 멀어.
119-023	그럼 니아라든가……? ……아하하, 안 되겠네.
119-024	……그래서 결국 소거법으로 돌아온 거구나.
119-025	"알았어, 좋아……"
119-026	"고마워!!"
119-027	폴더를 받는다.⏎그녀는 한 번 더 고맙다고 인사하고, 사서 아르바이트하러 돌아간다.
119-028	……
119-029	스토리 집은 나도 모르는데……,
119-030	……
119-031	스토리 주소 알려 주세요.
119-032	이유는?
119-033	숙제를 전해주고 싶어서……
119-034	왜 네가 들고 있지?
119-035	걔 친구한테서 받았어요.⏎그건 됐고, 주소 주세요……
119-036	한동안 실랑이가 이어지고……,
119-037	……겨우 지도 앱 링크 하나가 날아온다.
119-038	……자. 그럼 가 볼까…….
