# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
121-001	오늘은 공휴일. 학교는 쉰다.
121-002	그래서…… 이렇게 모험을 나서 보기로 했다.
121-003	생각해 봤는데───,
121-004	지금은…… 이렇게 느긋하게 지내고 있지만, 우리는 얼마 전,⏎경악할 사실을 막 알았을 뿐이다. 아이온 레코더의 존재와, 그 정체,⏎───그리고 어째서인지, 그중 하나를 우리 담당자가 갖고 있고…….
121-005	게다가 아리아 씨한테,⏎노려오는 사람이 있을지도 모른다고 충고를 들은 직후……⏎우리 앞에, 하우스 선생님이 나타났다.
121-006	결정타는, 심상 풍경을 통해 나한테 말을 걸어온,⏎낯선 누군가와의 대화.
121-007	……그래, 아무리 생각해도 이건…….
121-008	……조만간, 큰 사건이 일어날 게 틀림없어!⏎그리고 나는 그거에…… 대비해야 해!
121-009	나, 그래서 나도,⏎잠깐 '수행편'에 들어가야 할까, 싶었던 거다…….
121-010	딱히…… 연습을 위해서라도, 진짜로 거짓말을 할 필요는 없을 텐데───.⏎지금까지 거짓말이 됐을 때는, 자신 있게 그럴 수 있었을 때뿐이니까.
121-011	그러니까 필요한 건 자신감인 거다…….
121-012	그게 이렇게 공휴일에, 시티 플라자에 발을 들인 이유…….
121-013	……사람이 많은 곳에 있으면, 그……,⏎조금은 담이 커지지 않을까, 해서……!
121-014	그리고…… 다이브도 하고 있어.⏎거리에 있는 사람들의 심상 풍경에 다이브해 보고 있어…….
121-015	뭔가를 바꾸려는 게 아니라,⏎그냥 단순히, 횟수를 채워서, 다이브라는 행위에 익숙해지기 위해서…….
121-016	더, 능숙하게 할 수 있도록…….
121-017	만약…… 거, 현실 세계에서 습격당한다면, 나는 아무것도 못 하니까…….
121-018	나한테 있는 건 이, 아, 특별한 힘뿐…….
121-019	이걸 쓰면, 히어로가……!
121-020	"누구인가 했더니, 너구나───얍"
121-021	"으갸아아악!!"
121-022	영혼이 입 밖으로 튀어나올 뻔했다.⏎어깨에 얹힌 손은, 뒤에서 다가온 아이리스 씨였다.
121-023	"……화려한 인사네."
121-024	거칠게 숨 쉬는 내 옆에서, 아이리스 씨가 두리번두리번 주변을 둘러본다.
121-025	"메이는?"
121-026	"메……메이 씨요? 오늘은…… 저 혼자예요."
121-027	"그래……?⏎흐음…… 그럼, 나랑 좀 떠들까?"
121-028	"……! 네, 네! 꼭이요!"
121-029	이런 멋진 사람이…… 나랑!?
121-030	"오케이, 그럼 재밌을 만한 거 없나, 둘러보자!"
121-031	"아, 알겠습니다……!"
121-032	……아이리스 씨…… 뭔가 달라진 것 같아.
121-033	친구가 있는 것만으로도, 이렇게나 변할 수 있는 걸까?
121-034	뭐, 그래도, 어렴풋이 상상이───아니, 나한테도 확실히 알겠다.
121-035	아직 만난 지 얼마 안 됐지만,⏎메이는 그래도 내 마음속에서 큰 존재가 되어 있고.
121-036	왜냐면…… 있잖아……,
121-037	누군가와 함께,⏎코에부스 카일에서의 나날을 보낸다는 건…… 정말 큰 의미가 있어.⏎그래서 메이도…… 나와 똑같이, 계속 혼자였다.
121-038	그래도 우리는 이어질 길을 골라서,⏎이제는 함께 시간을 보내게 됐다.
121-039	게다가 가족도 아닌 누군가가 이렇게까지 소중히 여겨 준다는 게───⏎그냥 기쁜 일이잖아?
121-040	그래서 내가───아니, 아이리스 씨가───,⏎……아니, 나도겠지. 아무튼 변한 것도 딱히 이상하지 않아.
121-041	"우와……! 더블 아이스크림 있잖아! 하나 먹을래?"
121-042	더블 아이스크림……?⏎아, 컵에 든 급속 냉동 알갱이 아이스크림…….⏎놀이공원에서만 파는 줄 알았는데!
121-043	나는 그러겠다고 하고,⏎같이 한 컵씩, 레인보우 맛을 산다…… 맛있다!
121-044	"아. 그러고 보니, 깜빡했다."
121-045	?
121-046	"아니, 이걸 위해서 부른 건 아닌데……"
121-047	"메이, 아직 나한테 화나 있어? 뭐라더라?"
121-048	"그, 그건…… 모르겠어요."
121-049	"메이는 그, 별로…… 말을 안 하려는 애라, 아하하……"
121-050	"음──……나도 있잖아……"
121-051	……?
121-052	"나도, 별로 모나게 굴지 않으려고는 하고 있어.⏎걔한테도 제대로 사과했고, 말로만이 아니라…….⏎근데 그게 전해졌는지는, 모르겠단 말이야."
121-053	"얼마 전에 걔 얘기 듣고, 걱정이 되달까……,⏎특히 혼자 산다는 거. 그치?"
121-054	"그, 그렇습니다……"
121-055	"응, 뭐 그건 나중에 생각해 보자."
121-056	"그래, 오늘은 땡큐! 거절 안 해 줘서.⏎덕분에 같이 지낼 수 있었어. 네가 날 무서워하는 거, 알고 있었거든."
121-057	"아, 아니…… 이제 무섭지 않아요!"
121-058	"다행이네……!⏎사실 너랑 꼬맹이 한 명이랑───, 스토리 때문에,⏎이만한 계획이 있어. 기대하고 있어."
121-059	"으음……? 네, 알겠습니다!"
121-060	계획이라니, 뭐지……!
121-061	나와 아이리스 씨는 거리의 이런저런 것들에 대해 얘기하면서,⏎플라자에서 하루를 함께 보낸다.
121-062	아무튼 참…… 나쁘지 않은 하루네요!
