# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
132-001	"안녕, 안녕."
132-002	……? 어…… 목소리가…… 아니야?⏎그럼 왜 지금 들리는 걸까……?
132-003	"아직 일어나기엔 이르니까 신경 써 준 거야.⏎너도 좀 더 자고 싶잖아? 한밤중이니까."
132-004	그건…… 그럴지도…….
132-005	……대체 이게 뭐죠?
132-006	"……음? 모른다고? 모르는 거야!?⏎그럴 리 없어. 넌 분명히 알고 있어.⏎아니면, 꼭 내 입에서 듣고 싶어?"
132-007	"이게 심상 풍경이야, 정신의 세계!⏎우리는 말이지, 거기서 이야기하고 있는 거야, 니아."
132-008	별로 이야기하는 느낌은 안 드는데요…….
132-009	"이야기하는 느낌, 말 없는 친구랑 얘기할 때도 그런 느낌 들어?⏎여긴 그렇게까지 다른 것도 아니지?"
132-010	죄송해요, 저……,
132-011	어디선가 뵌 적…… 있었나요?
132-012	"벌써 두 번째 질문이라니……!⏎성격이 급하네, 아직 질의응답 시간도 아닌데!"
132-013	"모든 일에는 때라는 게 있는 법이야, 니아.⏎하나씩, 한 모금씩, 말이지…… 그러면 언젠가는 끝나는 거야.⏎그래, 더 물어보고 싶은 거라도 있어?"
132-014	"좋아, 물어봐.⏎이미 두 개나 물었으니까, 좀 봐줄게."
132-015	"───뭐, 내가 질릴 때까지지만.⏎알겠지, 쓸데없는 질문은 안 돼."
132-016	……저기, 알겠어요.
132-017	그럼…… 심상 풍경은 뭔가요?
132-018	"그래. 나이자, 너이자───⏎우리 모두이자, 그 너머의 모든 것이야."
132-019	"그야말로 대단한…… 둘도 없는 것이지."
132-020	어쩐지…… 애매한 답이네요.
132-021	"그야, 무한한 걸 유한하게는 못 만들잖아. 그렇지?"
132-022	무한?
132-023	"더할 나위 없는 기회라는 거지.⏎너도 그 눈으로 볼 수 있으면 했는데. '보이게' 해 주고 싶었어."
132-024	아니요, 저, 보여요……. 이건───,
132-025	"쉿…… 아직이야. 너는 아직 볼 수 없어."
132-026	"그래도 괜찮아."
132-027	"그건 내가 힘이 되어 줄지도 모르고,⏎못 되어 줄지도 몰라. 모든 건, 너한테 달렸으려나."
132-028	……으음. 알겠어요, 그럼…… 왜 저한테 말을 거는 거죠?
132-029	"내가 말을 걸 가치도 없다고?"
132-030	네? 아뇨, 그런 뜻이 아니라……,
132-031	"말 걸 가치는 있어.⏎누구에게나 조금씩은 있지.───상대에 따라서 달라지긴 하지만."
132-032	"그럼, 왜 하필 너일까? 또 왜 하필 오늘 밤일까?"
132-033	"뚜렷한 이유가 없다면, 누군가와 얘기하고 싶어 하는 것도 나쁜 거야?"
132-034	"그렇다면 오싹하네."
132-035	"가끔은 말이지, 나는 그냥 듣고 싶어질 때가 있어.⏎다른 사람이 무슨 말을 하고 싶어 하는지, 무슨 생각을 하는지."
132-036	"말이라는 건 말이지,⏎가끔은 남을 조종하기 위한 도구가 아니라는 거야…… 니아."
132-037	그, 그렇죠…….
132-038	저기, 저희가 오늘 했던 거, 보고 계셨나요?
132-039	"나는 전해 듣는 것만 모을 뿐이야. 직접 보러 가는 건 거기까지고."
132-040	"짐작컨대 너희 다섯은, 힘든 하루를 보낸 모양이야…….⏎그것도 대부분 하루 끝 무렵에 벌어진 모양이지만."
132-041	"지금은 좀 괜찮아?"
132-042	네? 아, 저기…… 아니요, 별로.⏎아시는…… 거죠?
132-043	"응, 알지."
132-044	"이야기하고 싶어? 들어 줄게."
132-045	……아니요.⏎좀…… 힘들어서요.
132-046	"그렇구나. 다음에 하자."
132-047	"나한테도 제일 중요한 건 네 마음의 평온이니까."
132-048	아, 그런가요……,
132-049	아, 그러고 보니…….⏎아이온 레코더에 대해서, 혹시 아시는 거 있나요?
132-050	"……? 음악…… 레이블 같은 건가?"
132-051	아니요, 그게, 그건 말이죠───,
132-052	"으하하하! 농담이야, 농담!⏎뭐, 나도 오늘까지 그게 있는 줄 몰랐지만……"
132-053	"실천사에 대비한 블랙박스……,⏎듣기만 해도…… 꽤 무시무시한 물건이네."
132-054	"하지만 그 무서움 자체에 큰 의미가 있는 걸지도."
132-055	"난, 니아 생각에는 찬성이려나.⏎이 세계엔 분명, 절대 잊어선 안 될 게 있어."
132-056	……
132-057	"니아는, 내 생각에 찬성해? 내가 슈라우드를 보는 관점에."
132-058	"……. 그래. 아무래도 그렇지도 않은 모양이네."
132-059	"그런데 말이지, 조금 관점을 바꾸면 그건 아주 중요하고,⏎핵심적인 부분에서───너와 내가 같은 의견이라는 거기도 해.⏎그렇지?"
132-060	아니요, 그…… 찬성은 안 해요.
132-061	"뭐 됐어! 신경 쓰지 마.⏎사실 너는……"
132-062	"후후……! 좋아, 좋구나 좋구나!"
132-063	저기, 그…… 아직 질리진 않으셨어요?
132-064	"물론……! 기분 최고야! 점점 더 신나네!"
132-065	"아침부터 방해했네.⏎아무래도 참을 수가 없어서."
132-066	아니요, 괜찮아요……?
132-067	"그래. 하나만 더 답해 줄게…… 통 크지?"
132-068	"근데, 신중하게?"
132-069	알겠습니다.
132-070	……
132-071	저기…… 혹시 프레이야 씨세요?⏎다른 사람인 척하고 있는 거라든가?
132-072	"……"
132-073	"……어? '프레이야'……? 그게 누구였더라, 그건───아. 아아……"
132-074	"……"
132-075	"아하하하……아아……그런 거구나."
132-076	"그 질문에는, 질문으로 답할게."
132-077	"……"
132-078	"……저 사람이 누구인지, '너'는 제대로 알고 있어?"
132-079	서로를 이어 주던 것이, 끊어졌다.⏎나는 정신을 붙잡으려 하지만, 몇 초도 안 돼 다시 잠으로 빠져든다.⏎깨어나서도 제대로, 이걸 기억할 수 있을까? 그러면…… 좋겠다.
132-080	으음, 이 세계에 대해, 뭐든 알고 있다고 생각했는데.⏎알게 됐기에, 내 마음이 꺾였는데……,
132-081	아무래도 아직 배울 게……,
132-082	……알아야 할 게 있는 모양이다.
132-083	!?
