# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
142-001	"……좋아. 이걸로 됐을, 텐데"
142-002	옥상 배관 그늘에 있는, 작은 지주 같은 부품.⏎거기에 폰을 세워 두고, 나는 혼자 중얼거렸다.
142-003	여긴 학교 옥상…….⏎스토리 씨가 사물함에 문 열쇠를 넣어 줘서.
142-004	옥상에 올라온 건 처음이다. 최고의 은신처인지는 모르겠지만……⏎일단 이 각도면 안 들키겠지…… 아마?
142-005	옥상 출입구와, 옥상 끝의, 중간쯤을 향해 달린다.⏎(다행히 여긴 펜스로 둘러싸여 있어서 안전하다)
142-006	문에서 끝까지 몇 번이나 왔다 갔다 하면서,⏎멈춰 서서는, 여기저기서 얼굴을 돌려 본다.
142-007	한 번 다 움직이고 나서, 폰 은신처로 달려가,⏎카메라를 멈추고 영상을 확인한다.
142-008	"……문 근처에서 멈춰도, 이거라면 저쪽 얼굴이 찍힐 거야…….⏎거리도 각도도 완벽. 역광 같은 것도 없어……"
142-009	"응…… 갈 만해."
142-010	……
142-011	폰으로 애니웨이브를 열고,⏎팔로워 둘뿐인 채널에서, 방송을 시작한다.
142-012	팔로워는, 메이 씨와 스토리 씨다…….⏎내가 만화 리뷰 영상을 올릴지도 모른다고 듣고,⏎혹시 몰라 등록해 줘서…….
142-013	……이렇게 해 두면, 만약 내게 무슨 일이 생겨도 알아채 줄 거야.⏎스토리 씨는…… 대기하고 있어 줄 테니까.
142-014	카메라를 똑바로 들여다본다.⏎처음엔, 저기───,
142-015	"……자기소개, 해야겠지. 저기……"
142-016	"처음 뵙겠습니다, 니아 케나입니다.⏎나이는 16살, 아마치 시에 있는 효강 고등학교 2학년입니다."
142-017	"이거, 학생증입니다……"
142-018	조금 물러나서 학생증을 보여 준다.
142-019	"이건 생방송입니다.⏎장난이나, 연출도 아닙니다."
142-020	"제 학교의 마이클 키츠라는 교사가,⏎'Xavier'라는 다크 웹상의 조직에 연루되어 있습니다."
142-021	"바보 같은 얘기라고 생각할지도 모릅니다. 하지만 보이실 거예요.⏎저는 진실을 말하고 있고, 장난으로 말하거나 하지 않습니다."
142-022	"상황은 유감이지만, 심각합니다."
142-023	그리고 전부 털어놓았다.
142-024	경찰이 연루되어 있다는 것, 아이리스 씨 여동생이 협박당한 것,⏎미행당하고, 잡힐 뻔한 것…… 남김없이, 전부.
142-025	그리고…… 팔로워 둘을 향해───,
142-026	만에 하나 무슨 일이 생기면, 그때는 죄송합니다, 라고.
142-027	……한 번 다 말하고, 종종걸음으로 큰 실외기 그늘에 숨었다.
142-028	……키츠 선생님도 슬슬, 열쇠를 찾았을 시기일 텐데.⏎그렇죠, 스토리 씨……?
142-029	방송, 보고 계시죠? 보고 계시죠?⏎이것도, 스토리 씨 덕분에 할 수 있었던 일이고…….
142-030	이번엔, 내가 끝낼 차례입니다.
142-031	만약…… 정말 우리가 닮았다면…….
142-032	……분명 스토리 씨도 뭔가 찾았겠죠.⏎선생님이 남긴 증거를.
142-033	그렇다면, 나도 할 수 있습니다. 허세도 부릴 수 있어요.⏎스토리 씨가 합류할 즈음엔…… 사실이 되어 있을지도 모르지만.
142-034	그러니까 기다리고 있습니다.⏎선생님뿐만 아니라…… 스토리 씨도.
142-035	……
142-036	"……"
142-037	침을 삼킨다.
142-038	조금만 더 가까이 오기를 기다렸다가…….
142-039	……그늘에서, 나온다.
142-040	"응……? 또 니아인가"
142-041	"……어쩔 셈인가?⏎네가 이렇게 몰래 캐고 다니는 사람이라고는 생각 못 했는데."
142-042	"하지만 이 메모를 쓴 건 네가 아니지?"
142-043	키츠 선생님이 '옥상'이라고 적힌 종이를 흔들어 보인다…….⏎스토리 씨, 역시 교무실에 갔던 거구나……!
142-044	……
142-045	좋아…….
142-046	"……"
142-047	"아니면…… 너인가? 내 열쇠를 바꿔치기한 건.⏎대체, 누구 것으로 바꾼 거지?"
142-048	"저는 당신 열쇠를 가져가지 않았습니다, 마이클 키츠."
142-049	"……묘한 말투군."
142-050	……? 잠깐, 저건……,
142-051	"아니, 그것보다 목줄 색도 묘하군."
142-052	그의 뒤로 다가드는 그림자, 저건───,
142-053	"……너는 뭐에 화가 난 거지?⏎애초에 이런 데로 불러낸 건 무슨 용건이었나?"
142-054	스토리 씨!
142-055	"'Xavier'에 가담한 교사를 폭로하기 위해서, 입니다."
142-056	"즉───당신을 가리키는 말입니다. 마이클 키츠."
142-057	문 소리, 못 들었어…….⏎뒤에서 몰래 다른 실외기 뒤를 돌아, 곁까지 와 준 거구나.
142-058	내 촬영도, 가리지 않게 해 주고 있어……!⏎방송, 보고 있었던 걸까……?
142-059	"'사비에르'? 너는───"
142-060	"당신의 열쇠를 빌린 사람입니다."
142-061	"……"
142-062	"그러고 보니, 분명 오늘 너를 본 것 같았지.⏎하지만 다른 학교 학생인데, 들키지 않고 섞여들 리가 없다고 봤지."
142-063	"……스토리 에티엔, 이군?⏎이 건은 어머니한테 말해야겠는데. 경우에 따라서는, 당국에도.⏎애초에 너는 한 번, 이 나라에서 체포된 적이 있지 않았나?"
142-064	"제 일을 잘 아시는군요. 담임도 아니면서."
142-065	"학술 교류 때문이라든가, 그런 변명은 하지 마세요……,⏎당신은 저를───우리 모두를 하나도 빠짐없이 알고 있어요."
142-066	"자, 자백하세요. 확실히 인정하는 게 어떠세요."
142-067	"……"
142-068	"흐음……"
142-069	"그래서 뭘 말해 주길 바라는 거지?⏎내가 뒤에서 조종하고 있다든가, 흑막 같은 존재라든가, 그런 건가?"
142-070	"니아, 너한테는 아까도 말했잖아.⏎이해하기 쉬운 답 따위 없다고."
142-071	"그리고 솔직히 너한테 점점 화가 나고 있어서."
142-072	"마음대로 화내고 있으면 됩니다.⏎당신 증언 말고는 아무 상관 없어요."
142-073	"전부터 네 성적 보면서 생각하고 있었는데───"
142-074	"너는 머리가 나쁜 건가? 니아."
142-075	"네, 네에……?!"
142-076	"어떻게 그런 말을 지껄이는군. 정작 자기 자신은 아무것도 모르면서."
142-077	"내가 이러고 있는 것도 너희 모두를 위해서인데……"
142-078	뭐야……,
142-079	……환각이라도 보는 거야……?
142-080	"그런 게…… 진실이라고요!? 제정신이세요?"
142-081	"'진실'?…… 하핫.⏎그래 그래, 그럼 진실이란 걸 생각해 보자고."
142-082	"……'진실'이란 이 현실이야.⏎우리가 사는 이 쓰레기장이 처음부터 짜고 친 거라는 사실로 충분하지."
142-083	머리카락이 곤두선다.
142-084	지금 그 말투로───
142-085	……이미 알아버렸다.
142-086	스토리 씨가 곁에 붙어 있다.⏎내 바인드를 보고, 뭔가 눈치챈 모양이다.
142-087	전부 그렇게 생각하고 있는 거구나───'이제 아무 상관 없잖아?' 라고.
142-088	컨닝 같은 건…… 키츠는 전혀 신경 쓰지 않는다.
142-089	키츠는 그저……,
142-090	……10년 안에 일어날 미래만 생각하고 있어.
142-091	빛나 보이는 머리 위 하늘을……
142-092	아무도 올려다보려 하지 않는다.
142-093	"……그래서 말만 해 주면 되는 건가?"
142-094	"그럼 그렇게 겁먹지 말라고. 자."
142-095	"수다나 떨어 보자고."
142-096	……
142-097	그런 건 필요 없어.
142-098	나는 담임의 정신 속으로 다이브해서……
142-099	……세계가 녹아내려 간다───
