# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
143-001	뭐, 뭐가……?
143-002	어떻……게 된 거야…….
143-003	"니아……?"
143-004	내 주변의 세계, 그 모든 윤곽이 떨리고 있었다.⏎색이 보이는 방식조차, 뭐 하나 제대로인 게 없어서.
143-005	작은…… 속삭임도 들린다.
143-006	……혹시…… 쫓겨난 건가요, 저?
143-007	"……"
143-008	"생각이 너무 많은 건가, 싶었는데……"
143-009	"너는, 그들의 가장 큰 비밀을 알고 있는 게 아닐까───,⏎니아 케나?"
143-010	누, 누구……?
143-011	정…… 정신…… 차려야…….
143-012	"어제, 'Xavier'의…… 대표 학생들과,⏎당신의 회합을…… 녹음했습니다"
143-013	"어, 어물쩍대도 소용없어요…… 그, 그 밖에도, 저, 저…… 으으"
143-014	"이미 증거도 찾았어요……⏎당신 컴퓨터에서……!"
143-015	집중…… 집중해……!
143-016	"몸이 안 좋아 보이는군. 수업은 이미 끝났지만, 보건실에 데려다줄까?"
143-017	"……아, 그렇지. 오늘은 보건 교사가 없었지……"
143-018	"그럼 내가 치료해 주지"
143-019	……!
143-020	"무슨…… 말을 하는 거예요……?"
143-021	"우리는 서로 닮은 존재라고 하는 거야"
143-022	"니아가 못 깨닫고 있다 해도 말이지"
143-023	"하, 하아……!?"
143-024	"으으윽!"
143-025	"니아!"
143-026	"잠깐 얌전히 있어 줘. 진정시켜 주는 것뿐이야"
143-027	"걱정하지 마. 나라면 기분이 편해지게 해 줄 수 있어"
143-028	"안 돼…… 움직이지 마───움직이지 마!"
143-029	"나는 움직이지 않아. 오해하지 마"
143-030	"계속 보고 있으면 알게 될 거야"
143-031	이거…… 이건……?!
143-032	왜…… 또 내 안에……?
143-033	머릿속이 뒤집
143-034	힐 것 같───뭐가 어
143-035	떻게 되는───?
143-036	아…….
143-037	이건……,
143-038	기분이 좋아…….
143-039	누군가 내 손을 잡는다.⏎눈앞은 여전히 텅 비어 있지만, 이 손은───,
143-040	스토리 씨, 그렇지……?
143-041	어떻게 된 건지…… 모르겠어…….⏎그래도 나는 아직 여기 있어.
143-042	뭐가 일어나고 있든…… 분명 멈출 수 있어.
143-043	'머리 위'에서 한순간 반짝 빛나는, 떠 있는 거대한 삼각형들.⏎그때 내 귓가에서 바람 소리와 물소리가 소용돌이치기 시작했다.
143-044	지평선 너머를 보면,
143-045	누군가 '대지' 위에 있다.⏎기묘한 색이 그 몸을 여러 각도에서 감싸고 있어서…… 마치 날개 같아.⏎만약 저 '천사'에게 얼굴이 있다면…… 보여…… 보이지……
143-046	……아니, 달라. 나한테는 보여.
143-047	저건…… 키츠다…….
143-048	그렇게 서로를 바라보았다.
143-049	……하핫. 그렇구나. 이건…… 앙갚음 같은 거구나.
143-050	나를 붙잡고 싶은 거야……?⏎아, 아쉽네…….
143-051	이제 억눌리는 건 질색이니까……!
