# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
144-001	나가…… 꺼져!
144-002	아…… 와아!
144-003	이…… 이거 나야! 해냈…… 해낸 거야……!?
144-004	스토리 씨가 이쪽을 올려다보고 있다.⏎손을, 계속 잡은 채로……,
144-005	키츠 쪽을 본다.
144-006	어, 어때! 해…… 해냈다구…….
144-007	……?
144-008	……어째서…… 웃고 있는 거야?
144-009	"큭큭큭……… 하핫!"
144-010	"앗하하! 실로 상쾌하다!!⏎그 여자는 너를 'AARC'로 선정한 시점에 알고 있었던 건가───?⏎아니, 아니야. 그 여자가 그런 걸 알고 있었을 리가 없어"
144-011	"훌륭하군, 우리는, 정말 잘 닮았어"
144-012	"너는 최고야, 니아"
144-013	"뭐…… 뭐야───"
144-014	"아 정말, 입 좀 다물어…… 악당 놀이도 그만두고"
144-015	"연기 같은 건 됐고, 얼른 네 악행을 인정해"
144-016	"학업 부정 조직 'Xavier',⏎그 중심 인물은, 마이클 키츠───너지"
144-017	"그래. 나는 'Xavier'에 협력하고, 'Xavier'를 떠받친다"
144-018	"……뭐───"
144-019	"그것뿐만이 아니야. 나는 많은 걸 담당하고 있어.⏎제일 알기 쉬운 건, 학생들에게 자료를 유출하는 거다.⏎과제나 쪽지 시험, 정기고사 컨닝용으로 말이지."
144-020	"하지만 그런 건, 너희한텐 이제 아무래도 상관없는 거겠지?⏎아까 말했잖나, 네가 화난 건 여기가 아니야.⏎그것 말고 전부겠지?"
144-021	"……겁주기만 해서 물러나게 할 수 있다면, 당연히 겁주겠지"
144-022	"……너, 제정신이 아니네"
144-023	"오히려 여기서부터야"
144-024	"그야말로, 아직도 캐고 돌아다닐 생각이었다면,⏎너희 중 하나를 '제거'했을 거다. 가족까지 챙겨서라도 좋고."
144-025	"게다가 경찰도 조직의 손이 뻗어 있어. 알아챘나?⏎그중, 너희를 쫓게 만든 건 어디까지나 일부야."
144-026	"확실히…… '아야메'인가? 그 애는 알아챘겠지.⏎다섯 중에서도 제일, 상황 인식력이 있어 보였으니까."
144-027	"아무튼 그래, 맞다 맞다 맞고말고.⏎나는 수단을 가리지 않아. 필요하면, 뭐든 해."
144-028	"그런, 미친……!"
144-029	"컨…… 컨닝에 그렇게까지……!? 말, 말도 안 돼!!"
144-030	"왜, 어째서 이런 짓을!?"
144-031	"그야 너희 같은 애들한텐 모르겠지, 하지만 뭐……"
144-032	"그걸로 좋아, 그대로 있어 줘.⏎무지무학한 편이, 바람직하니까."
144-033	"하지만 착각하지 마─── 내 악행을 알고, 그래서 어쨌다는 거지?⏎너희가 알았다고, 그게 어쨌다는 거야? 인정해 줄게! 증거 있잖아?⏎어차피 내 PC에서, 거기 스토리가 찾아낸 지운 흔적이겠지."
144-034	"아무래도 좋아"
144-035	"너희가 알아 둬야 할 건 하나.⏎───세상에는, 수단을 가리지 않는 개자식이 널렸다는 거다"
144-036	"이 쓰레기장 같은 세상이 쓰레기인 이유 중 하나지"
144-037	"……완전히 끝장났네"
144-038	"네가 무슨 착한 일이라도 하는 줄 알아……?"
144-039	"조금은 양심이 있어"
144-040	"하지만 그 이상으로…… 나에겐 목적이 있다"
144-041	"유감이야, 이걸로 나는 어울리는 상대와 얘기해야 하거든.⏎너희를 이 계획에서 빼기 위해서."
144-042	"슬프군.⏎평행세계라면, 내가 너희 담당자였을지도 모르는데"
144-043	"……자, 이제 원하는 건 손에 넣었겠지?"
144-044	"그럼, 안녕. 될 수 있으면, 마지막으로 자유로운 날을 즐겨라"
144-045	이쪽으로 등을 돌리고, 키츠는 옥상 문을 열었다.
144-046	───나는 반사적으로 그쪽으로 달려 나갔다.
144-047	"……! 야, 아직 뭐───!?"
144-048	키츠가 떠나기 전에, 그 옆구리에 팔꿈치를 쑤셔 넣었다.
144-049	한순간───,
144-050	한순간이면 돼───.
144-051	한순간이라도 틈을 만들 수 있다면, 그걸로───!
144-052	"───크윽!?"
144-053	아…… 배가…… 이게……,
144-054	무, 무릎…… 젠장…… 온, 온몸이 불타는 것 같아───,
144-055	아…… 아파……!
144-056	머리채가 잡혀 끌어올려진다.
144-057	"움직이지 마라, 스토리.⏎더 이상 나를 거칠게 만들지 마라"
144-058	"……"
144-059	나를 잡은 손을 더 위로 끌어올린다.
144-060	"……이봐, 니아"
144-061	"대놓고 나를 쫓았으니, 이제 너는 모든 걸 잃었어"
144-062	"마지막 하루마저 빼앗기지 마라, 알겠지?"
144-063	"그러니까 손 놓고 얌전히 있어 줄래?"
144-064	"순하게 굴고, 얼마 안 남은 행복이나 누리며 살아라"
144-065	"그 말투…… 말버릇……"
144-066	"들으면 들을수록…… 구역질이 나……!"
144-067	"너랑 내가…… 서로 닮았다고……?"
144-068	키츠의 눈을 노려본다.
144-069	"난 너 같은 놈이랑 달라"
144-070	손을 뻗어 그 녀석의 목을 움켜쥔다.
144-071	그리고 다시, 세계가 녹아내려 간다.
144-072	하지만 이번엔───
144-073	……어쩐지…… 그리웠다.
