# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
145-001	하늘이, 마치 피 색이다.
145-002	이건, 우리가……?
145-003	지면에서 튀어나온 돌기가, 하늘을 향해 뻗어 있다.⏎그 주위를 회오리가 맴돌고 있다.
145-004	거리 전체가…… 부서져서, 엉망진창이다.
145-005	겨우 몇 분밖에 지나지 않았는데.
145-006	어제는, 여기서 느긋하게, 지냈는데…….
145-007	모두들───,
145-008	"슬슬 정신 차려라"
145-009	그녀 쪽을 본다.
145-010	"뭘 멍하니 있는 거냐, 이번이 처음인 것도 아닐 텐데"
145-011	"다시 일으켜 세워라. 이건 기회다"
145-012	……
145-013	이, 망할 년……,
145-014	이 년, 정말 못 봐 주겠네.
145-015	"흥, 이번엔 화가 났나? 뭐냐, 나한테?"
145-016	"……그런 나약함으로 잘도 살아남았군"
145-017	"맹세를 이루고 싶다면, 시시한 건 집어치워라"
145-018	"상이라도 치르는 셈이냐? 그러면 누가 고마워하나, 망령이?"
145-019	"기운 내라, 샘"
145-020	그녀에게 달려들려고───갑자기 끌려 돌아온다.
145-021	"샘! 그만둬!"
145-022	"……너는, 구제불능 바보로군"
145-023	"나간다. 눈물에 어울려 줄 시간은 없다"
145-024	"도망치지 마!"
145-025	이, 이건…… 이거는…… 이거는……?
145-026	키츠의, 기억? 지금 보고 있는 게───.
145-027	"샘"
145-028	"다른 놈들은 너무 다정해서, 면전에서는 말하지 않지만"
145-029	"하지만 이건 다정함만으로 해낼 수 있는 일이 아니다.⏎그래도 말은 해 두겠다"
145-030	"여기서 그만둬라, 샘"
145-031	"못 하겠으면, 하지 마라"
145-032	"전원, 네가 짐이라고 생각하고 있다.⏎굳이 아무도 말하지 않지만, 그게 현실이다"
145-033	"우물우물하지 마라, 겁쟁이.⏎얼른 그들의 사고를 들여다봐라, 금방 알 게다"
145-034	"됐다, 시간 낭비다. 놓아 줘도 상관없다, 에이프릴.⏎녀석이 또 이상한 짓을 하면, 그때는 내가 손수 죽여 주지"
145-035	"……"
145-036	"……"
145-037	에이프릴이 손을 놓고, 나는 바닥에 쓰러진다.
145-038	당연하다는 듯, 머리가 따라가지 못한다.
145-039	분명히 말했다…… 나를 죽인다고…… 하하……,
145-040	온몸이 흙투성이인 채로, 나는 웃기 시작한다.
145-041	결국…… 미쳐 버린 건가……?
