# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
146-001	"하아앗……!"
146-002	밖으로 나왔다!
146-003	아이리스의 목을 본다.
146-004	……
146-005	잘됐어……
146-006	믿기지 않아, 정말 잘 됐다니.⏎심신모약 상태를 막은 걸까…… 아니면, 풀어낸 걸까……?
146-007	……
146-008	……바인드는 대체 왜 있는 걸까……?
146-009	"으으…… 윽…… 젠장……"
146-010	"……? 스토리? 왜, 왜……"
146-011	아, 그랬지.⏎아직도 그녀를 안고 있었다.
146-012	그대로 잠시 안은 채로 있었다.
146-013	"나…… 대체───?"
146-014	"……나쁜 꿈을 꾸는 것 같았어요"
146-015	"……"
146-016	"그래서…… 달래주고 있던 거야……?"
146-017	"저라도 괜찮다면……"
146-018	"……고맙겠네"
146-019	"……"
146-020	"고맙다…… 정말 살았어"
146-021	나는 고개를 끄덕인다. 알아요.
146-022	적어도…… 캄캄한 어둠 속을 걸을 때,⏎서로의 존재가 얼마나 큰지…… 그건 알아요.
146-023	아이리스를 조용히 안은 채……
146-024	그대로 오랫동안 둘이서 있었다.
