# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
150-001	……됐다!
150-002	너무 걱정한 걸지도…….
150-003	잘 됐을 거야───응! 해냈어!
150-004	첫 번째 애, 바인드가 초록색! 겁먹은 거야?
150-005	이건 노린 대로야! 그럼 이대로, 단도직입적으로───,
150-006	"두 사람 다, 'Xavier'와 통해 있지?"
150-007	"오늘, 'Xavier'가 어디서 미팅하는지 알고 있다면…… 알려 줘"
150-008	"일단은…… 알고는, 있는데……"
150-009	"야, 닥쳐! 무슨 소리를 지껄이는 거야"
150-010	"말 안 할 생각이면……"
150-011	"너희를 아프게 만들 수 있는 사람이 있어, 철저하게.⏎두 명인데───둘 다 여기 와 있어"
150-012	"나는 싸움은 못 할지도 모르지만……"
150-013	"그런데 요전에 한 명이 바닥에 내리쳐서 머리를 깨 버리는 걸 봤어"
150-014	"……!"
150-015	"'Xavier'한테는 정말, 짜증이 나 있어서……"
150-016	"이 이상 화나게 하지 말아 줄래? 협력해 줄래?"
150-017	"……"
150-018	"……"
150-019	"모임은…… 뒤쪽에서 하는 모양이야. 도서실 근처라든가……"
150-020	"뒤쪽…… 설비실인가?"
150-021	……스토리한테는 저쪽도 보일까?⏎아니, 무리겠지. 안 들키려고 거기서 모이는 거겠지.
150-022	"거기 감시 카메라 같은 건?"
150-023	"없대───그렇게 말하더라고……"
150-024	"504호실에 방이 있어……"
150-025	"거기서 모인대. 그리고…… 35분쯤 뒤에"
150-026	"우리는 돈 받고 웹사이트만 관리하고 있어……⏎그러니까 그 아이리스라든가 아리아를 들먹이는 건 그만해 줘…… 부탁이야"
150-027	"그렇네…… 그럼 걔한테 조심해야 할 거라든가 그런 거 있어?⏎망을 지킨다든가"
150-028	"벡고 녀석이 둘 있어……"
150-029	……역시.
150-030	"그 두 명은 때려눕혀도 괜찮아? 문제없지?"
150-031	"누…… 누가 'Xavier' 학생인지는 극비라나 봐……⏎망 보는 녀석들도 모임 직전엔 빠지라고 들었대"
150-032	"그러니까…… 그 녀석들을 쳐도 아마 아무도 모를 거야"
150-033	"……그렇구나! 정말 고마워.⏎쓸데없는 짓만 하지 않으면 너희 두개골은 무사할 거야"
150-034	"……"
150-035	"고, 고마워……"
150-036	들은 정보를 아이리스에게 보내고, 그리고……
150-037	좋아.
150-038	이제 네 차례야.
