# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
163-001	"으으……"
163-002	최악의 기분…… 왜 이렇게 추───?
163-003	"……!"
163-004	여기…… 공원? 왜……?
163-005	몸을 일으키며, 눈과 얼굴을 문지르고…… 그리고 떠올린다.
163-006	……아 진짜. 그래. 이것도 저것도, 현실이었던 거야.⏎고작 학교 컨닝 정도로───아니, 그보다……!
163-007	"아이리스는……!"
163-008	"오. 좋은 아침"
163-009	"너, 설마……?"
163-010	"바보 아냐……!? 한숨도 안 잔 거야!?"
163-011	"그런 모양이야.⏎몸이 식어 버려서, 돌아다녔어"
163-012	"어차피 누군가는 깨어 있어야 하니까.⏎망 보는 것도 처음이 아니고"
163-013	"내가 못 미더워서……?!⏎교대로 망을 보면 됐잖아, 나를 깨워서!"
163-014	"뭐, 그렇긴 한데…… 하지만 말이지……"
163-015	"그 나뭇가지 같은 몸으로,⏎수상한 녀석이 오면 쫓아낼 수는 있어?"
163-016	"뭐 괜찮아. 어젯밤엔 아무도 안 왔고"
163-017	"후아아…… 그건 그렇고 쉴 곳 찾는 데 시간 너무 오래 걸렸네.⏎땀범벅이야…… 좀 냄새날지도. 너도?"
163-018	아이리스의 뒤통수를 주먹으로 툭 쳤다.
163-019	"아팠! 아야…… 미안 미안.⏎뭐랄까. 목욕이라도 하고 싶네……"
163-020	"……"
163-021	"뭐야, 내가 밤새 망 보고 있어 줬더니 왕족 기분이냐?⏎메이 님 모시기냐…… 아니, 그건 아니지"
163-022	"그런 말장난 할 상황……?"
163-023	습격당한 건 어제 낮…… 한곳에 머무는 것도 슬슬 위험해.
163-024	"미안하다니까, 잘못했어. ……좋아, 일어날까"
163-025	……
163-026	뭐, 목욕은 하고 싶지만……
163-027	공원 벤치에서 잤다니 믿기지 않아.
163-028	"……"
163-029	"미안, 이런 데서 자게 해서……"
163-030	"……딱히 네 탓은 아니───"
163-031	"우와…… 왓!"
163-032	이 녀석…… 무거워……!
163-033	당황하면서, 어떻게든 그 몸을 껴안듯이 양팔로 받아냈다.⏎내 어깨를 베개로, 아이리스는 새근새근 잠든 숨을 쉬고 있다.
163-034	……내 힘으로는, 움직이는 건 무리다.⏎적어도 나무 그늘로라도 옮겨서…… 조금 재워 주자.
163-035	하지만 이동은 해야 해. 지금 당장, 어딘가로.
163-036	여기라면 일단 괜찮으려나.
163-037	폰을 꺼내서, 멍하니 만지작거리기 시작한다.
163-038	생각을, 정리해야 해.
163-039	녀석들이 내 집까지 특정했는지는, 모르겠다.⏎아빠랑 엄마에 대해서도…… 하지만 연락은 안 왔다. 아마 무사하겠지.
163-040	아이리스의 가족은…… 프레이야가 구해 줬을 거야.
163-041	그런데, 니아 부모님은? 아무 보호도 없이 방치해 둬도 되는 걸까?
163-042	……하지만 그렇게 할 수밖에 없어. 다른 애들처럼, 니아도 외동이다.⏎여동생이 있는 건 아이리스뿐이고, 그 가족의 우선순위가 더 높아.
163-043	아야메 가족은 어쩌려나…….
163-044	스토리 씨는…… 없겠지.⏎베리키아까지 이 사건의 영향이 있다고는 도저히 생각 안 돼.
163-045	아마 이 사건은 어디까지나 국내───국지적인 사건일 거다.⏎양국이 세계통일정부로 관계가 있다 해도,⏎이 사건이 정부 차원의 음모라니, 생각할 수 없어……,
163-046	……그럴 거다.⏎다만 공립고 교사가 관련됐을 가능성은, 일단 있을지도?⏎그것도 또, 추측에 지나지 않지만…….
163-047	───대체, 우리의 적은 누구일까?
163-048	또 오야기에게 연락해야 하나?⏎아니, 이 정도 규모면, 그 녀석도 좀 못 믿겠어.⏎애초에 그는 뒷세계에 한 발 들여놓은 인간이고…….
163-049	……하지만 음악 업계 사람은 휘말리게 할 수 없어.
163-050	우리는 고립되어 있고, 유효한 반격 수단도 없다.⏎아리아와 아이리스는 움직일 수 있지만……,
163-051	……그것만으로 언제까지나 버틸 수 있다고는, 단언 못 하니까.
163-052	그렇다면───
163-053	"으으…… 안 돼…… 릴리, 가지 마……"
163-054	응?
163-055	릴리라면……
163-056	……여동생이지?
163-057	……
163-058	……팔을 뻗어, 아이리스의 이마에 손을 댔다.⏎그대로, 머리칼과 머리를 살며시 쓰다듬는다.
163-059	"내가 있어…… 너는 혼자가 아니야"
163-060	……
163-061	굳어 있던 아이리스의 얼굴이, 차분해져 간다.⏎숨결도, 움켜쥐고 있던 손의 힘도.
163-062	감긴 두 눈에서, 한 줄기 눈물이 흘러내렸다.⏎손은 이대로 두자.
163-063	……
163-064	나를 지키려고 한 건 왜?⏎프레이야에게 소중한 가족까지 맡기고.
163-065	나한테는 아무도 없으니까───라든가 말하지는 않겠지…….
163-066	"워…… 나도…… 어떻게든, 할 수 있으니까……"
163-067	……그 표정이, 한층 더 안심한 듯 보였다.
163-068	한 손으로 그녀에게 닿은 채, 다른 한 손으로 폰을 조작한다.
163-069	누군가 의지할 사람이라든가, 없을까……?⏎어젯밤은 누군가에게 숨겨 달라는 선택은 빼기로 했지만.⏎어둠 속에서 모르는 사람을 믿는 건, 다른 의미로 위험하니까.
163-070	하지만 밝은 낮이라면 나은 편이고, 이 근처는 분위기도 나쁘지 않아.
163-071	길을 걷는 사람들은 부유해 보인다. 정년퇴직한 사람들일까.⏎확증은 없지만, 어쩐지 연배 있는 사람이 아직 안심될 것 같은……,
163-072	하지만 아무도 도와주지 않았을 경우, 어떻게 해야 하는 걸까.
163-073	이 도피 생활은, 언제까지 이어지는 걸까?
163-074	배가 고프면, 안전하게 식사할 수 있는 곳은 어디?
163-075	……슬슬 전철을 타야 하나.⏎감시당하면 전철 안에서 끝장이니까…… 멀되 너무 멀지 않은 곳으로.⏎아마치시 변두리라면, 어쩌면 괜찮을지도.
163-076	숲속이라면 사람도 없고, 숨을 곳도 넉넉해.
163-077	그래, 예를 들어 세이코 미술학원이라든가 하면───.
163-078	……뭐야! 누구야!?
163-079	shrinkthat.c/2y84tt
163-080	프레이야?
163-081	하아, 아빠나 엄마였으면 어쩌나 했네.
163-082	……그건 그렇고, 이게 뭐야?⏎누르고 싶지 않은데.
163-083	이게 뭐예요?
163-084	앱을 설치하는 링크다.⏎이걸 쓰면 더 찾기 쉬워진다.
163-085	이쪽이라면, 프레이야 혼자예요?⏎아니면……?
163-086	앱은 직접 만들었다.
163-087	믿어도 된다.
163-088	……상대가 정말 프레이야라는 확증도 없다.⏎그렇다고 해도 그녀 같은 사람이 설마⏎계정까지 통째로 커넥트를 탈취당하지는 않았겠지…… 아마.
163-089	뭐, 됐나.
163-090	링크를 누르니 경고창이 뜬다.⏎뭐, 이건 내 개인 폰이고, 뭐 괜찮겠지.⏎최악의 경우, 일회용 폰을 잃는 것뿐이니까.
163-091	그대로 폰에 설치했다.
163-092	설치했어요.
163-093	고맙다. 4분쯤 뒤에 도착한다.
163-094	도와주시는 거예요?⏎아이리스 가족은? 무사한가요?
163-095	이동 중에 딴 데 보지 마라.⏎나중에 말한다.
163-096	"알겠다고……"
