# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
165-001	뭔가, 기분 좋네…….
165-002	잠깐. 설마 잠들어 버린 건가?
165-003	아무것도 기억 안 나……,
165-004	이것저것 생각하고 있으면,⏎가슴에 가벼운 진동이 전해져 온다. 목소리도 들려…….
165-005	"고맙다"
165-006	……
165-007	프레이야의 꿈?⏎아니, 달라. 이건───.
165-008	……젠장. 그 녀석한테 업혀 있구나.
165-009	"괜찮아요, 그런 거! 별일 아니니까!"
165-010	노인 같은 목소리네…….
165-011	"미안하지만 사례는 할 수 없다.⏎그녀들에 관한 흔적은, 되도록 남기고 싶지 않아서 말이지"
165-012	"게다가 이 둘은 위험한 상황에 휘말려 있다.⏎그래도 문제없이, 부탁할 수 있겠나?"
165-013	"물론이지. 우리 애한테 이미 탈의실에 자리를 만들어 두게 했으니까.⏎등에 업힌 그 애, 눕혀 줘"
165-014	아아……,
165-015	……
165-016	……나중에 고맙다고, 해야지.
165-017	"자, 메이?"
165-018	"……고맙습니다, 신세를 지겠습니다"
165-019	야 야, 프레이야…… 재촉 안 해도 됐잖아.⏎이렇게 친절하게 해 주시는데, 아무리 메이라도 인사 정도는…….
165-020	뭐 아무튼…… 젠장, 또 의식이 멀어져 간다…….
165-021	우선……,
165-022	지금은, 잔다.
165-023	"응……"
165-024	여기……는…….
165-025	탈의실?⏎……아아, 그래. 프레이야가 데려다줬던 거였지.
165-026	……메이도 있고, 무사한 모양이야. 다행.
165-027	뭔가, 이 녀석 멍하니 있네…….
165-028	"……괜찮아?"
165-029	"……! 깼구나……"
165-030	"여기, 어디야?"
165-031	"목욕탕"
165-032	"어디?"
165-033	"이름은…… 까먹었어. 아무튼 공원 근처"
165-034	"……괜찮은 거야? 더 자지 않아도 돼?"
165-035	"그러고 싶긴 한데, 목욕도 하고 싶고───봐, 이왕이면 말이야"
165-036	"네가 쏘는 거냐?"
165-037	"여기, 원래는 아직 문을 안 열었는데,⏎주인분이 원하는 만큼 있어도 된다고.⏎……자상한 할머니라서, 옷까지 빨아 주고 계셔"
165-038	"가지가지 다 해 주시네……"
165-039	"……자게 놔둬. 잠이 완전히 부족하잖아"
165-040	"……그렇네. 문 여는 건 몇 시부터야?"
165-041	"저녁부터래. 지금은 아직 아침이야"
165-042	"그럼 목욕하고 개운해진 다음에 자는 게 어때?"
165-043	"……나쁘지 않네"
165-044	"……솔직히 몸 상태는 최악이지만.⏎저기, 혹시 내 등 좀 밀어 달라고 하면 이상할까?"
165-045	"……딱히. 전혀 안 이상해. 나는 괜찮아"
165-046	"하룻밤 지켜 줬으니까 아무렇지도 않아"
165-047	"얼른 들어가자.⏎목욕탕에서 졸지나 말고"
165-048	"글쎄, 어떨까"
165-049	좋아…… 드디어 목욕이다.
165-050	우리는 옷을 벗고 사장님께 인사한 뒤,⏎목욕하러 간다───쉴 수 있을 때 쉬어야지.
