# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
167-001	'AARC' 다들한테 메시지를 보낸다.
167-002	방과 후가 됐으니, 시립 도서관에 와 달라고.
167-003	거긴 공공성이 높으니까…… 안전하다고 생각해.⏎나와 니아에게 유일한 문제는 무사히 도착할 수 있느냐야.
167-004	그 문제를 클리어하기 위해서도 나는……,
167-005	나는, 여기 있는 거야.⏎그럼, 바로……,
167-006	상냥하게 굴어서, 어떻게든 밝은 기분으로 가 볼까.
167-007	"야, 친구! 좋아, 여기 있었구나"
167-008	"아아에엣!? 치, 친구! 안녕!"
167-009	"간곡히 부탁이 있는데───라고, 왜 당황하는 거야?"
167-010	"에!?"
167-011	"아니, 그게……"
167-012	"아야메가───"
167-013	"……아야메가 만나러 올 줄은 몰라서"
167-014	"……"
167-015	"……"
167-016	……린이, '반쪽 진실'을 말하고 있어?⏎게다가 너무 노골적이야. ……뭔가 숨기고 있어?
167-017	으음, 뭐 됐나. 뭔가 부끄러워하는 것뿐일지도 모르고.⏎지금은 신경 쓸 여유도 없고…….
167-018	"에헴…… 여기서는 '무슨 부탁인데?'라고 묻는 거야?"
167-019	"무슨 부탁이신지요, 아가씨?"
167-020	"지금, 내 방에 'AARC' 동료가 있고───"
167-021	"니아?"
167-022	"그래 그래, 니아가───라고…… 왜 그렇게 생각한 거야?"
167-023	"아니…… 찍은 게 아니야"
167-024	찍은 게 아니라고?
167-025	"……같이 있는 걸 봤어?"
167-026	"봤다기보다, 같이 있다고 들었어"
167-027	누군가 눈치챈 걸까?
167-028	뭐, 나 친구 많으니까…….
167-029	뭐 됐어─── 정말로 지금은 시간이 없어. 신경 쓸 때가 아니야.
167-030	"뭐, 그렇구나.⏎아무튼 그런 사정이라, 도와줄 수 없을까?"
167-031	"……? ……! 어, 어, 좋긴 한데.⏎구체적으로, 뭘 어떻게 해 달라는 거야?"
167-032	"실은 그…… 휠체어를 빌리고 싶어. 밤까지는 돌려줄게!⏎반드시 돌려줄게 약속해! 그리고 그동안은, 내 방에서 기다려 줘"
167-033	눈을 감고, 짝, 하고 치듯이 손뼉을 마주쳤다.
167-034	"부탁이야! 몰래 니아를 데리고 나가야 하거든!"
167-035	"몰래라고, 들키면 안 되는 거야?"
167-036	"우리, 누군가한테 노려지고 있어"
167-037	"……그런 건───!"
167-038	"이 이상은 말 못 해───아마 오래 머물지 않는 편이 좋으니까.⏎아무튼…… 조심해 줘. 결판나면 알려 줄게"
167-039	"나, 린을 정말 많이 신뢰하고 있어.⏎전에도 이상한 사건이 있었을 때 도와줬고"
167-040	"이번에도 얼른 원래 일상으로 돌려놓을 생각이야.⏎그러기 위해서도, 서둘러야 해"
167-041	"힘을 빌려 줄래?"
167-042	"모, 물론……"
167-043	"나도 언제나, 아야메의 힘이 되고 싶으니까……"
167-044	"……! 고마워!"
167-045	쓰러지듯 그녀의 가슴에 뛰어들어 꼭 껴안았다.
167-046	다행이다…….
167-047	이러면 여러모로 난이도가 훨씬 낮아진다.⏎나는 큼직한 양산으로 얼굴을 가리면 되고, 린의 휠체어는 눈에 띄니까,⏎다들 그쪽에 정신이 팔릴 거야.
167-048	이제 안심이야…… 나머지는 시립 도서관에 가서,⏎내가 앞장서서 작전 회의를 하면, 돌파구도 분명 찾을 수 있을 거야.
167-049	"……아야메?"
167-050	"응? 왜?"
167-051	그녀의 어깨에 손을 얹고, 조금 몸을 떼다.⏎린은 그 두 손을 잡고 살며시 어루만져 준다.
167-052	"……"
167-053	"정말…… 그거만으로 괜찮은 거야……?"
167-054	"충분하고도 남을 정도야…….⏎사실은 이런 무서운 일에 린을 휘말리게 하고 싶지 않아…….⏎그런데, 이제 다른 수가 없어서. 폐만 안 끼쳤으면 좋겠네"
167-055	"폐 끼치다니───그, 전혀 괜찮은데?⏎누가 아야메를 협박하고 있다면…… 예를 들어 내가…… 그……"
167-056	……?
167-057	"……"
167-058	"아니야……"
167-059	"역시 말하지 않는 게 나을지도"
167-060	"괜찮아. 이 이상은 과해.⏎오히려 이제, 깊이 들어오지 마…… 부탁이야.⏎우리 때문에 린을 다치게 할 수는 없으니까"
167-061	"그런 게 아니라───"
167-062	"……아니. 아야메 말이 맞네"
167-063	"우린 엮이면 안 돼"
167-064	"……"
167-065	"그럼, 갈까?"
167-066	"응"
167-067	정말 다행이야…….
167-068	일단 잘 될 것 같아.
167-069	정말, 정말 고마워, 린.
167-070	이런 친구가 있다니 나한테는 과분해.
