# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
168-001	"……핫!"
168-002	……
168-003	낯선 천장이다───아니, 그렇지…….
168-004	여긴, 프레이야의 아파트다.
168-005	벌써 아침……? ……아니, 이건 벌써 점심이다.
168-006	어젯밤은 잠들지 못했다. 내가 해 온 대응이,⏎얼마나 형편없었는지, 그것만 생각해 버려서…….
168-007	우쭐해 있었던 거다.⏎그럴 자격, 나에게는 없는데.
168-008	내가 니아와 펠 둘을 도운 것……,⏎어제 일의 직접적 원인은, 그것이었을 가능성이 있다.
168-009	죄책감은 없다…… 다만, 너무나 어리석었다.
168-010	모처럼 메이가 경고해 줬는데, 생각이 안일했다.⏎여기까지 과격한 수단으로 되돌아올 줄이야.
168-011	……압박해 온 녀석들 중에, 낯익은 얼굴이 있었던 것도 예상 밖이다.⏎예전에, 함께 나를 체포했던 그 경관이 있었다.⏎팀 게일포드 형사와 함께 있던, 그.
168-012	……
168-013	앞으로, 어떻게 하지?
168-014	……프레이야의 방을 뒤져 볼까.⏎집 안을 살피면, 재미있는 게 나올지도 모른다.
168-015	……이 방에는, 꾸밈새라는 게 거의 없다.⏎쌓아 올린 골판지 상자뿐…… 이사 온 직후인가?
168-016	정부의 개라는 인종은, 이해할 수 없을 것 같다───.
168-017	어머.
168-018	……집 안 살피기는 중지, 라고.
168-019	"아야메가, 너를 도서관으로 데려오라고 부탁했다.⏎깨어났으면, 나가자"
168-020	왜 도서관에?⏎여느 때처럼 집합 장소로는 안 되는 이유가?
168-021	"만약 어제, 여느 장소로 향하는 걸 본 녀석이 있었다면…….⏎그 장소는 이제 안전하다고 말할 수 없겠지"
168-022	"그 점, 도서관은 공공성이 매우 높다.⏎집합 장소로서, 안전면에서도 나쁘지 않다"
168-023	과연…….
168-024	거기 모여서, 뭐라도 하는 건가요?
168-025	"작전 회의라고 한다. 아야메는 전원이 모여,⏎이 시련에 어떻게 맞설지 의논하고 싶은 모양이더군"
168-026	그런데, 도와주시는 건가요?
168-027	"물론 손은 빌려주지 않는다. 현지까지 너를 데려가는 것 외에는 말이지"
168-028	그러실 줄 알았어요.
168-029	어디까지나 든든하고, 어디까지나 도움이 안 되는 사람.⏎이게 바로 프레이야 터너 그 자체다.
168-030	"노려볼 거면 다른 데를 찾아라. 간다"
168-031	잠시 지긋이 쳐다봤지만…… 결국 고개를 끄덕였다.
168-032	도서관이라면 토코한테───,
168-033	"도서관에서는 네 친구인 사서보───토코가 돌봐 줄 거다.⏎저녁이 되면 다시 데리러 가겠다"
168-034	……
168-035	……프레이야, 당신한테 토코 얘기를 절대 하지 않았죠?⏎확실히 당신 앞에서는 언급조차 안 했고, 애초에,⏎그녀는 최근에 알게 된 친구입니다. 정말───.
168-036	……우리 속을 캐묻지 마세요, 프레이야.
168-037	"기분이 안 좋은가? 왜 그러지?"
168-038	당신 때문입니다.
168-039	"안됐군. 간다"
168-040	잠깐
168-041	거기까지 입력한 순간, 폰을 빼앗기고⏎옷깃이 붙잡힌 채 현관까지 끌려나왔다.
168-042	"뭐야───!"
168-043	"전에도 말했지───조용히 지내고 싶으면 입조심을 해.⏎이걸 써, 양산이다. 내 것도 있다. 좀 덜 눈에 띌 거야"
168-044	여름도 아닌데……? 한참 전에 여름도 끝났잖아.⏎솔직히 이게 도움이…… 아, 진짜, 어쩔 수 없네요.
168-045	건네받은 우산을 들고, 신발을 신는다…….
168-046	그리고 방을 나선다. 아니, 정확히는……
168-047	끌려나왔다.
