# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
173-001	여
173-002	응
173-003	펠의 행방, 정말 모르는 거야?
173-004	직접 와서 얼굴 보고 나한테 묻는 선택지는 없는 거냐.
173-005	채팅 너머로 내가 거짓말했다고 생각하는 거야?
173-006	그래, 생각해.
173-007	요전에 맞붙었을 때는 필사적이었으니까.⏎펠 따위 아무래도 좋다는 느낌은 아니었어.
173-008	너, 아직 그 녀석 일 돕고 있지?
173-009	설령 있는 곳을 안다 해도,⏎그걸 너한테 말할 의리가 있냐?⏎애초에 알고 뭐 하게?
173-010	모르겠어…….
173-011	일단 얘기해 보는 거, 정도려나?
173-012	"……"
173-013	"아……! 정말 와 줬구나"
173-014	"고마워…… 부탁해서 정말 괜찮은 거야?"
173-015	이 두 사람은───,
173-016	……아야메 친구다…… 아무래도 이 학원에서 제일 가까운 벡고에,⏎다른 'AARC' 학생이 있다는 걸 알고 있었던 모양이다.
173-017	그래서 나한테 연락해 온 거지. 뭐……,
173-018	솔직히 딱 좋았어. 아야메와 얘기할 좋은 구실이 생겼으니까.
173-019	……그 후로 솔직히, 계속 피해 왔으니까…….
173-020	"솔직히 얼굴 내밀 구실을 찾고 있었어.⏎타이밍 좋았어, 정말"
173-021	"오히려 고마워하고 있을 정도야"
173-022	"다행이다……!"
173-023	"진짜 고마워…… 그런데 미안해.⏎지금 아야메한테 말 걸기가 워낙 어려워서……,⏎린하고도 어떻게든 얘기 못 할까 생각 중이긴 한데……"
173-024	"그러니까…… 있는 곳만이라도 알아내고 싶은데……"
173-025	……
173-026	그렇지……,
173-027	거긴 나도 캐고 있어…….
173-028	"아야메한테 무슨 일이 있었는지 들었어?"
173-029	"아무것도.⏎그냥 그…… 분명 뭔가 있었어, 저 느낌은……"
173-030	"그렇구나…… 내가 본인과 얘기할게. 할 수 있는 데까지 해 볼게"
173-031	"으으……! 고마워……!"
173-032	"정말……!"
173-033	아야메는……,
173-034	그 녀석은, 일을 저질렀다.
173-035	대략 2주쯤 전인가……,
173-036	펠의 음모를 저지한 뒤의 월요일, 아야메한테 부탁받아,⏎나는 'AARC' 미팅 후에 불려 나왔다.⏎───지금까지, 그 후로 아야메는 미팅에 나오지 않았다.
173-037	거기서 나는, 또 다른 고백을 들었다. 즉……,⏎아야메가 다이브한 결과, 린의 한쪽 팔이 마비되어 못 쓰게 된 모양이다.
173-038	그렇게 듣고, 나는……,
173-039	아무것도, 말할 수 없었다.
173-040	……그래서 다음 날, 아리아네 집에 쳐들어가 상담했다.
173-041	우선 너 바보냐고 혼났다. 세계 종말 직전 같은 상황에서,⏎얼마 전, 아마치의 빈 껍데기 같은 장소에서 막 맞붙었을 뿐이라고.⏎제 정신을 진심으로 의심하는 아리아에게 내가 한 말은……,
173-042	"그래? 뭐 그건 좋아.⏎그런데 알려 줘, 지금 이런 상황의 아가씨 바보 여고생이 있어"
173-043	그 뒤 한참 논쟁이 오갔지만, 결국 아리아는 좋은 조언을 해 줬다.⏎……그 후로 줄곧 나는 끓어 있었다.⏎어느 타이밍이라야, 아리아의 조언이 가장 빛날까, 하고.
173-044	……그리고 그 조언으로, 내 또 한 명의 친구를 돕기 위해서.
173-045	그리고 기회가 마침내 왔다…….
173-046	오늘이 그때다───그리고 나는, 지금 그 녀석 방 앞에 있었다.
173-047	……
173-048	"이봐, 문 열어───벡고 다니는 악우가 와 줬다"
173-049	"여, 마치 비극의 히로인 같네. 잘 지냈어?"
173-050	"……"
173-051	"……아이리스, 너 말이지……,⏎내가 진짜 비극의 히로인인 척한다고 생각하는 거야……? 나……"
173-052	"나는…… 하아……"
173-053	"말했잖아…… 나…… 누군가의 인생을 망쳐 버렸어.⏎그것도 아무도 아닌 남이 아니라. 내가, 친구의 인생을 망쳤어.⏎그 애의 꿈을 부숴 버렸어, 나……"
173-054	"우리에게 남은 시간 따위, 두말할 것도 없이 짧은데……"
173-055	"내가…… 빼앗아 버렸어.⏎그 애 인생을 거의 전부. 그런 식으로…… 순식간에."
173-056	"……"
173-057	"내가 선거 직후의 소동에서도 완전히 쓸모없었던 건 명백하고……"
173-058	"너, 그런 걸 신경 쓰고 있었어……?"
173-059	"뭐, 츠루는 구했을지도 모르지만……"
173-060	"아니야, 거기서도 역시 실수했어.⏎결국 메이를 문에 밀어붙여서, 질식시킬 뻔했으니까"
173-061	아아…… 그랬었지……,
173-062	그런 일도 메이가 말했었지…….
173-063	"흥"
173-064	"한심하네, 나. 뭐든 한심해"
173-065	"메이는 신경 안 썼잖아, 그렇지……?⏎그 녀석, 앙금 남겼으면 말했을 거야"
173-066	"내가 신경 쓰는 거야. 그 정도는 괜찮잖아"
173-067	"……"
173-068	"……"
173-069	"있잖아. 나를 봐───그래, 이 목을.⏎잘 여기를 보고, 지금 하는 말을 제대로 들어 줘"
173-070	"그 마음, 알아"
173-071	"……에……? 어째서? 아이리스는 그런───"
173-072	"그래, 아무도 마비시킨 적은 없어.⏎소중한 동료를 조여 죽일 뻔한 적도 없어───세뇌당하고 있든 말든"
173-073	"하지만 말이지, 누군가의 꿈을 망가뜨리거나,⏎소중한 녀석들을 상처 입힌 적이라면───"
173-074	"나한테 있어. 4년이나"
173-075	"……!"
173-076	"누군가를 상처 입혔으니까, 자신을 상처 입히고 싶어지는 거지"
173-077	"되돌릴 수 없는 짓을 했으니까,⏎자신에게 어울리는 행복 따위 없다는 기분이 드는 거지"
173-078	"나한테도 있어…… 비극의 히로인인 척해 온 게"
173-079	"내가 그 녀석 인생에 관여하지 않았다면, 어쩌면 더,⏎그 녀석은 나은 인생이었을지도 모른다는 생각까지 들어"
