# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
174-001	……잠깐. 지금 스토리 씨가……,
174-002	……! 안 돼…… 쓰러져……!
174-003	내가 달려가니 메이도 따라 달렸다.
174-004	위험하게 쓰러지기 전에 간신히 받아냈다.⏎둘이서 스토리 씨를 좌우에서 받쳤다.
174-005	"……훌륭해!"
174-006	"스토리! 잘 싸웠어!! 아아, 어린 아이리스도 정말……!"
174-007	아이리스 씨……?
174-008	"그런데 말이지, 아직 한참 부족해……"
174-009	"……아쉬웠지!??"
174-010	"이……우쭐대지 마……!"
174-011	"쳇 시끄럽네. '의기양양해 하지 마~!'라니.⏎스토리가! 나한테! 부탁하러 온 거야.⏎그 애도 아이리스도 실력이 모자랐어. 그래도 분투는 인정해 줄게"
174-012	"너 뭘 한 거야!?"
174-013	"입만 열면 비난 비난 비난뿐이네 너희들은……!⏎나는 부탁받은 대로 응했을 뿐이야. 그녀가 알고 싶다길래,⏎하늘을 장악하는 방법을 전수해 준 것뿐"
174-014	"그리고 스토리가 그걸 견디지 못했을 뿐.⏎친구와 둘이서라도, 말이지."
174-015	"……그럼, 다음 장면으로 넘어갈까───"
174-016	!?!?
174-017	그 자리에 있던 전원이, 허를 찔려 모두가 펄쩍 뛰어올랐다───펠조차도.
174-018	등 뒤의 문에, 뭔가가 들이받은 듯한……,
174-019	뭔가가, 라니……?
174-020	"……실례실례. 힘 조절을 좀 잘못했네"
174-021	"……"
174-022	"손님이야"
174-023	"……"
174-024	"……"
174-025	"나가 보지 그래?"
174-026	메이와 얼굴을 마주 본다.
174-027	천천히 일어나, 문으로 다가가는 메이…….
174-028	그리고 문에 달린 작은 창을, 한쪽 눈으로 들여다보더니…….
174-029	"누구세요……?"
174-030	메이가 깜짝 놀라더니, 기세 좋게 문을 열고,⏎밖에 있던 사람을 끌어들이고는, 쾅 닫았다.
174-031	아…… 아야메 씨!? 그런데……,
174-032	바인드가……!?
174-033	"뒤에 사람들을 잔뜩 데리고 와 놓고, 왜 그런 노크를 하는 거야!?"
174-034	……뒤에 잔뜩?
174-035	"그리고 아이리스와 헬비는…… 어……"
174-036	"고마워……"
174-037	갑자기 메이가 문 쪽으로 밀려나더니,⏎그 목에 아야메 씨의 팔뚝이 파고들었다.
174-038	메이는 저항하며 몸부림치지만, 막 때리거나 하진 않는다.
174-039	왜냐하면……,
174-040	"……펠!!"
174-041	방 안쪽에서 의기양양하게 서 있는 그녀를 향해 외쳤다.⏎그러자, 그녀는 만족스럽게 미소 지었다.
174-042	저건, '아야메 씨'가 아니야……,
174-043	조종당하고 있어……!
174-044	"지켜보고 있어"
174-045	그렇게 말하고, 메이를 몰아붙이는 아야메 씨를 향해 고개를 끄덕인다.⏎그러자 갑자기, 다시 문에서 격렬한 소리가 울려 퍼지기 시작한다.
174-046	쿵쿵 두드리는 소리, 쿵 하고 부딪히는 소리.⏎……메이의 바인드가 짙은 초록색으로 물들어 간다.
174-047	두 사람과 펠을 번갈아 보고, 곧바로 나는 스토리 씨를 바닥에 눕히고,⏎아야메 씨에게 달려가, 메이에게서 떼어내려 했다.
174-048	누군가가 안으로 들어오려 해서, 메이가 다쳐가고……,
174-049	못 하게 해야 해───!
174-050	"윽……!"
174-051	아야메 씨의 팔꿈치를 얻어맞고, 힘없이 주저앉는다.⏎명치에 맞아서, 숨을 쉴 수 없다.
174-052	메이가 문 쪽으로 손을 뻗어, 어떻게든 잠근다.⏎하지만 그 눈에서 빛이 사라져 가고……,⏎나는, ……서, 설 수 없어……!
174-053	"실천사 도중에는……"
174-054	……!
174-055	"바운드는, 광기에 사로잡힐 수 있다"
174-056	"실은 이건 원리가 있어,⏎언제든 의도적으로 일으킬 수도 있고"
174-057	"에이브는 그저, 그것을 화려하게 연출하고 있을 뿐.⏎아득히 아래에서 기는 우리에게, 잊지 말라고 보여 주는 본보기야."
174-058	"조각이 떨어질 필요도 없지. 광기를 퍼뜨리기 위해서는 말이지."
174-059	"펠…… 그만둬……!"
174-060	"말릴 수 있으면 말려 봐"
174-061	"……!"
174-062	펠은 검지를 세워, 자기 머리 훨씬 위를 가리킨다.
174-063	"공포를 넘어서, 울부짖는 걸 그만둬.⏎앞으로 무슨 일이 일어날지, 너도 알고 있지?"
174-064	"상기시켜 주지.⏎머리 위에는 슈라우드───즉 RMI가 항상 거기 있고,⏎우리는 거기에 묶여 있다"
174-065	"우리가 그것에───아니,⏎차라리 그것을 가져온 존재에게 거스르려 한다면───"
174-066	"에이브에게 거스르려 하면───하늘로부터 받은 것을 잃는 거다.⏎그리고 그것은, 하늘에서 떨어져 내린다……"
174-067	천장을 향하던 손가락으로, 쭉 바닥까지 선을 긋는다.
174-068	"그리고 나머지는 원하는 대로 죽이는 대로.⏎하지만 그게 다가 아니야. 그렇지?"
174-069	"정말 무서운 건 여기서부터───그래…… 광기다"
174-070	젠장……!
174-071	"그 말이 맞아……"
174-072	"분노가, 기쁨이, 피로 물든 새로운 대지에서 솟아오른다……"
174-073	"어떤 어머니가, 어떤 사촌이, 어떤 교사가, 어떤 친구가───!"
174-074	"변해 가는 너를 공포에 질려 바라봐.⏎분노에 사로잡히고, 기쁨에 사로잡히고…… 그들도 사로잡혀 가……"
174-075	주먹을 쥐고, 펠은 손을 확 펼쳤다…….⏎'폭발'하는 시늉이다.
174-076	"펄스가 터진 뒤, 주변 사람은 누구든 광기에 사로잡힐 수 있어.⏎사랑하는 이나 낯선 이가 살인자가 되고, 스스로를 해치는 존재가 돼"
