# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
176-001	"……나……,"
176-002	"아니……,"
176-003	"응?"
176-004	아무래도…… '해냈다' 모양이야…….⏎뭐든 다 부숴 버리고, 마음의 감옥에서 빠져나온 것 같아. 그런데……,
176-005	이거…… 어떻게 된 거야……? 언제……?
176-006	펠은 어디에───?
176-007	"……"
176-008	"……"
176-009	"니아 케나…… 그렇군"
176-010	"뭐…… 뭐예요 여긴? 이번엔 대체……?"
176-011	"……또 그런 질문을 하고……"
176-012	"……"
176-013	펠이 한숨을 쉰다…… 씁쓸한 목소리다.
176-014	"정말 무지하고, 그 이상으로 위험하군"
176-015	"이제 됐어"
176-016	"……대체 뭘……"
176-017	윽───으으……,
176-018	심장이…… 두근거려서……,
176-019	……나…… 무서워하고 있는 거야?
176-020	펠의 사고는 아직 들려오지 않아……,⏎늘 그렇듯, 여긴 '텅 빈' 곳이다…….
176-021	오히려 평소 이상으로 텅 빈 느낌마저 드는데……,⏎게이트도 없는 걸까?
176-022	펠은, 머리 위로 펼쳐진 어둠을 올려다보고 있었다.⏎나는 내 발밑을 내려다본다.
176-023	"뭐가 일어나고 있는지도 모르겠어요……"
176-024	"알 리가 없잖아……? 흥"
176-025	"너는 '덧없는 어둠'에 발을 들였다.⏎서정적인 얘기가 아니라…… 여기 이름이야"
176-026	"나는 너한테 휘말린 거지"
176-027	"……"
176-028	"이게 RMI야, 니아"
176-029	"……이게───?"
176-030	"우리가 뭣인지, 알겠나?"
176-031	"우리는 인간이야"
176-032	"……"
176-033	"이제 입버릇이 됐지만, 우리는 '신들에게 맞서는 인간'이야"
176-034	"신들은 우리에게 계획을 주고 법을 만든다. 그리고 우리가 따르는 거지"
176-035	"이것조차, 신들의 지배 범주에 있다───보통은 말이지"
176-036	"……"
176-037	"에이브의…… 말인가요?"
176-038	"아아, 그놈들이야"
176-039	"여긴 그놈들 계획 범주지만…… 네가 여기 온 수단은 달라.⏎헬비가 말했지, 정해진 방식이라는 게 사물에는 있다고.⏎그 인식은 맞아"
176-040	"그리고 지금, 너는 나와 함께 여기 왔다.⏎혼자가 아니라, 그리고 예기치 못한 방법으로. 너야말로 이레귤러다"
176-041	펠이 나를 응시하자, 나는 몸서리친다.
176-042	"너는 나보다 훨씬 악마 같은 녀석이군"
176-043	"뭐……!"
176-044	"이른바 '공통 공간'이라는 것,⏎우리가 자유로이 다룰 수 있도록 마련된 거다"
176-045	"니아가 '다이브'라고 믿어 버리고,⏎'심상 풍경'이라고 믿고 있는, 그 장소는 말이지───"
176-046	"이른바 경계선───프런티어야.⏎즉 다른 온갖 것으로 이어지는 가능성이자, 수단인 거지.⏎그리고 이건───"
176-047	펠이 몸짓으로, 주변의 모든 것을 가리켜 보인다…….
176-048	"이건, 단 하나뿐인. 가장 원시적인 형태의 슈라우드다.⏎그 편이 알기 쉽다면───'최상층'이라고 불러도 된다"
176-049	"여기엔 원래, 혼자밖에 있을 수 없게 되어 있어───.⏎그렇게 설계되어 있다.……뭐, 변경 권한을 가진 사람을 제외하고 말이지"
176-050	"대부분의 사람은, 여기 와도, 떠나는 것밖에 못 한다.⏎그들에게 여긴, 수많은 게이트 앞의 대기 장소에 지나지 않지"
176-051	"하지만 실은 이 장소는 그뿐만이 아니야.⏎그래서 여기에 두 번째를 데려오는 것만으로도…………"
176-052	"극히 중대한 위반 행위지, 원래라면 말이지.⏎나는 의도적으로 해냈지만, 시간을 들여 방법을 익혔으니까.⏎몇 년에 걸쳐 얻은 거다"
176-053	"하지만 너는 어떨까.⏎몇 년은커녕, 1년도 안 됐어.⏎이렇게 또 너는 신의 규칙을 깨고 있는 거지"
176-054	"니아…… 너는 장악하고 싶은 건가?⏎코에부스 카일의 슈라우드를 말이지"
176-055	"에!? 서, 설마……!⏎나는 그저, 뭐가 어떻게 된 건지 모르겠다고───"
176-056	"미리 말해 두지, 준비도 못 한 채로 그걸 손대면───"
176-057	"……"
176-058	"너는 죽는다.⏎분에 넘는 욕심 때문에, 확실히 죽게 된다"
176-059	……
176-060	"그건, 크게 걱정되는 대목이지?"
176-061	"하지만 자각도 없이 해내 버리는 너는───더 최악이다"
176-062	"해낼 수 있다는…… 거……?"
176-063	"니아……,⏎네가 슈라우드 자체를 다룰 수 있다면, 뭘 할 수 있게 되는 거지?"
176-064	"내 계획을 망칠 수 있는 것 말고도 말이지……"
176-065	"또 뭘 할 셈이지, 니아?⏎특히 너는 자기가 뭘 하는지도 모르면서……"
176-066	"그래도 해내 버리니까"
176-067	"……!"
176-068	"……"
176-069	"……"
176-070	"……어쩔 수 없어"
176-071	"너 같은 존재를 우리 세계에 제멋대로 놔둘 수는 없어"
176-072	그리고 펠이……손을 높이 들고……,
