# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
180-001	……드디어 끝났다.
180-002	빛이 사라진 뒤, 캠퍼스에 구급과 소방이 몰려와서,⏎한동안 소란스러웠다.
180-003	당연히 언론도 잔뜩 왔다…….⏎당선 직후의 학생회장이라, 나도 인터뷰를 받았지만,⏎말이 없다는 걸 알자마자, 질문을 주저하고 있었다.
180-004	거기서, 헬비가 도와줬다.⏎기자들에게, 내가 정직한 과묵이라고 말해 줬다.⏎이 녀석은 바보지만, 있으면 도움이 되는 타입의 바보다.
180-005	……
180-006	"저기…… 꼭 찾아야 하는 거야? 그냥 자는 게 낫지 않아?"
180-007	"……"
180-008	"그 애, 사라져 버릴 것 같은 기분이 들어서.⏎그러니까 풀이 죽어 있는 동안에 찾아 버리고 싶은 거야"
180-009	"……알았어……"
180-010	"세상을 바꾸려면, 헬비도 다툼에 익숙해져야지"
180-011	"아니아니, 나는 다 같이 사이좋게 지내고 싶다고"
180-012	"꿈은 자면서 꿔"
180-013	"꿈이 아닌 것 같은데……"
180-014	"그래 그래, 풀 죽어 있지 말고 정신 차려.⏎내 보디가드잖아. 보디가 아니라 마인드인가? 몰라"
180-015	"입 다물 타이밍도 배워야겠네……"
180-016	내가 소동을 일으킨 장본인에게 따지고 싶다고 말했더니,⏎헬비가 걱정해서, 따라가겠다고 나선 거다.
180-017	구급차에 경찰차에 매스컴도 돌아갔으니, 이제 숨지 않아도 될 거다.⏎분명 아직 근처에 있을 거야…….
180-018	그 애, 여기가 마음에 들었으니까.
180-019	……
180-020	뒤로 손을 뻗어, 걷고 있는 헬비를 멈췄다.
180-021	……역시.
180-022	"……정말 미안해"
180-023	"너, 무슨 짓을 한 거야"
180-024	"자, 진정해……"
180-025	"헬비는 닥쳐"
180-026	"……"
180-027	"나는 도우미. 나 나름대로 할 일을 하고 있었어"
180-028	"책임을 떠넘길 생각은 없어, 하지만 대부분은, 펠의 발안"
180-029	"펠? 그 펠이 한 짓이라고?"
180-030	레인이 고개를 끄덕였다.
180-031	……
180-032	"어떻게?"
180-033	"아마 슈라우드의 일부를 가로챈 거야"
180-034	"하……?"
180-035	레인은 또 고개를 끄덕인다.
180-036	"……네가 최근,⏎저쪽으로 가는 방법을 찾아낸 모양이라는 건 알고 있었어"
180-037	'저쪽'이라…… 역시 그거?⏎다른 AARC 다들과 찾아낸, 그 장소라는 거야?
180-038	그런데, 그건……,
180-039	그게 뭐 어쨌다는 거야? 아니 애초에 그게 뭐야?
180-040	"펠은 말이지, 둘을 이전 작업에서 빼놨었어.⏎츠루와, 헬비를……"
180-041	"깜짝 놀랐어, 그때. 나는 전혀 생각 못 했는데,⏎펠이 츠루를 설득해서 동료로 끌어들일 수 있다고 생각했던 모양이고.⏎츠루가, 니아 일행을 돕고 있는 걸 알면서도 말이지"
180-042	"나는 그때……그렇다고 생각하지 않았어.⏎만약 츠루가 '심상 풍경'에서 이것저것 다룰 수 있다 해도,⏎우리가 하려는 일에 찬동해 주지 않을 것 같아서"
180-043	'심상 풍경', 이라…….
180-044	"……"
180-045	"왜냐면 츠루는, 아직 이 세계에 희망이 있다고 생각하니까. 그렇지"
180-046	"나는 이제, 구제할 수 없다는 걸 아니까"
180-047	"……"
180-048	"이런 세계, 절대 좋아질 리 없으니까, 응"
180-049	"무슨 뜻이야?"
180-050	"왜냐면, 목숨이 있는 세계인 한, 죽음은 언젠가 찾아오는 거니까"
180-051	"그리고 어느 정도의 고통에서도 벗어날 수 없는 세계"
180-052	레인이 똑바로 나를 본다.
180-053	"……츠루를 만든 건, 그런 세계야"
180-054	"하지만 그걸 츠루는 바꾸지 않지. 가령 그 힘이 있다 해도"
180-055	"……"
180-056	"……저기……"
180-057	"나, 자퇴할게. 이제 못 만날지도 몰라"
180-058	"츠루가 동료가 안 돼 줘도, 해내야 하니까……"
180-059	"해낸다니, 뭘?"
180-060	"세계를 버리고, '모두'를 구하는 것"
180-061	"영원히 살 수 있고……"
180-062	"일체의 고통이 없는 인생을 실현하는 거야. 진심이야"
180-063	"응. 진심인 건 알겠어"
180-064	"그런데 어떻게 할 건데?"
180-065	레인이 하늘을 가리킨다. 전원이 올려다본 그 끝에는……,
180-066	펼쳐진 슈라우드가 있었다…….
