# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
186-001	……돌아왔구나.
186-002	으왓.
186-003	츠루가 내 몸을 필사적으로 흔들고 있었다. 속으로 겁먹은 얼굴이다.
186-004	"……나는 괜찮아. 다들 괜찮아.⏎뭐, 될 수 있는 한, 괜찮아 있으려는 느낌이지만"
186-005	"그런데 미안, 가야 해"
186-006	강당 쪽으로 향하려 하기 전에, 츠루가 폰으로 손을 뻗는다.
186-007	"누구든 좋으니까,⏎무슨 일이 일어나고 있는지 알려 줘"
186-008	상황은 대충 파악했어요.⏎우리가 저지하러 가야 해요.⏎미안해요, 츠루 힘도 빌려 줘요.
186-009	"서두르지 않으면 '분리'가 발생할지도 몰라요"
186-010	"하아!? 그런 걸 어떻게 해!?"
186-011	"지금은 아직 아무 일도 안 일어났으니까…… 아무튼 서두릅시다"
186-012	"츠루 씨는 여기서, 아이리스 씨와 아리아 씨,⏎그리고 헬비 씨를 보고 있어 주시겠어요?"
186-013	"알겠긴 한데───이거 어떻게 된 거야!?⏎왜 셋은 좀비처럼 됐는데, 너희는 멀쩡한 거야!?"
186-014	"그리고 이건 무슨 일이야!?"
186-015	츠루가 보여 준 폰에는……,
186-016	"……!?"
186-017	"에!?"
186-018	"……하아!?"
186-019	폰에는 최신 뉴스가 표시되어 있고……,
186-020	그런데 하나도, 지금 이 세이코에서 일어나는 사태를 알리는 기사가 없다.
186-021	내 폰을 꺼내…… 서둘러 SNS를 훑어 봐도……,⏎그럴듯한 화제는 전무하다. 하나도 없다고? 그럴 수가?
186-022	"즉…… 그녀는, 이 학교 외까지 장악하고 있다는 건가요……"
186-023	"그녀?"
186-024	누군가의 마음과 정신을 바꿀 수 있다면……,⏎그 사람이 세계를 보는 방식, 받아들이는 방식도 바꿀 수 있구나…….
186-025	그건 그렇고, 여기까지 펠이 사람의 인식을 비틀 수 있다니……,⏎'RMI 분리'라면, 수백 킬로 떨어져 있어도 다들 알아차리는데…….
186-026	……
186-027	움찔하는 내 소매를, 니아가 휙 당겼다.
186-028	"……"
186-029	"츠루 씨, 나중에 자세한 건 설명할게요. 죄송해요"
186-030	"우리가 없는 동안, 아까 말한 거 부탁드릴 수 있나요?"
186-031	"……그래. 그런데 빨리 돌아와 줘…… 이런 건 이제 싫어"
186-032	니아는 고개를 끄덕이고, 나와 스토리를 보고……,
186-033	스스로 선두에 서서, 레인이 향한 강당 쪽으로 걷기 시작했다…….
186-034	……그래, 이 소동의 발단이 된 장소로.
186-035	……
186-036	……
186-037	"레인……"
186-038	"……펠은, 여기예요?"
186-039	"……"
186-040	"……있잖아───!"
186-041	……
186-042	이건, ───,
186-043	다른 다들은 눈치채고───아니…… 에?
186-044	나만?
186-045	……아니.
186-046	아닌가.
186-047	이건, 뭐야?
186-048	……
186-049	"나를 '마인드스케이프'에 끌어들인 거야?"
186-050	"그 말이 맞아"
186-051	"……얘기할 생각은 없는 거야?"
186-052	"메이……"
186-053	"나 있잖아, 너를 전혀 존경할 수 없어"
186-054	……
186-055	"하지만 너를 지우면, 니아가 엄청 상처받으니까……"
186-056	"응, 딱 좋겠네"
186-057	"적어도 내가 뭐가 마음에 안 들었는지는 알려 주지 않을래?"
186-058	"……너, 내 친구들에게 예지몽 같은 걸 보여 주고 있다며.⏎니아한테 들었는데 진짜야? 나한테는 하나도 안 보여 줬지만"
186-059	"보여 줘 봤자 소용없으니까, 응. 너는 공감성이 낮으니까"
186-060	"……"
186-061	"나는, 다들 생각을 바꿔 주길 바랐어……,⏎우리 과거라든가, 어떤 꼴을 당했는지를 보여 주면 말이지"
186-062	"우리가 잃은 것과, 살아남아 온 사건도 보여 줬고……"
186-063	"나, 아야메에게 무슨 일이 있었는지, 직접 얘기하러 가기도 했어……,⏎너희, 겉치레로라도 '괜찮아?'라는 말조차 안 하고"
186-064	"무엇보다 다들, 완고해. 그리고 메이는───메이는 말이지……"
186-065	"너는 세계가, 전부 부서져도───"
186-066	"'그렇구나' 정도밖에 말 안 하지.⏎자기가 벼락을 맞든, 갑자기 폭탄이 터지든 그래───"
186-067	"'그렇구나'로 끝. 너는, 그런 인간이야"
186-068	"……"
186-069	"……부정은 못 하겠네"
186-070	"죽는다 해도, 내가 역사상 첫 사망자는 아니니까.⏎그럼, 그런 걸 살아 있는 동안 신경 쓸 수는 없잖아. 아니야?"
186-071	"정말 너는, 하나도 모르는구나"
186-072	"사람은, 그 사람을 알기에, 누군가를 소중히 여길 수 있어"
186-073	"그 사람을 눈앞에 두고, 자기 세계로 받아들여야 소중히 여길 수 있어"
186-074	"그런데 없어. 메이는 없어. 너는 홀로, 높고 높은 탑 위.⏎메이가 한 줌밖에 못 들어가는 탑 위……!⏎왜냐면, 밀어내고 싶으니까? 될 수 있다면, 거의 전부"
186-075	"……"
186-076	"다섯 중에서는……"
186-077	"너만, 너만을 '사악'이라고 부를게.⏎왜냐면 그건───아이러니한 얘기"
186-078	"……너만 아직,⏎고통이 부족하고, 잃은 게 부족하기 때문이니까, 응?"
186-079	……!!
186-080	세계가 부서진다. 나도 모르게 휘청인다.
186-081	굉장한 돌풍이 몰아치고, 나는 지면에 내리쳐졌다.
186-082	뒤로 날아가, 꼴사납게 데굴데굴 굴렀다.⏎흐릿한 지면에 필사적으로 손가락을 세워 박고, 간신히 자세를 되찾는다.
186-083	거기에 유연하게 날아드는, 채찍 같은 에너지에───.
186-084	손가락이 베이고, 통증은 불타는 듯. 나도 모르게 눈을 크게 떴다.
186-085	마치 감각이 현실이라도 된 듯───,
186-086	정말로 피부가 찢기는 듯이 아프다……!
186-087	"물론 그렇게 느껴지지"
186-088	"여기서는, 사고가 현실이 되니까"
186-089	"다섯이 다 같이 너희는 말이지,⏎'구체적인 것'을 모른다고 해서, 무조건 전부 부정하고"
186-090	"우리가 지키려고 싸워 온 모든 걸,⏎찾아낸 모든 걸 부정하고……!"
186-091	"그런데도, 그런데도 자기들은 절반도 모르고 있어!⏎그 손에 총이 있는데, 그 무기가 무엇을 할 수 있는지도 모르면서!"
186-092	"우리도 친구가 되고 싶었어, 되고 싶었어,⏎하지만 마음 없는 '바보 같은 놈들'과───손을 맞잡을 수 있다고?"
186-093	이렇게 되면……,
186-094	되는대로다.
186-095	……
186-096	지금까지의 모든 다이브를 떠올린다……,
186-097	이오에게, 하우스에게, 헬비에게…… 그리고 프레이야.
186-098	떠올리는 거다. 뭐가 잘 됐고, 뭐가 안 됐는지.
186-099	……그래, 나는 내가 뭘 하는지, 잘 모르고 있어.
186-100	그래도 아무래도 좋아.
186-101	내가 여기 있는 건, 내 곁에 있어 준 사람들을 위해서야.⏎여기 있어야만 해.
186-102	그래, '내 세계'에 있어 주는, 다들을 위해서다.
186-103	왜냐면 내가, 내가 살아 있는 이유 따위……,
186-104	……남은 나날을, 내가 다들과 함께 보내고 싶을 뿐이니까.
186-105	단순하다고 생각해도 상관없어.
186-106	네가 초조해하든, 알 바 아니야.
186-107	견디는 것밖에 장점이 없는 내야.⏎다들이 만약, 지금보다 나은 미래를 믿는다면……,
186-108	나는 기다려. 기다려 보일게.⏎내가 믿지 않는 미래라도 좋아…… 받쳐 주는 정도는, 할 수 있으니까.
186-109	하지만 그건 펠이 아니야.⏎내 선생님이 불가능한 꿈이라고 단정한 걸, 믿을 수는 없어.
186-110	……
186-111	어떻게든 일어나, 레인의 중심…… 존재의 핵에 의식을 집중한다.
186-112	"너희는 어차피, 이 세계를 점점 더 구하기 어렵게 만들 뿐이야"
186-113	마음대로 해…….
186-114	"아 정말…… 슬슬 잘난 척 좀 하지 마!"
186-115	"정말 소중한 게 뭔지, 알게 해 줄 테니까……!"
186-116	좋아. 해 봐.
186-117	……내 전력으로, 입을 다물게 해 줄게.
