# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
190-001	……방금 건……
190-002	전에 봤다. 키츠의 기억 속에서.
190-003	저건 RMI 분리…… 두 사람은, 그걸 살아남은 거야……?
190-004	그렇다면───,
190-005	……그렇다면……,
190-006	"……"
190-007	"……"
190-008	"안녕, 나의 숙적! 안녕하세요"
190-009	───또 꿈? 아니야, 물론 달라……,
190-010	……여긴 '심상 풍경'이다.
190-011	"네게 보낸 내 기억은 마음에 들었나?⏎뭐 실은, 너희 전원에게 보내게 해 달라고 했지만"
190-012	"아! 그리고 나도 아주 최근에 알았는데,⏎요즘 레인이 같은 걸, 그쪽 몇 명에게 하고 있었던 모양이더라고"
190-013	"뭘 하든 레인 마음이지만!⏎그렇긴 해도 그 덕분에, 꽤나 골치 아픈 일이 생길 수 있으니까, 응?"
190-014	"……펠"
190-015	"나야, 응"
190-016	"당신과 레인은…… 실천사를 살아남은 거죠?"
190-017	"……"
190-018	"진심으로 애도를 표합니다. 두 분이 살아남은 처절한 재앙에도.⏎고향이던 곳과, 사랑하는 많은 것을 잃은 것도"
190-019	"……고마워"
190-020	"……아니에요"
190-021	"……"
190-022	"진짜 목적은 뭔가요, 펠?"
190-023	"여러 사람을 설득해서, 아군으로 끌어들여 온 거죠……?"
190-024	"우리도, 휘둘렸을지도 모르고요"
190-025	"여기까지 실망스러운 '지도 몰라'는 처음이네"
190-026	"나는 너희에게 진짜 공포를 밀어 넣어 주고 싶었어, 한 명 한 명에게.⏎'깨닫게' 해 주고 싶었어"
190-027	"아마 그 담당자 때문에 너희가 너무 강해져 버린 걸지도"
190-028	"우리 선생님은…… 가르쳐 주지 않았어요.⏎옥상에서 그때, 키츠에게 뭐라고 해야 할지조차"
190-029	"확실히 저, 그 사람을 따라가고 있지만……"
190-030	"저는, 저 자신의 생각으로 움직이고 있어요"
190-031	"……그렇군.⏎이건 애초에 내가 예상했던 것보다, 사태가 상당히 심각하다는 거네!"
190-032	"니아가 원하는 건 자유만이 아니네.⏎너는, 모든 것을 삼킬 듯한 복수를 바라고 있어"
190-033	"시간을 초월한 복수다. 게다가 내 개인적 복수조차 포함하고 있어"
190-034	"……"
190-035	"……그럼, 또 거짓말을 하고 있는 거네. 네 친구들에게"
190-036	"애초에 너는, 그 '시련'조차 아무래도 상관없는 거지?"
190-037	"너는 그저, 목의 바인드가 용납되지 않을 뿐. 내가 옳았어.⏎그런 너를 짓밟으려 한 내가, 옳았어"
190-038	"……"
190-039	"또 한 명, 내 동료가 너희에게 패했네"
190-040	"……?"
190-041	"린 말이야"
190-042	"───!? 린 씨!?……아야메 씨 친구의!?"
190-043	"그 말이 맞아.⏎린의 역할은, 세이코 미술학원 전역에 츠루의 소문을 퍼뜨리는 것.⏎그렇게 해서, 그녀의 당선 싹을 잘라 버리는 것이었어"
190-044	!?
190-045	"미리 말해 두지, 그건 내 동료들의 연습 과제야.⏎다들, 실력을 늘릴 필요가 있으니까"
190-046	"선거의 당락 따위, 내게 아무 의미도 없어.⏎마음먹으면, 표를 확보하는 것조차 나라면 할 수 있으니까"
190-047	"하지만 안 해. 상냥하지. 칭찬해 줘도 돼?"
190-048	"……펠, 당신은 뭘 바라는 거예요?"
190-049	"그저, 너에 관해서 말하자면, 지켜봐 줬으면 해"
190-050	방이 어두워진다───잠깐, 아직 물어보고 싶은 게……!
190-051	"아니, 아니. 기다리는 건 너야. 내가 아니라."
190-052	그녀의 모습이 점점 보이지 않게 된다…….
190-053	그러고 나서……
190-054	내 눈과 마음도 닫혔다.
