# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
192-001	"……아야메가, 자기가 싫다고?"
192-002	아이리스가 고개를 끄덕였다.
192-003	"뭐 그렇게 해서…… 거기서 해산하는 흐름이 돼서.⏎한참 얘기했는데, 저쪽이 돌아가는 게 좋겠다고 하기 시작하고.⏎이 이상 내 섣달그믐을 망치고 싶지 않다느니……"
192-004	……좀 떠오를 것 같은……───아아, 저거구나…….
192-005	그렇구나, 저게 아야메의 비밀이었구나…….
192-006	그렇다면, 니아 건은……
192-007	"……왜 그래, 뭘 생각해?"
192-008	"그 비밀 말이야…… 처음에 프레이야가 쓰게 했잖아"
192-009	"……아아"
192-010	"마지막 건 나도 니아인가 했어.⏎딱히 걔가 자기를 싫어하는 것처럼은 안 보이니까……"
192-011	"어릴 적에 뭐든 알게 된 탓에 엉망이 됐다는 거야?"
192-012	"'적정 나이'에 안 나도 끔찍한 꼴이 됐는데…….⏎그런데 알게 된 건 일곱 살이잖아. 상상조차 못 하겠어"
192-013	흠……
192-014	"……그래서 오늘 아야메한테서 전화나 메시지 왔어?"
192-015	"맞다, 뭔가…… 세이코 소문은 곧 잠잠해질 거라고 말했어"
192-016	에?
192-017	"뭐? 왜?"
192-018	"설명 없음. 나머지는 읽고 씹기"
192-019	"그럼…… 아슬아슬하게 맞춘 거야? 유리해질까?"
192-020	"뭐, 그렇긴 한데……"
192-021	"……"
192-022	"있잖아, 메이.⏎우리 일, 아리아한테 어디까지 말해도 될 것 같아?"
192-023	"……말하고 싶은 만큼 말하면?"
192-024	"그렇겠지, 그래도 잘 모르겠어"
192-025	"함께 '심상 풍경'에 들어간 상대잖아,⏎뭐 꺼릴 거 없다고 생각하는데"
192-026	"게다가 그쪽은, 그, 서로 친한 친구잖아?"
192-027	"그래"
192-028	"……"
192-029	"뭐, 거의 전부 아리아한테 말했어"
192-030	"전부라니?"
192-031	"'심상 풍경'에, 다이브, 침전 웅덩이 관련도, 전부다"
192-032	"……니아의 능력까지?"
192-033	"아니 그건 없어. 그런데, 또 묘한 게 말이야"
192-034	"뭔데?"
192-035	"아리아, 전혀 동요하지 않더라고……"
192-036	"정말 나보다 강해, 아리아는"
192-037	뭐…… 아리아는 RMI 연구에 흥미가 있다고 말했고.⏎그 애 아빠도 연구자잖아?
192-038	"뭐, 그리고……"
192-039	"아빠도 그랬으니까"
192-040	그렇지.
192-041	"항상 슈라우드 연구를 했었지. 그러니까 프레이야라는───"
192-042	……프레이야?
192-043	"그 녀석, 아리아 아빠를 알고 있었던 거겠지…… 그런 기분이 들어"
192-044	헤에……
192-045	"……"
192-046	그래서…… 그 아빠라는 사람, 정부와 뭔가 연이 있던 사람이지?⏎부부가 나란히, 정부 일을 하고 있었던……?
192-047	딱히…… 아이리스가 말하고 싶은 건 잘 모르겠고,⏎캐묻고 싶지도 않지만…….
192-048	그건, 아이리스가 여섯 살 때부터,⏎어떤 형태로든 '이욱스타'와 관계가 있었다는 것도 가능하지……?
192-049	"……"
192-050	"……아무튼 뭐 좀 먹으러 가자"
192-051	"……좋아"
192-052	"너는 어떻냐, 그건 그렇고? 부모님과는 잘 돼?"
192-053	"그럴 리가 없잖아"
192-054	둘이서 걸으면서, 그렇게 붐비지도 수상해 보이지도 않는 가게를 찾았다.
192-055	응……
192-056	아직 다른 AARC 멤버들과⏎많이 얘기할 게 있을 것 같아…….
