# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
193-001	춥네…….
193-002	흠.
193-003	또 뭐랄까, 묘한 반년이었어.
193-004	……뭐, 또 우리 전원이 모인 건 좋은 일이고,⏎지금까지 이상으로 츠루를 받쳐 줄 준비도 되어 있어, 하지만……,
193-005	……예의 그 소문이, 슬슬 불안 요소로 무시할 수 없게 됐다.⏎실제로 츠루가 지난주, 우리한테 왔을 때───,
193-006	"뭐, 나는 딱히 괜찮아"
193-007	"실제로? 나, 확실히 배신자 같은 행동을 한 적은 있어.⏎아니, 애초에 완전한 사람인 것도 아니고~"
193-008	"손버릇이 나쁘다는 소문에 대해서는?…… 뭐, 그런 전과도 있고"
193-009	"뭐 지금은 아무리 그래도 아니지?⏎그래도 과거에, 나는 그런 선택을 했어. 결국⏎그런 선택을 했으면, 이런 결과와 마주할 수밖에 없는 거야"
193-010	"아, 그리고…… 야한 쪽은, 뭐, 그거고……"
193-011	"적어도 그건 '사실무근'이야.⏎그런데…… 적어도 그것과 '무연'하지는 않으려나……"
193-012	"뭐, 이게 내가 걸어온 길이고,⏎여기가 내 위치, 라는 거지~"
193-013	……그 녀석이 말한 것 중, 어디쯤이 거짓말일까.
193-014	말 없는 사람을 꺼리는 녀석들의 주장도, 이제 이해가 가는 것 같다.
193-015	……그건 그렇고, 조용하네.
193-016	아무튼 오늘은 즐기자───아야메와, 그 학우들과 섣달그믐이다.⏎가는 해 오는 해, 라는 거지…… 1년, 빠르네.
193-017	즐거운 한때와 새 친구. 일거양득, 이려나.
193-018	"여! 어디서 모여?"
193-019	"아, 으음……! 워…… 내…… 방"
193-020	"오케이. 가자"
193-021	흠, 집어먹을 거라도 가져올 걸 그랬나……,
193-022	음─, 그런데 아야메 친구들 알레르기는, 모르겠네.
193-023	아야메, 긴장했나?
193-024	야 야…… 아무리 나라도 창피 주거나 하진 않는다고───,
193-025	……
193-026	응……?
193-027	웬지 갑자기……,
193-028	……묘한 예감이 든다.
193-029	"……"
193-030	"뭐…… 그래서 그…… 나…… 으음……"
193-031	"거짓말했어, 나. 통화할 때. 오늘 밤은, 다른 친구들은 안 불렀어"
193-032	"……"
193-033	잠깐……,
193-034	그 말은……,
193-035	"그…… 우리…… 둘만……"
193-036	오오……!
193-037	야, 이런…… 중지다, 중지! 긴급 회피!
193-038	진짜로 단번에, 진짜로 큰일이 될지도 몰라……!
193-039	"괜찮으면, 저기…… 얘기…… 좀 할까? 조금이면 돼"
193-040	"아, 아아. 그러지……"
193-041	젠장! 왜 지금 나는 그러겠다고 했어!?
193-042	거기서 화장실 가고 싶다고 하면……,⏎누군가에게 전화해서…… 데리고 나가 달라고 할 수 있었는데…….
193-043	오늘 밤은 고백에 답할 기분으로 온 게 아냐……!⏎아 진짜, 준비 같은 건 안 돼 있다니까……!
193-044	……하지만 나는, 방에 들어가, 앉고……,
