# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
195-001	마음과 마음이 부딪치는 가운데───,
195-002	회색 세계에서 마침내 빠져나올 수 있었다.⏎그러자 빛───눈부신 빛이───쏟아져 나와───!
195-003	"……?"
195-004	여긴……,
195-005	나───,
195-006	───
195-007	"……나, 길 잃은 거 아니지……?"
195-008	"역에서도 그렇게, 멀지는 않을 텐데……"
195-009	"……'거리 풍경도 알 겸, 좀 걸어 볼까!'⏎라고 해 둔 결과가 이거야. 바보 같아……"
195-010	"……"
195-011	"와앗……!"
195-012	"오오…… 내가 안 보이는 건가 싶었는데.⏎너, 키가 크니까"
195-013	"그, 그런……!"
195-014	"너도 학원을 찾는 중이야?⏎그러면 우리, 꽤 지각하는 거지만……"
195-015	"뭐 괜찮지 않아? 이걸로 우리한테 추억이 생긴 거니까"
195-016	"너도, 신입생……?"
195-017	"그래. 내 이름은 린. 이래 봬도……"
195-018	"……당당한 수상 경력이 있는 예술가야!"
195-019	보니, 휠체어다.
195-020	"……혹시 린 케이든!?"
195-021	"있잖아. 방금 휠체어 봤지?⏎내 구별법이, 하필 그거야?"
195-022	"뭐, 괜찮아. 자, 적어도 본인 증명 정도는 하게 해 줘"
195-023	린은 휠체어 수납함에서 스케치북과 연필을 꺼내,⏎왼손에 스케치북, 오른손에 연필을 들었다…….
195-024	순식간에, 심장이 두근두근 뛰기 시작한다.
195-025	나도 상을 받은 적은 있지만, 딱히 유명한 건 아니고…….
195-026	……이게 무슨 행운! 멍청해서 다행이었어─!
195-027	"……! 우와, 엄청 잘 그리네!!"
195-028	"고마워. 줄게"
195-029	"어…… 진짜!?"
195-030	연필을 빙글빙글 돌리다 딱 멈추고, 린은 의기양양한 얼굴로 말했다.
195-031	"물론. 12년 뒤엔 수십만 베르도 정도의 가치가 붙을 거야"
195-032	"와아, 엄청 자신 있네!───라고, '12년' 뒤?"
195-033	그녀는 내 눈을 맞춘 뒤 앞으로 나아가기 시작했다───,⏎가자, 라며 손짓하며.
195-034	신기하게도 알았다. 이쪽이 맞는 방향이라는 걸.
195-035	"그런 거야. 희망을 잃으면 안 되잖아?"
195-036	"펠, 저 애들을 도와야 해!⏎경찰과───그 빌어먹을 선생으로부터……! 걔, 전직 '이욱스타'라고?"
195-037	"이미 상황은 파악했고, 해결도 당장 할 수 있어!⏎왜 말리는 거야───?!⏎이럴 수는 없어! 저 애들, 죽어 버릴지도 모르는데!"
195-038	"죽지 않아"
195-039	"그 눈, 모든 게 보일지도 모르지만,⏎미래까지는 안 보이잖아. 아무 말이나 하지 마, 펠……!"
195-040	"……?"
195-041	"나는, 저 애들을 믿으니까"
195-042	"너는 다른 거야, 린?"
195-043	"……!"
195-044	"딱히 이러쿵저러쿵 말하진 않을게.⏎네 친구를 어떻게 생각하든, 거긴 네 자유니까"
195-045	"그래도 여기서는 부디 조용히 지켜봐 줬으면 해.⏎저 애들이 다 같이 함께 넘어서 주길 바라니까"
195-046	"저 애들을 믿어 보자…… 아야메를, 믿어 줘"
195-047	"……"
195-048	뭐───!!
195-049	방금 건…… 대체……!?
195-050	……! 린!
195-051	나는, 멀리 보이는 그녀에게 단숨에 다가간다……,
