# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
200-001	"……잘했다"
200-002	───앗! 저건……저건 뭐지? 방금 건, 다이브……!?⏎완전히 느낌이 달랐는데……?
200-003	평소엔 뭔가를 향해 나아가는 느낌이 드는데……,⏎방금 건, 그게 반대 방향이 된, 듯한?
200-004	심장이나 배 속에 뭔가가 기어들어 오는 느낌……,⏎그리고───,
200-005	이 사람……프레이야 씨, 맞지?
200-006	……그런데, 왜 똑똑히 모습이 안 보이는 걸까?
200-007	"……메이, 프레이야 씨 얼굴, 보여요?"
200-008	"아니. 저쪽에서 다이브해 왔고…….⏎아마 프레이야 터너라는 것도 본명이 아니니까"
200-009	……본명이……아니……?
200-010	"그렇다"
200-011	"다만, 너희에게는 '프레이야'로 좋다"
200-012	"……여기는 감옥이다. 더 혹독한 상황에 맞설 훈련 장소도 된다.⏎가능하면 다섯이 들어와 주길 바랐지만"
200-013	"무엇보다, 들어올 수 있는 인간이 거의 없다는 것도 이점이고.⏎'이욱스타 소키에타템'에 인정받은 자 이외는,⏎애초에 여기를 통과하는 것조차 거의 불가능하다"
200-014	"……"
200-015	"메이, 니아……"
200-016	"……이 앞에 남아 있는 비밀은 없다"
200-017	"실제로, 이 감옥이 병설된 기지는 버려진 지 오래다.⏎특별히 중요한 정보는, 대부분 말소됐다"
200-018	……그래서 하나도 안 보였던 거구나.⏎10150년 이후의 날짜가 적힌 문헌이…….
200-019	"그리고 안됐지만, 지금의 나는 너희 누구와도 만날 수 없다……"
200-020	"볼일이 좀 있어서 말이다"
200-021	"본인이 확인하고 있는지 불명이니, 전언을 부탁한다. 아이리스에게.⏎규정 보수는, 내 계좌에서 자동으로 입금되도록 되어 있다, 고"
200-022	"이미 알고 있어"
200-023	"그렇다니 다행이다"
200-024	"니아를 여기서 나가게 해 줄 수 있어요?"
200-025	"니아도 아는 대로, 자력으로 빠져나가는 것 외엔 나갈 방법이 없다"
200-026	"메이라면 다른 수단도 있지만, 너도 자력으로 빠져나갈 수 있을 터다"
200-027	"프레이야 선생님……이 거울상 거리라는 건……대체 뭔가요?⏎저희, 어째서 여기 올 수 있었던 거예요?"
200-028	"흠……"
200-029	"좋다. 가끔은 제대로 된 수업도 나쁘지 않지"
200-030	"'마인드스케이프'에 '다이브'할 때……,⏎너희는 접속하고 있는 거다, 우리 머리 위에 있는 슈라우드에"
200-031	"그 접속을 확립하는 게 바인드고…… 비유하자면,⏎바인드를 라우터, 그리고 슈라우드 자체를 복합적인 네트워크,⏎라고 파악하면 이미지하기 쉬울지도 모르겠군"
200-032	"슈라우드에 관한 화제는 많지만……요점만 간추리자.⏎인류 전체 의식, 그 중계점이 슈라우드다. 지금 살아 있는 자뿐 아니라,⏎이미 세상을 떠난 자도 포함한다───이 점만 오늘은 기억해 둬라"
200-033	"세계의 특정 장소 같은 데에, 일부가 고착하는 건,⏎빈번하지는 않지만, 일어날 수 있는 일이다"
200-034	"그리고 이 장소는……'침전 웅덩이'다.⏎대개의 코에부스 카일 주요 거점에 하나씩은 있는 것이다.⏎뭐, 곳곳에 산재하는 작은 지옥을 이미지하면 된다"
200-035	……
200-036	"죽어 사라진 자들, 그리고 그 한 명 한 명의 기억이,⏎이 슈라우드에 기록되어 있다, 는 셈이다"
200-037	"그리고 '마인드스케이프'를 명확한 행선지도 없이 방황하면,⏎'침전 웅덩이'라는 '설치 영역'에 떨어지기 쉽다"
200-038	"……그 말투라면……다른 종류도 있다는 거야?⏎그 '설치 영역'이라는 게"
200-039	"대부분은 의도를 가지고 만들어져, 설치된 것이다.⏎'침전 웅덩이'는……우발적인 산물이라고 우리는 생각하지만,⏎에이브의 의도로 확립됐을 가능성도 부정할 수 없다……"
200-040	"설령 그렇다 해도, 무엇을 의도한 것인지도 불명이지만"
200-041	"'침전 웅덩이'는 흔히 위험한 장소다.⏎지각이 압축되는 것도 아니고, 여기서 보낸 시간은 그대로,⏎현실 세계에서도 똑같이 경과하니까"
200-042	"그리고 사전 지식이나, 마땅한 기량도 없으면,⏎니아가 몸소 알게 됐듯 탈출은 극히 곤란, 거의 불가능하다"
200-043	"참고로 지금, 우리가 있는 구체적인 장소에 대해서는……"
200-044	"내 조직의 자가, 수백 년 전에 만든 감옥이다.⏎정신의 유폐를 목적으로 만들어졌다. 꽤 유용한 기술이지……"
200-045	"……특히, 여기에 마음을 가두면,⏎현실 세계의 본체는 어떤 명령에도 따르게 된다.⏎정보 수집, 첩보 활동, 방해자 배제 등, 쓰임새가 너무나 넓다"
200-046	"너는 이미 익숙하겠지, 메이"
200-047	"……"
200-048	으으…….
200-049	"그렇긴 해도, 아까도 말했듯, 여긴 이제 쓰이지 않는다.⏎침전 웅덩이 안에 구축되어, 버려진 장소다"
200-050	"……다른 것에 대해서도, 아직 들을 텐가?"
200-051	……둘 다 고개를 끄덕인다.
200-052	"이미 눈치챘으리라 생각하지만, 내 과제는,⏎표면적인 결과만을 바라고 너희에게 주는 게 아니다"
200-053	"너희를 이스펠테가 원하고 있다는 건 알고 있었다.⏎그리고 얼핏 무가치한 과제를 너희에게 줌으로써,⏎그 녀석이 흔들리리라는 것도 계산 안에 있다"
200-054	"그 녀석에게 이해시킬 필요가 있었지, 그 녀석이 아니라,⏎너희는 내 것이라고"
200-055	"……"
200-056	"……"
200-057	"펠의 바람은……뭔가요……?"
200-058	"그런가, 아직 모르는군……아이리스에게 못 들었구나"
200-059	아이리스 씨……?
200-060	"이스펠테는, 인류가 '침전 웅덩이'의 유령이 되는 것을 바라고 있다.⏎다만, '마인드스케이프'를 탐색하고 조작할 수 있는 의식과 힘,⏎그리고 자유를 개개인에게 남긴 형태로 말이다"
200-061	……! 그……그럼, 펠의 바람은───!?
200-062	"그 녀석의 바람은 즉, 향후 10년 이내에 인류에게,⏎신과 같은 완전한 '영혼의 불사'를 주는 것───결국 판타지지만"
200-063	……
200-064	그……그런 걸까? 아니……,
200-065	프레이야 선생님은 거짓말을 하지 않는다.⏎……주장할 게 있을 때 외에는, 절대로.
200-066	"실제로는……"
200-067	"……단 하나의 착오만 빼면,⏎너희 다섯은 내가 상정한 루트를 따라오고 있다"
200-068	"실제로, 이 루트를 따르면서,⏎정말로 수가 없어진 적이 있었나?⏎뭐……내가 너희를 구하지 못한 때를 제외하고는, 이지만"
200-069	……
200-070	"우리 인류는, 어둠에 가까워지고 있다.⏎하지만 나는, 그 어둠 속에서, 너희를 인도하겠다고 맹세했다"
200-071	"설령 주변에서 무엇이 무너지든,⏎그리고 결말이 아무리 불투명하든……"
200-072	"그 끝 너머까지 너희를 인도하는 것이, 내 의무다"
200-073	……프레이야 선생님……,
200-074	"이스펠테의 바람은 웅대하다. 하지만 달콤하다.⏎너희가 그 녀석과 그 일파에게 휘둘릴 필요는 없다"
200-075	"……즉 이거,⏎모르는 악마보다 익숙한 귀신을 고르느냐, 그 반대냐, 그런 거야?"
200-076	"나를 귀신이라 부르고 싶다면, 마음대로 해라"
200-077	"……"
200-078	"추종은 약자나 젊은이의 습성이다"
200-079	"내가 목표를 마련해 주지 않으면,⏎너희는 이스펠테의 말에 휩쓸려, 그 녀석을 따랐을 것이다.⏎이미 다수, 그렇게 된 자도 있다"
200-080	"그리고 그 녀석에게 너희가 따르고 있었다면……"
200-081	"모든 것은 무로 돌아갔고, 무엇도 물거품이 되었으리라"
200-082	"그리고……너희가 특히 동요하지도 않고 듣고 있는 건……"
200-083	"……이미 충분히, 그걸 알고 있기 때문이다"
200-084	"……"
200-085	"프레이야 선생님……사라져 버리는 건가요……?"
200-086	"……언젠가 반드시, 또 만날 수 있다고 맹세하지"
200-087	"다만, 곧 만날 수 있다고는 약속 못 한다"
200-088	"동료에게서 떨어지지 마라.⏎설령 폭풍이 너희를 갈라놓으려 해도, 결코 말이다"
200-089	"그것만은, 기억해 둬라"
200-090	프레이야의 모습이 천천히 사라지고……,⏎주변에 자욱했던 어둠도 옅게 녹아 간다…….
200-091	……정신을 차리니, 우리는 은신처로 돌아와 있었다.
200-092	"괜찮냐?"
200-093	"……"
200-094	나는, 가만히 손바닥을 들여다보고……그 손을 꽉 쥔다.
200-095	……
