# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
202-001	……정말……,
202-002	요즘 우리는, 정말 인생에게 대접받는 꼴이 엉망이라고 생각한다.⏎그나마 다행인 건, 아이리스와 함께 스토리를 도울 수 있었다는 것.
202-003	문제 하나도 정리됐고(인터넷상의 유언비어와 허위 정보),⏎츠루의 선거 운동은 다시 궤도에 올랐다…… 당면 문제는,⏎세이코에서 악담을 퍼뜨리는 사람들. 니아와 프레이야 건도 미해결이다.
202-004	세이코에 대해서는……소문이라 하면, 메이도 나도 속수무책.⏎그런데 아이리스는, 뭔가 생각이 있는 모양이다.
202-005	니아에 대해서는……솔직히 아직 나는 다이브가 무섭다.⏎지금의 니아처럼 될 가능성이 있다면,⏎다른 애들도, 무서울 테고…….
202-006	바라건대, 아직……메이가 다이브를 시도하지 않았으면.
202-007	……
202-008	……아, 아무튼, 프레이야라 하면 무엇보다 그 수수께끼의 시다.⏎의미를 전혀 모르겠어. '뒤돌아선'이나 '의지의'라는 게, 뭔가 암호?⏎스토리라면 못 풀까, 컨디션도 조금 돌아온 모양이고…….
202-009	아 맞다……아무래도 이오가 석방돼 버린 모양이다.⏎스토리가 그를 격퇴한 뒤, '죽음과 여름'이 살아 있을 가능성과,⏎그 멤버가 한 명만이 아니라는 증거를 보여 줬으니까.
202-010	그러고 나서, 곧이었나? 경찰에 증거를 넘겼더니 유언비어 글이 사라지고,⏎D 뭐시기 공격도 뚝 멈췄다───체포자는 안 나왔지만,⏎스토리가 녀석들을 입 다물게 한 모양? 지금은 조용하다.
202-011	그런 이유로, 나는 다시, 앞으로 아이리스와 함께 공부할 참이다.⏎아이리스는 편의점에 들어가 있고……이번엔 화장실.
202-012	……스토리……이제 괜찮은 걸까. ……정말로 무서웠어.⏎그녀의 방에서 나눈 대화를, 반복해서 떠올려 버릴 정도로.
202-013	더 스토리와도, 친해지려는 노력을 해 두면 좋았을 텐데.⏎메이만 신경 쓰지 말고…….
202-014	스토리에 대해서, 남을 대하듯이 너무 했을지도……,
202-015	그 애의 나라가, 그……굉장히 큰일이 되어 있다는 건 알고 있다.⏎돌아가신 친구가 여러 명 있다고 얘기해 줬을 때도,⏎나, 자세히는 파고들지 못했고.
202-016	……정말 나는 어떻게 돼 버린 걸지도.
202-017	……지금도, 거의 자신밖에 생각하지 않고 있다.⏎마치 걸어 다니는 자기연민이다. 하지만 실제로───,
202-018	내가, 더 일찍 스토리에 연락했더라면,⏎그녀가 그렇게까지 내몰릴 일도 없었을지도 모르는 거지.
202-019	……앗.
202-020	"응…… 야"
202-021	"있잖아. 니아랑 같이 있어?"
202-022	"당연히. 그런데 지금은 좀, 식료품 사러 가게 했어"
202-023	……그거, 괜찮은 거야? 아───아니야…….
202-024	저런 상태니까, 니아 곁에 있는 시간을 줄이고 싶은 것도 이해는 간다.⏎나는 저렇게 된 니아와 거의 함께 보내지 않아서,⏎그, 이렇게……'복잡한 지시를 입력할 수 있다' 같은 건, 몰랐어.
202-025	……안전한지는 의문이 있다, 그런데 메이를 꾸짖을 수는 없다.
202-026	"뭐야, 너는 아이리스랑 같이야?"
202-027	"……워, 나, 아이리스 말고도 친구 있어……!"
202-028	"그거, 내게 하는 비꼬는 말이야?"
202-029	"어……!? 아니야……!"
202-030	"뭐, 솔직히 상관없지만"
202-031	"……아이리스와 같이 있어"
202-032	"예상대로"
202-033	"……"
202-034	"뭐야? 데이트?"
202-035	"……!? 아니야!!"
202-036	"응, 그렇겠지───아야메는 맥을 못 추니까"
202-037	"무, 뭐야 갑자기……!?"
202-038	"……? 아야메의 짝사랑이지, 또 뭐가 있어?"
202-039	"봐, 나랑 니아는 그런 게 아니지만,⏎아야메의 아이리스에 대한 마음은……"
202-040	"빤히 보이는데?"
202-041	"그, 그그…… 그런 거 아니야!!"
202-042	"어……진심으로 그렇게 생각하는 거야? 와아……"
202-043	"어, 어째서……내가 그렇다고……생각하는 거야?"
202-044	메이라는 녀석은, 아무 말 없이 하늘을 올려다보거나 하고.⏎자……잠깐, 뭐야!
202-045	"오케이, 좀 어울려 줄게"
202-046	"아야메는 말이야, 왜 발을 못 들이는 거야?⏎그냥 무서워서, 그것만은 아니잖아"
202-047	"아니면 이미 아이리스에게 있는 거야……? 남자……아니면 여자……"
202-048	"없……없어……! 아마……"
202-049	"그냥 그……"
202-050	"……"
202-051	"아이리스는, 관심이……없을 거라고 생각해……"
202-052	"그럴지도"
202-053	"……"
202-054	"미안, 기다리게 했어. 그럼 가자───어, 메이 아니야?⏎왜 왔어? 장 보러?"
202-055	"그런 셈"
202-056	"약속 없으면 너도 올래?⏎우리, 지금부터 기말고사 공부할 거야"
202-057	"……!"
202-058	"뭐, 장 보는 건 나중에 해도 되고……좋아!⏎니아도 데려갈게. 실례할게"
202-059	진짜 방해하잖아……!⏎아이리스와 단둘이 있을 기회 같은 건, 거의 없는데…….
202-060	으으, 진짜…….
202-061	……얼마나 둔한 거야.
