# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
205-001	"좋아……이번엔 뭘 읽을까……?"
205-002	……여기에도 꽤 익숙해져 왔다.
205-003	처음 여기 왔을 때……일주일 전이었나? 저 남자애와……,
205-004	뭐, 내가 기억하는 한, 이런 대화를 했던 것 같다……,
205-005	"아무튼 저거, 멋있지?"
205-006	"'이욱스타'라는 거, 뭔가 의미가 있는 걸까?⏎뭔가 들어본 적 있는 것 같은……적어도 '이욱'이라든가 특히.⏎전에 어디선가 들었나……?"
205-007	"아아, 그런데 문제가 하나 있어.⏎입구에 서는 것만 되고, 아무래도 안엔 못 들어가"
205-008	"'이욱스타'……'이욱스타'……아니야.⏎───어, 무슨 뜻이에요?"
205-009	여기에 둘이 처음 찾아왔을 때,⏎남자애가 안쪽으로 나아가, 그대로 중앙에 보이는 공간에 들어가려 했다.
205-010	마치 그때……유막 같은, 흐물흐물한 층이 그를 막았다.⏎───라기보다, 정말로 그의 모든 움직임을 멈춰 버렸다.
205-011	그리고 격하게 그의 온몸이 떨리더니, 꿈쩍도 안 하게 됐다.⏎진심으로 걱정되기 시작했을 무렵───갑자기,⏎그가 뒤로 물러나, 장벽에서 손가락을 뽑아냈다.
205-012	"나도 그 이름밖에 몰라. 바닥에 서류가 떨어져 있어서.⏎거기 적혀 있던 게 몇 번 눈에 들어왔을 뿐이야"
205-013	"뭐─, 보여 줄 수 있는 건 이 정도야.⏎아무래도 여기 은신처 같은데, 이 거리의 다른 부분과도 느낌이 달라.⏎아마 규칙이나 법칙을 비틀어 만들어낸 기분이 들어"
205-014	"저거, 전에 저 틈에서 뛰어내리며 놀다가 발견했어.⏎카하핫"
205-015	"아무튼 돌아가고 싶어지면 고개를 들어,⏎바깥 거리를 향하면 되고───"
205-016	"들어가 봐도 될까요?"
205-017	"오오……! 해 봐!"
205-018	그러자, 들어가 버렸다.
205-019	강하게, '지나가고 싶다'고 바랄 필요가 있나,⏎키츠를 쓰러뜨렸을 때처럼 집중해서, 라고 생각하고 있었더니…….
205-020	실제로는, 순조롭게 통과해 버렸다.⏎아무것도 방해받지 않고, 벽조차 없는 것처럼.
205-021	그리고 지금에 이른다…….
205-022	"으음……이거다"
205-023	링으로 묶인 얇은 책자를 집어, 가까운 의자에 앉는다.
205-024	이 기묘한 공간에도 익숙해져 왔구나…….
205-025	여기는 '마인드스케이프' 안에 있는,⏎'이욱스타 소키에타템'의 아지트 같은 장소인 모양.⏎둘이서 조사해서 알게 됐다(내가 들어가니, 그도 수월하게 통과했다)
205-026	가이드 씨가 입구에서 보이던, 흩어진 서류 같은 게 안쪽에 있었지만,⏎그보다도 여기에는, 수많은 백지 책이 있다.⏎아무래도 가장 중요한 건, 이 책들인 모양……,
205-027	왜냐면, 가이드인 그에게는 새하얀 백지 책으로밖에 안 보이는데,⏎내가 집어 들어 펴면, 페이지에 글자가 떠오른다.
205-028	집은 노트를 펴도, 같은 일이 일어난다.
205-029	"렌첸, 10138년 4월.⏎마을 사람들은 동조를 이뤄낸 모양이다.⏎하지만 이번에도, 공명은 곧바로 끊겨 버린다"
205-030	"이웃 거리, 슈텐달과의 긴장 관계 탓일까?"
205-031	"그 긴장의 해소는, 물론 쉽지 않다"
