# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
208-001	깨어난 곳은───보도 위.
208-002	밖에서 자려고 한 건……틀렸어.
208-003	이걸로 끝으로 하자.
208-004	……상관없다면, 나를 잊어 버리면 되는데.
208-005	아니면……다른 걸까? 결국 밥은 주니까.
208-006	나는 일어섰다.
208-007	"스토리!"
208-008	돌아본다.
208-009	……내, 친구다.
208-010	"……왜?"
208-011	"왜 길에서 낮잠 자고 있어, 하하핫!"
208-012	"이제 늦었어! 집에 가야지!"
208-013	그 애는, 달려서 사라졌다.
208-014	나는, 눈을 감고, 고개를 흔든다.
208-015	……
208-016	……다시 눈을 떠서, 주위를 빙 둘러본다.
208-017	이 동네는……더러워.
208-018	여기저기 많이 봤지만, 어디든 전부, 더러워.
208-019	건물은 금이 투성이, 그 안쪽에서 수많은 눈이 빛나고 있어.
208-020	길엔 종이 부스러기라든가, 금속 쓰레기가 떨어져 있어. 깨진 유리라든가.
208-021	더러운 사람투성이인 동네지만───,
208-022	나보다 나이가 많고, 예쁜 사람이, 한 명만 있어.⏎그리고 어린애는 귀여워.
208-023	그런데, 나머지 다들은, 나를 죽이고 싶어 하는 것 같아.
208-024	"야 꼬마! 얼른 들어가!"
208-025	……방금 건……,
208-026	누구……목소리일까?
208-027	처음의 아줌마……?⏎아니면, 세 번째 집의, 왼눈이 나무 구슬이었던 아저씨?
208-028	엄마가 아니야. 아빠가 아니야.⏎그 두 사람이 큰 소리를 내면, 공기에 불이 붙은 것 같아지니까.
208-029	나는 걷기 시작했다…….
208-030	……언제, 어느 집이었는지 모르지만, 떨어지기 위해서.
208-031	쓰레기투성이 길에, 자그마한 쓰레기 하나가 더 그 길을 걷고 있어───.
208-032	───아스팔트나 모래 조각이, 발밑의 쓰레기통에 떨어져 간다.
208-033	나도 같이 있고 싶어.⏎모두가 잊는, 여러 가지 중 하나가 되고 싶어.
208-034	사람은, 쓰레기한테 화내지 않으니까.
208-035	그냥 무시할 뿐.
208-036	그쪽이, 분명 더 좋아.
208-037	모두가 나를, 잊어 버리면 좋을 텐데.
208-038	뭔가 말하거나, 하면, 모두 화내 버려…….
208-039	내가 있다는 걸 떠올리면, 모두 돈 얘기를 해.
208-040	미레유도 나한테 돈을 써.⏎아무 이득도 안 되는데.
208-041	도서관 사서한테, 돈 같은 게 없는데.
208-042	미레유에겐, 나 말고 아무도 없어.
208-043	미레유는 젊은데, 파트너가 전혀 없어.
208-044	그러고 보니, 그것도 내 탓이야.
208-045	다섯 번째 집에 있었을 때……사촌이 말했어.
208-046	"'너를 안 데리고 가면 어디도 못 가. 데이트도 못 가.⏎버려 두고 누가 일러바치면, 나는 끝이야'"
208-047	"'점점 짜증 나기 시작하네'"
208-048	점점, 이라니, 그때까지는 화내지 않았다는 거야?⏎거짓말을 안 한 건, 놀라웠지만.
208-049	모두, 나를 생각하기만 해도 화를 내기 시작해.⏎소우단조 사람과 함께, 현관으로 들어갔을 때부터,⏎사촌에게 미움받고 있다고 생각했어.
208-050	사촌이 그렇게 말했을 때, 나는 '실수했다'고 생각했어……,⏎'이번엔, 달랐을지도 모르는데'라고…….
208-051	그런데, 절대로 아무것도 안 변해.⏎언제나, 언제든, 이렇게 말해. "왜 여기 있는 거야?"라고.
208-052	엄마 배 속에 있을 때도……,
208-053	……밖에 나왔을 때도. 그다음은, 매일, 매일.
208-054	매번, 매번……,
208-055	모두, 충분할 정도로 넘치게, 말해 왔어.
208-056	너 누구야?
208-057	알고 있냐?
208-058	그게, 진실.
208-059	그리고 나만의 진실이 아니야.
208-060	───
208-061	이 세상에 '가치'를 가지고 태어나는 인간은 없어.
208-062	그리고 나는, 세상에서 제일, '가치'가 없어.
208-063	내 눈이 빛난다. 아이리스도 마찬가지로.⏎둘 다 고개를 격하게 흔들며, 심연 속을 돌진해 간다.
208-064	싫어, 싫어……이런 건 몰라.⏎춥고 아무것도 없고, 방금까지 보던 그런 모르는 광경이,⏎번개처럼 잇달아 머리로 흘러 들어온다.
208-065	아이의 얼굴에 내리쳐지는 주먹과, 거대한 인간들의 노호와 분노.
208-066	만약 혼자였다면……나는, 여기서 꺾였을지도 몰라───.⏎아리아의 분노에도 힘들었는데, 그런데 이건, 훨씬 강렬해.
208-067	그런데, 아이리스는……,
208-068	아이리스의 눈은, 언젠가 이 나락을 본 적이 있음을 말해 주고 있었다.
208-069	스토리와는 다른 경위겠지만……,⏎아이리스는, 이 깊은 어둠을 본 적이 있는 거야.
208-070	우리는 나란히, 이 깊은 어둠의 밑바닥, 같은 마음을 계속 품고 있었다.
208-071	그것은, 단순한 감정……,
208-072	스토리, 혼자 상처받지 않아도 되는 거야.
208-073	주변이 페이드아웃해 간다……,
208-074	둘이서 뻗은 양손, 손끝이 그녀의 영혼에 닿았다.
208-075	……돌아온, 거구나.
208-076	도와준, 걸까……?
