# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
213-001	다이브는……안 됐다.
213-002	니아의 의식이 떨어진 밤은 헛탕. 다음 날도 안 됨.⏎그다음 날도 안 됨. 그다음 날도 안 됨.⏎또 다음 날도 무리. 그다음도…….
213-003	……그리하여, 일주일 이상이 지났다.
213-004	그런데도 나는, 니아에게 닿지도 못한다.⏎'마인드스케이프' 어디에 있는지도 모르겠다.
213-005	……
213-006	매일 접하고 있는 쪽의 니아는……,
213-007	……오늘도 아직, 그대로다.
213-008	"……"
213-009	……
213-010	그리고 또 등교일.
213-011	"준비 됐어? 양치도 제대로 했어?"
213-012	"……"
213-013	"……내가 왜 굳이 물어보는 걸까.⏎아까 지시했으니까, 이미 했겠지"
213-014	"그렇지?"
213-015	"……"
213-016	"있잖아, 니아!⏎내가 요리하는 거, 자기 손가락 안 베고 도와줄래?"
213-017	"……"
213-018	"……"
213-019	"좋아, 즐겁게 얘기 나눴네. 학교 가자, 자"
213-020	그리고……방과 후.⏎또 하루…… 어떻게든 버텼다…….
213-021	……하아.
213-022	대리 교사는……미묘하다.⏎딱히 키츠가 대단했던 건 아니다.……그래도 훨씬 나았다.
213-023	……그리고 오늘도 또, 펠은 없었다.
213-024	……나, 이상한가? 펠이 들이닥치지 않아서 외롭다고 느껴.⏎하필이면, 이런 상황에서.
213-025	이상한 걸까, 내가. 솔직히 펠이 한 일도 신경 안 쓰여.⏎굳이 다들 앞에서 말하진 않지만.⏎게다가 니아도……,
213-026	……이 상황, 노리고 펠이 만들어낸 게 아니라고 말했으니까.
213-027	"……"
213-028	……
213-029	그렇긴 해도, 기분은 최악이지만.
213-030	───지금의 니아는, 마치 동물이다.⏎견딜 수 없고, 있을 수 없을 만큼 불쾌하다.
213-031	'공부하자' '밥 먹자' '화장실 가자'⏎……그걸 매일, 매일이다.⏎지시하지 않으면 어떻게 될지, 알고 싶지도 않다…….
213-032	니아가 움직일 때는, 다치지 않게 눈을 부릅떠야 하고───.
213-033	이만큼 굴욕적인 일도, 니아에게는 없을 거다.
213-034	나도, 착실히 제정신을 깎이고 있는 기분이고.
213-035	"……자, 'AARC' 미팅 가자.⏎나 따라와……"
213-036	"……"
213-037	"……"
213-038	……아아, 진짜 최악!
213-039	어둠의 거리인지 뭔지 모르겠지만, 전혀 닿지도 못한다니!⏎다이브는 몇 번이나 시험했는데, 어째서……?
213-040	몇 번을 '마인드스케이프'에 들어가도,⏎보이는 건 내 사고뿐.
213-041	어쩐지, 다이브가 허구라고 오래 생각해 왔어서일까……,⏎다섯 중에서, 내가 제일 다이브를 못하는 건지도 모르겠다는 생각이 든다.
213-042	스토리에 의지하고 싶었지만, 계속 읽고 씹기 당하고 있고…….⏎게다가 나뿐만 아니라 전원에게 그런 모양이다. 그 애, 정말 왜 그래?⏎'AARC' 미팅에도 전혀 안 오고.
213-043	게다가 프레이야도 마찬가지다. 전혀 모습이 안 보인다.
213-044	정말……직접 스토리 상태를 보러 가려 해도, 시간이 없다.⏎니아를 돌보면서는 도저히 무리……, ……빈 껍데기지만.
213-045	……뭐, 다행히 이 니아는……거의 실수를 안 한다.⏎내가, 지시만 제대로 전하면, 이지만…….
213-046	아─, 진짜 싫어! 미쳐 버리겠어!
213-047	차라리 ───!
213-048	……아니, 침착하자.⏎아무튼 지금은……미팅에 가는 거다.
213-049	"여……메이. 니아는 여전해?"
213-050	"니아, 메이, 안녕!"
213-051	"……"
213-052	"인사 안 해도 돼……이제 없는 셈 치지 않을래?"
213-053	주위를 빙 둘러본다.
213-054	"오늘도 프레이야는 부재야?……그 사람, 진짜 어디 있는 거야?⏎메시지도 계속 안 읽은 채야?"
213-055	"감감무소식이네"
213-056	"……"
213-057	어이가 없어……,⏎신경 써야 할 어른이 또 늘어난다니……!
213-058	……프레이야만은, 다르다고 생각했는데.
213-059	정말……,
213-060	이미 진작에 프레이야의 아파트에 갔다.⏎어제는 다 같이 잠복까지 했어……아무것도 안 하는 것보단 낫겠다 싶어서.
213-061	그런데, 거기 프레이야가 있을 기색은 없었다.⏎오히려 귀가조차 안 한 느낌이었다.
213-062	……
213-063	뭔가 시험인 걸까, 이것도…….
213-064	그 사람이라면 충분히 그럴 수 있다. 그렇지?⏎프레이야라면, 분명 우리를 지켜보고 있을 거야.
213-065	그렇다면, 펠과 우리에게 일어난 일도 알고 있을 거야.⏎설마, 일부러 사라진 거야? '너희끼리 스스로 넘어서 봐라' 같은…….
213-066	……
213-067	"미팅 예정, 츠루에게 잡아 뒀어……"
213-068	"다음 주 목요일이면, 이쪽에 올 수 있다고"
213-069	……그렇구나, 벌써 과제로 돌아가는 거구나…….
213-070	없는 셈 치자고 제안했지만,⏎순종 좀비에 사라진 담당자, 말 없는 애.⏎이걸로 평소 같으면 좋겠는데, 인가…….
213-071	아야메에 따르면, 츠루도 'AARC'의 일원인 모양…….⏎그래서 그녀에게서 정보를 끌어내면 어떨까 하고 꾀한 거다.
213-072	그쪽은 말이 없고,⏎진실을 말하고 있는지, 모르겠지만…….
213-073	……그래도 'AARC'의 존재는 마이너하다.⏎말이 없다는 것을 빼도,⏎'AARC'를 안다는 것만으로, 츠루의 존재는 무시할 수 없다.
213-074	"츠루가 진짜로 'AARC'의 일원이라면……아니, 확증은 없지만,⏎그래도 혹시……이 활동 자체라든가, 상황의 힌트가 있을지도.⏎봐, 다른 관점으로 얘기를 들을 수 있거나 말이야"
213-075	어쩐지, 니아를 봤다.
213-076	"……"
