# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
216-001	뺨을 손바닥으로 얻어맞는, 나.
216-002	공구가 던져지는, 나.
216-003	"아무도 널 낳아 주길 바란 적 없어"
216-004	"아─아─아─, 울지 좀 마……뭐야.⏎그 얼굴은 뭐냐고 묻는 거야. 울고 싶은 건 나라고.⏎아 그렇구나, 너 자기가 피해자라고 생각하는 거구나. 야 임마!"
216-005	"너 말이야, 한 번쯤 실수 안 하고 못 해?⏎한 번, 한 번, 딱 한 번. 진짜─로 없네. 맨날 이래.⏎우물쭈물 실수나 하고, 우리 진짜 민폐라고"
216-006	"그 이상한 히죽거리는 얼굴 좀 그만둬. 뇌 없는 것 같아"
216-007	"적당히 좀 해라, '스토리'……촌스러운 이름도 아니고…….⏎있잖아, 모르겠어? 너 같은 건, 아무도 필요 없어"
216-008	"아니, 너는 바라진 적이 없어, 한 번도, 누구에게도.⏎제대로 하는 것도 없잖아. 아무것도. 민폐일 뿐. 어디에도 없어도 돼"
216-009	최악……왜 지금……?
216-010	눈을 뜬다. 여긴……교실? 어째서……,
216-011	고개를 흔들면서, 책상 위의 스마트폰을 집어 들었다.
216-012	"아, 드디어 일어───? 어……스토리, 괜찮아?"
216-013	나는……괜찮…….
216-014	……지 않다. 색이 새고 있는 걸까?
216-015	교실에 있는 건 토우코……그녀뿐이다. 그녀의 자리는, 내 앞이다.
216-016	나……,
216-017	이런, 이런 악몽……오랜만이다……극복했다고 생각했는데.⏎뭐가 계기로……?
216-018	우연일까?……정말로, 그냥 우연?
216-019	……혹시 뭔가의 전조?⏎꾹 눈을 감는다. 바보 같아, 그런데───,
216-020	그 시절로 돌아간 것 같았다.⏎베리키아에 있던 때의 감각, 전부가 그대로였으니까.
216-021	……
216-022	"스토리……?"
216-023	아무도, 틀린 말을 하지 않았다.⏎지금까지 내가 들은 것은, 맞았던 거다.
216-024	여러 가지가 잘 풀리기 시작해서일까.⏎이런 걸, 떠올리게 된 건.
