# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
219-001	아이리스……아이리스가……,
219-002	저질러 버렸다.⏎내 탓이야……경솔하게 사람을 믿었으니까……?
219-003	이런 실수, 평소라면 안 하는데.
219-004	그런데, 이번엔……,
219-005	……아니, 그런, 괜찮아, 그렇지……? 괜찮을 게 분명해.
219-006	여긴 실재하는 장소가 아니야───,⏎우리 머릿속에만 존재하는 공간. 그러니까───,
219-007	……아니아니, 잠깐. 여기서 그런 짓을 당하면, 어떻게 되는 거야?⏎어떻게 되는 거야?
219-008	펠은 대체 뭘 한 거야……방금 아이리스 머릿속에……,
219-009	……일어나야, 해……!
219-010	───……
219-011	발밑에서 기어 올라오는, 다섯 개의 손.⏎그것은 잇달아 내 온몸을 붙잡고는 밀쳐 내고,⏎아래로 끌어내리려 든다.
219-012	새까맣다……어느 손이든 마치, 그림자 같다.⏎그대로 손가락에, 턱 밑을 붙잡혀───,⏎외면하듯 어둠에 눈을 돌리자, 평소의 내가 떠올라 보였다.
219-013	웃는 얼굴이었다. 언제나 그래───나, 히죽히죽 웃고.⏎나, 뭐가 그렇게 우스운 거야?
219-014	아니면 그냥, 웃어넘길 일이라고 하고 싶은 것뿐?
219-015	그런데 나는 알아, 웃어넘길 일 따위 아니라는 걸.⏎언제든 인생이……비참해질 수 있다는 것도.
219-016	하지만 내 인생은 다르니까.⏎줄곧 '그런 거 알아, 이해해'라고, 스스로에게 타일러 와.
219-017	그런데, 사실은 나도 자각하고 있어. 인식하고 있어.⏎내 자신이 얼마나 축복받았는지.
219-018	그래서 마음이 무거워. 견딜 수 없어. 미안해서 견딜 수가 없어.⏎무서운 꼴을 당하면서 오늘을 사는, 다른 사람이 있는데.
219-019	다들 정말 불쌍한데, 나는 제대로 고통받은 적조차 없어.
219-020	나는 손가락 하나 움직이지도 않고……깔깔 웃기만 하고 있어.
219-021	남의 비극 따위, 깨끗이 잊어 버리는 게 낫다는 거야?
219-022	그럼 나, 어쩔 수 없는 쓰레기네.
219-023	그 애에게───니아에게 화를 쏟아 댔으면서.⏎제일 거짓말쟁이는 자기 자신이잖아.
219-024	어차피 비열함을 페인트로 덕지덕지 발라 다듬은 겉치레.⏎나는 그저 지저분하고, 마음 깊은 곳부터 끔찍한 애.
219-025	곧 눈을 떠서……또 하루 종일, 새침한 척할 거야. 금방 알아.⏎평소처럼, 뒤끝 있는 짓 따윈 없다는 얼굴을 하고…….
219-026	그리고 잊는 거지……뭐든지, 자기 외의 누구도 너도.⏎그리고 말할 거야. '사람과 얘기하는 걸로 내가 뭘 할 수 있겠어'라고.⏎그래, 말할 거지.
219-027	이제 즐기고만 있으면?
219-028	그림만 잔뜩 그리면서.
219-029	기껏해야, 계속 웃고 있으면 되는 거야.
219-030	……
219-031	정말 최악이야…….
219-032	……
219-033	……?……!
219-034	아이리스!
219-035	일어나려 해서……꼼짝도 못 한다.
219-036	머리는 안개가 껴서……, 몸도 말을 안 들어.
219-037	"오─……또 한 명 일어난 모양"
219-038	……모르는 목소리? 아니, 이건───어라, 누구더라?
219-039	들어본 적이 있을 텐데……,
219-040	……
219-041	……당신은……?
219-042	"말 없는 친구한테 들었어, 무슨 일이 있었는지"
219-043	아……당신도 말이 없는 모양인데……,
219-044	……
219-045	……잠깐……스토리 얘기? 스토리……,
219-046	───'듣고 있어'!? 스토리한테!?
219-047	"오오……진정해. 나는 일러바치는 거 안 해.⏎여고생이면 한두 번은 선을 넘는 법이지"
219-048	이 아일한테 대체, 뭐라고 한 거야 스토리……!?⏎으으……꽤 즉석에서 둘러댄 모양인데…….
219-049	뭐, 현실과 스마트폰, '거짓말할 수 있는' 아이가 있는 거니까,⏎한쪽이 먼저 깨어난 건 다행일까…….
219-050	나라면, 얼버무리지 못해……,⏎방금 일어난 게, 뭐였든 간에…….
219-051	응……몸의 감각이 돌아온 것 같아.
219-052	천천히, 상체를 일으켜 본다. 둘러보자……,
219-053	……아이리스! 그래……!⏎아이리스……는, 메이에게 무릎을 베고 누워 있다.
219-054	두 사람에게 다가간다……,⏎다리가 엉켜 비틀거릴 뻔했지만, 어떻게든 도착했다.
219-055	"……눈을 안 떠. 자고 있을……뿐인데"
219-056	"정말로, 괜찮으면……좋겠는데……"
219-057	두근두근 무섭게 심장이 뛰기 시작해서,⏎확 감정의 파도가 밀려온다.
219-058	……그래도 어떻게든 억누른다. 지금은……그럴 때가 아니야.
219-059	아무튼……아이리스는 살아 있어.……기억은 흐릿하지만…….⏎펠은 '정신의 죽음'이 어쩌고 했던 것 같아……'일시적'이라고도.
219-060	게다가 그때……펠은 진실을 말하고 있었어.
219-061	……아이리스는 괜찮아. 알겠어, 아야메?⏎……제대로 눈을 뜰 거야.
219-062	분명 괜찮아.
219-063	돌아본다───지금은, 니아다…….⏎니아도 방금, 뭔가 당하고 있었지?
219-064	……아아 다행이다, 벌써 일어나……,
219-065	……?
219-066	어───,
219-067	"……뭐야? 니아가 왜?⏎아이리스가 이래서, 아직 상태를 안 봤는데───"
219-068	그렇게 말하며, 메이는 츠루에게 시선을 힐끗 보냈다.
219-069	"……그래도 봤지. 거기서 니아가, 뭘 당했는지"
219-070	다시 한 번, 니아의 상태를 살핀다…….
219-071	……
219-072	"……"
219-073	"있잖아, 니아……들려?"
219-074	"……"
219-075	"……"
219-076	"상태는?"
219-077	"……확실히 이상해. 그런데, 지금은……나중에 하자"
219-078	니아에 대해서는……,
219-079	막 만난 사람 앞에서 말하기는 꺼려진다.⏎좀……너무 잘라 버리는 느낌도 들지만……,
219-080	적어도 숨은 쉬고 있으니까…….
219-081	……
219-082	츠루에게 시선을 돌려, 그쪽으로 한 걸음 내디디───,
219-083	그런데, 으으……어지러워……,
219-084	아직 머리가───핑 돈다……,
219-085	"……처음 뵙겠습니다"
