# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
220-001	……젠장.
220-002	실수했나?
220-003	───뇌를 꿰뚫고, 게다가 증발시키는 듯한, 광기 어린 열파와 데미지.
220-004	완전히 상대가 안 됐다…….
220-005	……아?
220-006	으음.
220-007	어떻게 된 거야? 지금까지가, 전부 꿈이었다는 거야?
220-008	여긴……,
220-009	학생회 선거 후보자를 조사하던 때, 인가?
220-010	다들 떠드는 느낌으로 보아……,
220-011	그래.⏎마침 메이가 세이코 미술학원을 알아보자고 말한 직후구만…….
220-012	……뭐야?⏎후보자 찾기가 너무 지루해서, 며칠치 꿈을 꾸고 있는 건가?⏎하필이면, 그 최악의 결말 악몽을?
220-013	"왜 그래? 괜찮아?"
220-014	"아? 아니……"
220-015	손의 스마트폰에 눈을 떨군다.
220-016	……화면에는, 그 헬비 서머싯이라는 녀석이 비치고 있어.⏎이 녀석은, 이미 체크했던 거 아니었나?
220-017	으……그렇구나, 선거 연설 영상이다. 확실히 내용은……,
220-018	"좋아 좋아, 그럼……"
220-019	"그럼 우선, 내 공약.⏎나는 학교를 해체하고 싶어. 의무 교육을 아무튼, 말소하고 싶은 거야"
220-020	"……뭐든 늘어지거나, 게을러지려고 하는 게 아니야"
220-021	"이미 기능하지 않아, 의무 교육은. 그래서 해체해야만 해"
220-022	"나는 생각해, 지금이라면 그거야말로 실현할 수 있지 않을까 하고.⏎하찮은 학생회장 같은 존재라도, 할 수 있지 않을까 하고 말이야"
220-023	"떠올려 줘, '사비에르'를.⏎효강에서 일어난, 그 소동을"
220-024	"다수가 힘을 합친 결과, 그런 소동이 일어나는 거야.⏎자유로워지고 싶다는 목소리가 낳은 거야"
220-025	"그야 그렇잖아?⏎자유를 바라며, 사회 그 자체가 외치고 있어"
220-026	"그럼, 형태로 만들자고. 표면적인 평가로 단정하거나,⏎'낙오자'가 따돌림당하지 않는 세상을 말이야"
220-027	"그야 이런 상황……마치 폭발 직전의 화약고잖아"
220-028	"그러니까 나한테 표를 던져 줘. 세이코 모두"
220-029	"대신 내가, 점화할 테니까"
